run_index,preset_name,feature_aware_tangents,identity_semantics,identity_tangent_mode,seed,theta_update_cadence,micro_steps,incremental_weight_updates,supervision_policy,theta_update_budget,checkpoint_selector,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,run_status,nan_or_inf_failure,failure_type,failure_message,run_summary_path
1,tf2_canonical,False,truncated_identity_approx,feature_frozen_truncated_identity_approx,0,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.7592592592592593,0.8037037037037037,0,0.31832827438082345,55,False,True,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat0_seed0/summary.json
2,tf2_canonical,False,truncated_identity_approx,feature_frozen_truncated_identity_approx,1,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.7592592592592593,2,0.3173802527624454,59,True,False,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat0_seed1/summary.json
3,tf2_canonical,False,truncated_identity_approx,feature_frozen_truncated_identity_approx,2,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.8222222222222222,6,0.3156725659187618,59,True,False,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat0_seed2/summary.json
4,tf2_canonical,False,truncated_identity_approx,feature_frozen_truncated_identity_approx,3,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.8444444444444444,0.8,7,0.3116207987704478,58,True,False,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat0_seed3/summary.json
5,tf2_canonical,False,truncated_identity_approx,feature_frozen_truncated_identity_approx,4,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.8666666666666667,0.8333333333333334,0,0.30219752324599547,57,False,True,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat0_seed4/summary.json
6,tf2_canonical,True,feature_aware_total_derivative_approx,feature_aware_total_derivative_approx,0,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.7592592592592593,0.8037037037037037,0,0.31832889075135495,55,False,True,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat1_seed0/summary.json
7,tf2_canonical,True,feature_aware_total_derivative_approx,feature_aware_total_derivative_approx,1,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.7592592592592593,2,0.3173793924018019,59,True,False,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat1_seed1/summary.json
8,tf2_canonical,True,feature_aware_total_derivative_approx,feature_aware_total_derivative_approx,2,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.8222222222222222,6,0.31567290267416404,59,True,False,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat1_seed2/summary.json
9,tf2_canonical,True,feature_aware_total_derivative_approx,feature_aware_total_derivative_approx,3,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.8444444444444444,0.8,7,0.31162180106663573,58,True,False,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat1_seed3/summary.json
10,tf2_canonical,True,feature_aware_total_derivative_approx,feature_aware_total_derivative_approx,4,every_micro_step,4,True,mixed,matched,gate_constrained_accuracy_then_val_accuracy,0.8666666666666667,0.8333333333333334,0,0.3021978311979395,57,False,True,completed,False,,,runs/fmpc_tf2/tf2_canonical_fat1_seed4/summary.json
