run_index,candidate_key,preset_name,description,seed,micro_steps,incremental_weight_updates,supervision_policy,theta_update_cadence,interleaving_start,theta_update_budget,checkpoint_selector,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,run_status,nan_or_inf_failure,failure_type,failure_message,run_summary_path
1,canonical_base,tf2_canonical,tf2_canonical baseline,0,4,True,mixed,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7592592592592593,0.8037037037037037,0,0.31832827438082345,55,False,True,completed,False,,,runs/fmpc_tf2/canonical_base_seed0/summary.json
2,canonical_base,tf2_canonical,tf2_canonical baseline,1,4,True,mixed,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.7592592592592593,2,0.3173802527624454,59,True,False,completed,False,,,runs/fmpc_tf2/canonical_base_seed1/summary.json
3,canonical_base,tf2_canonical,tf2_canonical baseline,2,4,True,mixed,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.8222222222222222,6,0.3156725659187618,59,True,False,completed,False,,,runs/fmpc_tf2/canonical_base_seed2/summary.json
4,canonical_local_only,tf2_canonical,canonical with local_only supervision,0,4,True,local_only,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7555555555555555,0.8037037037037037,0,0.31949711695776595,55,False,True,completed,False,,,runs/fmpc_tf2/canonical_local_only_seed0/summary.json
5,canonical_local_only,tf2_canonical,canonical with local_only supervision,1,4,True,local_only,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.7851851851851852,3,0.3198076520432722,58,True,False,completed,False,,,runs/fmpc_tf2/canonical_local_only_seed1/summary.json
6,canonical_local_only,tf2_canonical,canonical with local_only supervision,2,4,True,local_only,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.825925925925926,6,0.3164947131667919,59,True,False,completed,False,,,runs/fmpc_tf2/canonical_local_only_seed2/summary.json
7,canonical_every_2,tf2_canonical,canonical with every_2_micro_steps cadence,0,4,True,mixed,every_2_micro_steps,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7814814814814814,0.8185185185185185,16,0.3114031909635044,55,True,False,completed,False,,,runs/fmpc_tf2/canonical_every_2_seed0/summary.json
8,canonical_every_2,tf2_canonical,canonical with every_2_micro_steps cadence,1,4,True,mixed,every_2_micro_steps,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.7814814814814814,13,0.31526289179068556,57,True,False,completed,False,,,runs/fmpc_tf2/canonical_every_2_seed1/summary.json
9,canonical_every_2,tf2_canonical,canonical with every_2_micro_steps cadence,2,4,True,mixed,every_2_micro_steps,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8333333333333334,16,0.3145576341249495,56,True,False,completed,False,,,runs/fmpc_tf2/canonical_every_2_seed2/summary.json
10,canonical_terminal_mixed,tf2_canonical,canonical with terminal_only theta updates,0,4,False,mixed,terminal_only,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30042410474897685,55,True,False,completed,False,,,runs/fmpc_tf2/canonical_terminal_mixed_seed0/summary.json
11,canonical_terminal_mixed,tf2_canonical,canonical with terminal_only theta updates,1,4,False,mixed,terminal_only,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.837037037037037,0.762962962962963,27,0.30434552037056506,57,True,False,completed,False,,,runs/fmpc_tf2/canonical_terminal_mixed_seed1/summary.json
12,canonical_terminal_mixed,tf2_canonical,canonical with terminal_only theta updates,2,4,False,mixed,terminal_only,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,0.31537326023852763,51,True,False,completed,False,,,runs/fmpc_tf2/canonical_terminal_mixed_seed2/summary.json
13,canonical_after_warmup,tf2_canonical,canonical with delayed interleaving start,0,4,True,mixed,every_micro_step,after_warmup,matched,gate_constrained_accuracy_then_val_accuracy,0.7703703703703704,0.8111111111111111,13,0.3090721762383227,59,True,False,completed,False,,,runs/fmpc_tf2/canonical_after_warmup_seed0/summary.json
14,canonical_after_warmup,tf2_canonical,canonical with delayed interleaving start,1,4,True,mixed,every_micro_step,after_warmup,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.7703703703703704,9,0.32979010498754013,54,True,False,completed,False,,,runs/fmpc_tf2/canonical_after_warmup_seed1/summary.json
15,canonical_after_warmup,tf2_canonical,canonical with delayed interleaving start,2,4,True,mixed,every_micro_step,after_warmup,matched,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,13,0.32999562905985663,53,True,False,completed,False,,,runs/fmpc_tf2/canonical_after_warmup_seed2/summary.json
16,canonical_micro_2,tf2_canonical,canonical with micro_steps=2,0,2,True,mixed,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7296296296296296,0.7851851851851852,18,0.3260388661499152,60,True,False,completed,False,,,runs/fmpc_tf2/canonical_micro_2_seed0/summary.json
17,canonical_micro_2,tf2_canonical,canonical with micro_steps=2,1,2,True,mixed,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7962962962962963,0.7518518518518519,12,0.3328698155062879,59,True,False,completed,False,,,runs/fmpc_tf2/canonical_micro_2_seed1/summary.json
18,canonical_micro_2,tf2_canonical,canonical with micro_steps=2,2,2,True,mixed,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.7962962962962963,15,0.3460450582538565,53,True,False,completed,False,,,runs/fmpc_tf2/canonical_micro_2_seed2/summary.json
19,corrective_base,tf2_corrective_transport_default,tf2_corrective_transport_default baseline,0,4,False,local_only,terminal_only,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,completed,False,,,runs/fmpc_tf2/corrective_base_seed0/summary.json
20,corrective_base,tf2_corrective_transport_default,tf2_corrective_transport_default baseline,1,4,False,local_only,terminal_only,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,completed,False,,,runs/fmpc_tf2/corrective_base_seed1/summary.json
21,corrective_base,tf2_corrective_transport_default,tf2_corrective_transport_default baseline,2,4,False,local_only,terminal_only,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,completed,False,,,runs/fmpc_tf2/corrective_base_seed2/summary.json
22,corrective_every_2_local,tf2_corrective_transport_default,corrective family with every_2_micro_steps cadence,0,4,True,local_only,every_2_micro_steps,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7814814814814814,0.8185185185185185,16,0.3124384770279447,55,True,False,completed,False,,,runs/fmpc_tf2/corrective_every_2_local_seed0/summary.json
23,corrective_every_2_local,tf2_corrective_transport_default,corrective family with every_2_micro_steps cadence,1,4,True,local_only,every_2_micro_steps,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.7777777777777778,13,0.3153512362220782,57,True,False,completed,False,,,runs/fmpc_tf2/corrective_every_2_local_seed1/summary.json
24,corrective_every_2_local,tf2_corrective_transport_default,corrective family with every_2_micro_steps cadence,2,4,True,local_only,every_2_micro_steps,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8333333333333334,16,0.3153714833390278,56,True,False,completed,False,,,runs/fmpc_tf2/corrective_every_2_local_seed2/summary.json
25,corrective_every_micro_local,tf2_corrective_transport_default,corrective family with every_micro_step cadence,0,4,True,local_only,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7555555555555555,0.8037037037037037,0,0.31949711695776595,55,False,True,completed,False,,,runs/fmpc_tf2/corrective_every_micro_local_seed0/summary.json
26,corrective_every_micro_local,tf2_corrective_transport_default,corrective family with every_micro_step cadence,1,4,True,local_only,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.7851851851851852,3,0.3198076520432722,58,True,False,completed,False,,,runs/fmpc_tf2/corrective_every_micro_local_seed1/summary.json
27,corrective_every_micro_local,tf2_corrective_transport_default,corrective family with every_micro_step cadence,2,4,True,local_only,every_micro_step,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.825925925925926,6,0.3164947131667919,59,True,False,completed,False,,,runs/fmpc_tf2/corrective_every_micro_local_seed2/summary.json
28,corrective_micro_2,tf2_corrective_transport_default,corrective family with micro_steps=2,0,2,False,local_only,terminal_only,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7592592592592593,0.7481481481481481,25,0.3282012103640045,55,True,False,completed,False,,,runs/fmpc_tf2/corrective_micro_2_seed0/summary.json
29,corrective_micro_2,tf2_corrective_transport_default,corrective family with micro_steps=2,1,2,False,local_only,terminal_only,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7777777777777778,0.725925925925926,21,0.33742535951041175,57,True,False,completed,False,,,runs/fmpc_tf2/corrective_micro_2_seed1/summary.json
30,corrective_micro_2,tf2_corrective_transport_default,corrective family with micro_steps=2,2,2,False,local_only,terminal_only,epoch_0,matched,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8037037037037037,24,0.3396977595270386,54,True,False,completed,False,,,runs/fmpc_tf2/corrective_micro_2_seed2/summary.json
