epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.0038578170083318855,0.0038578170083318855,0.00510221201523762,0.6074712428431939,0.6107656347955179,0.47132120093272234,0.47079812807780297,0.1394444338627956,0.13996750671771496,0.1037037037037037,0.1037037037037037
2,0.0,warmup,0.004132399811308443,0.004132399811308443,0.005245426215366125,0.5725733200243063,0.5973079249350943,0.44544171725594733,0.44494750385417065,0.151866207679147,0.15236042108092368,0.18518518518518517,0.1037037037037037
3,0.0,warmup,0.004693002221444106,0.004693002221444106,0.005744701818820866,0.5726583919980086,0.6075143422408709,0.4361928853233674,0.43571032679819005,0.17132145691750345,0.1718040154426808,0.2851851851851852,0.1037037037037037
4,0.0,warmup,0.0053504221650395095,0.0053504221650395095,0.006411189382125104,0.5851134648288874,0.6219574592094343,0.4312119670013171,0.4307355183917021,0.19074549220811726,0.19122194081773225,0.3111111111111111,0.1037037037037037
5,0.0,warmup,0.005961010976071087,0.005961010976071087,0.007088290026171763,0.5979371025936289,0.6353708823387461,0.4272287069191141,0.42675640358742184,0.20814217541963198,0.20861447875132422,0.35185185185185186,0.1037037037037037
6,0.020000000000000004,hybrid,0.006650546731159666,0.006496275506259698,0.007713561244998382,0.609516911137115,0.6445054390896785,0.42406433096147367,0.42359443592827606,0.22044110812820483,0.22091100316140244,0.34074074074074073,0.1037037037037037
7,0.04000000000000001,hybrid,0.007196742672754224,0.00686965099940498,0.00817729183373107,0.616546053667296,0.6500488892954517,0.4215563683814094,0.42108714774948897,0.22849252091404226,0.22896174154596272,0.34444444444444444,0.1037037037037037
8,0.06,hybrid,0.007589970281077307,0.007083106606018799,0.008447727917641793,0.6205221898877578,0.6487657251713319,0.4195923171061155,0.4191224374407945,0.2291734080652164,0.22964328773053738,0.3851851851851852,0.1037037037037037
9,0.08000000000000002,hybrid,0.007750901481909947,0.007073660687995189,0.008465509923934456,0.6190672542844957,0.6417871321343391,0.4176945207968324,0.41722324742352956,0.22409261133750674,0.22456388471080957,0.4185185185185185,0.1037037037037037
10,0.1,hybrid,0.007704243505864808,0.006877440169850257,0.008268033360145496,0.6124842406905827,0.6290515032462034,0.41621864991751795,0.4157453361688099,0.21283285332868546,0.21330616707739353,0.37777777777777777,0.1037037037037037
11,0.12,hybrid,0.007473403595601216,0.006526285746093159,0.007892648745900465,0.6009362727014402,0.6126352242352079,0.41526945153641265,0.4147934120580006,0.19736577269879524,0.1978418121772073,0.37407407407407406,0.1037037037037037
12,0.13999999999999999,hybrid,0.007101079016990947,0.0060662406120096015,0.00739170289272389,0.5857445377245941,0.5950703425572103,0.41490607498639126,0.41442565996095887,0.180164267570819,0.18064468259625138,0.362962962962963,0.1037037037037037
13,0.16000000000000003,hybrid,0.006663968839222835,0.005568652203076318,0.00684572897591573,0.5697617671339275,0.5747105277568619,0.4139556249364274,0.4134723634828059,0.16075490282043453,0.16123816427405602,0.36666666666666664,0.1037037037037037
14,0.18000000000000002,hybrid,0.006193417477086384,0.00506228657708793,0.006284060555546973,0.5518382143751486,0.5560428372713205,0.4125012492875053,0.4120152691422695,0.14354158798381522,0.14402756812905104,0.3851851851851852,0.1037037037037037
15,0.2,hybrid,0.005739139702252857,0.004587854022197842,0.005756428400275073,0.5359633950912752,0.5389542020187187,0.41077432983941886,0.4102854726568156,0.12817987217929983,0.1286687293619031,0.4666666666666667,0.1037037037037037
16,0.2,hybrid,0.005217559040466539,0.004161947369038422,0.0052780583571405875,0.5194779655302866,0.5240346939911663,0.4101888890534669,0.4096954535855781,0.11384580493769941,0.11433924040558824,0.4444444444444444,0.1037037037037037
17,0.2,hybrid,0.004764929108175182,0.00379228277736082,0.004863231654071811,0.5077497911134914,0.5083400695638695,0.4080424999119506,0.4075467119477545,0.10029756965191888,0.10079335761611496,0.4148148148148148,0.1037037037037037
18,0.2,hybrid,0.0043642347530583265,0.0034659578193631337,0.004491384668475967,0.4951787350468059,0.49750916352607466,0.4076447452678092,0.4071445725664522,0.08986441825826547,0.09036459095962246,0.4444444444444444,0.1037037037037037
19,0.2,hybrid,0.004014122340438939,0.0031807367761220403,0.004166927821584494,0.4838457374680882,0.4856236864956314,0.4057064309741018,0.4052026427461362,0.07991725552152962,0.08042104374949521,0.45185185185185184,0.1037037037037037
20,0.2,hybrid,0.00371369981305181,0.002936301262005242,0.003886992755232846,0.4739762590133597,0.4755128963034572,0.4035502065833897,0.4030440000013532,0.07196268972006753,0.07246889630210401,0.5185185185185185,0.1037037037037037
21,0.2,hybrid,0.0034453817511663843,0.0027179447721790905,0.0036371848949364647,0.4647006279662696,0.4675497857493217,0.4029869525431678,0.4024754463398772,0.06456283320615391,0.06507433940944451,0.48518518518518516,0.1037037037037037
22,0.2,hybrid,0.003209201690583051,0.0025259370645465636,0.0034163231301824353,0.4553852807641167,0.45929518979437894,0.40287745019350557,0.4023600759848824,0.05641773960087337,0.05693511380949656,0.37037037037037035,0.1037037037037037
