mode,candidate_key,psi_family,time_encoding_variant,seed,epoch,mean_relative_bootstrap_target_delta,mean_relative_identity_target_delta,mean_bootstrap_target_cosine_similarity,mean_identity_target_cosine_similarity,mean_relative_psi_input_delta
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,1,0.0,0.0002443483420387238,1.0,0.9999999782073037,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,2,0.0,0.0002701118780692488,1.0,0.9999999663314822,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,3,0.0,0.0003301924557020565,1.0,0.999999941102307,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,4,0.0,0.00037165240982519693,1.0,0.9999999188437876,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,5,0.0,0.000367406441923961,1.0,0.9999999160778146,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,6,0.0,0.0003439181034258768,1.0,0.9999999240764972,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,7,0.0,0.00030947245990134247,1.0,0.9999999374639967,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,8,0.0,0.0002721052242749242,1.0,0.9999999511976337,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,9,0.0,0.00023696553833601157,1.0,0.9999999630772072,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,10,0.0,0.00020492584870878842,1.0,0.9999999726988051,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,11,0.0,0.0001773647139275243,1.0,0.9999999801957491,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,12,0.0,0.00015543642646791028,1.0,0.9999999854136543,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,13,0.0,0.0001387231291058634,1.0,0.9999999891287544,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,14,0.0,0.00012765771890402804,1.0,0.9999999915685951,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,15,0.0,0.00011928030379814048,1.0,0.999999993226389,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,16,0.0,0.00011029307340285095,1.0,0.9999999946927256,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,17,0.0,0.00010294239912798829,1.0,0.9999999958035121,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,18,0.0,9.843978455717682e-05,1.0,0.9999999963996148,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,19,0.0,9.395474125031039e-05,1.0,0.9999999969930065,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,20,0.0,9.231830100174757e-05,1.0,0.999999997238478,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,21,0.0,9.058480091309351e-05,1.0,0.9999999975604317,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,22,0.0,8.884176096555265e-05,1.0,0.9999999976223565,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,23,0.0,9.023836950352852e-05,1.0,0.9999999976418806,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,24,0.0,8.798925767630767e-05,1.0,0.9999999978689255,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,25,0.0,8.771116040396142e-05,1.0,0.9999999979933311,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,26,0.0,8.759895596005706e-05,1.0,0.9999999979884576,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,27,0.0,8.834380969877205e-05,1.0,0.9999999979572912,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,28,0.0,8.951235345046156e-05,1.0,0.9999999980043974,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,29,0.0,8.900994015045572e-05,1.0,0.9999999979709335,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,30,0.0,8.969623815040844e-05,1.0,0.999999997954999,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,31,0.0,9.038917516984554e-05,1.0,0.9999999980490065,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,32,0.0,9.028304572075952e-05,1.0,0.9999999980382619,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,33,0.0,9.022482594417908e-05,1.0,0.9999999980858139,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,34,0.0,9.165704028972129e-05,1.0,0.999999998029948,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,35,0.0,9.238803279990972e-05,1.0,0.9999999980078836,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,36,0.0,9.313924173311053e-05,1.0,0.9999999979563604,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,37,0.0,9.351475846437114e-05,1.0,0.9999999979684523,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,38,0.0,9.345944309110549e-05,1.0,0.9999999980230865,0.0
