candidate_key,bootstrap_integrator,bootstrap_substeps,num_probe_evaluations,mean_mse_to_reference_average_velocity,mean_relative_mse_to_reference_average_velocity,mean_cosine_similarity_to_reference_average_velocity,mean_endpoint_displacement_error,mean_hidden_energy_after_bootstrap_step,mean_wall_time_seconds_per_eval
rk2_s16,rk2,16,60,1.7734921520430766e-22,1.161694502198131e-15,1.0,6.87261916270841e-11,0.4063594594062288,0.007041291668429039
rk2_s8,rk2,8,60,3.1310982063501844e-21,2.0509518936017903e-14,0.9999999999999999,2.887660782481701e-10,0.4063594594933229,0.003487473335311127
rk2_s4,rk2,4,60,5.1386094734649767e-20,3.3658636162887083e-13,0.9999999999999974,1.1697705945466323e-09,0.4063594598420332,0.0017556650020803014
rk2_s2,rk2,2,60,8.298952935740804e-19,5.435735966494559e-12,0.9999999999999566,4.700558367300511e-09,0.4063594612395484,0.0008867516677128151
rk2_s1,rk2,1,60,1.3390551477832123e-17,8.770043417829588e-11,0.999999999999296,1.8878027633857453e-08,0.4063594668510661,0.00046853333866844575
euler_s16,euler,16,60,6.3773532225464544e-15,4.259751142463004e-08,0.9999999999173793,4.3067919312808406e-07,0.4063592888776597,0.003632979995260636
euler_s8,euler,8,60,2.5526625193349547e-14,1.705039306946861e-07,0.9999999996692401,8.616457626844935e-07,0.4063591182627123,0.0017877383303130045
euler_s4,euler,4,60,1.0224609221689111e-13,6.82939311146624e-07,0.9999999986746988,1.7244561820517025e-06,0.4063587766860699,0.0008811183331999927
euler_s2,euler,2,60,4.101084171971502e-13,2.739194095489317e-06,0.999999994680536,3.4535962334271694e-06,0.40635809214181706,0.00046887500405622026
euler_s1,euler,1,60,1.6494976827647457e-12,1.1016740764229404e-05,0.9999999785746105,6.92603447920556e-06,0.406356717457397,0.0002508349978597835
