run_index,candidate_key,source_family,diagnostic_only,slow_pc_steps,seed,checkpoint_selector,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,total_wall_time_seconds,run_status,nan_or_inf_failure,failure_type,failure_message,run_summary_path
1,local_field_source,local_field,False,,0,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,18.952819800004363,completed,False,,,runs/local_field_source/seed_0/summary.json
2,local_field_source,local_field,False,,1,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,19.304930199985392,completed,False,,,runs/local_field_source/seed_1/summary.json
3,local_field_source,local_field,False,,2,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,19.301561899948865,completed,False,,,runs/local_field_source/seed_2/summary.json
4,local_field_source,local_field,False,,3,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,32,0.3052137238952159,58,True,False,19.152052100049332,completed,False,,,runs/local_field_source/seed_3/summary.json
5,local_field_source,local_field,False,,4,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8148148148148148,23,0.28345675123876396,60,True,False,19.120149400027003,completed,False,,,runs/local_field_source/seed_4/summary.json
6,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,0,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.3010716200140191,55,True,False,27.375356499978807,completed,False,,,runs/diagnostic_slow_pc_k16/seed_0/summary.json
7,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,1,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7814814814814814,27,0.3037058074262917,57,True,False,27.16379349998897,completed,False,,,runs/diagnostic_slow_pc_k16/seed_1/summary.json
8,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,2,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,27,0.3159497537797089,51,True,False,26.785126300004777,completed,False,,,runs/diagnostic_slow_pc_k16/seed_2/summary.json
9,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,3,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,32,0.30502000767953114,58,True,False,26.99753180006519,completed,False,,,runs/diagnostic_slow_pc_k16/seed_3/summary.json
10,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,4,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8148148148148148,23,0.2832978436077238,60,True,False,26.91284300002735,completed,False,,,runs/diagnostic_slow_pc_k16/seed_4/summary.json
