run_index,preset_name,family_or_reference,seed,checkpoint_selector,micro_steps,incremental_weight_updates,supervision_policy,theta_update_budget,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,run_summary_path
1,tf2_canonical,tf2,0,gate_constrained_accuracy_then_val_accuracy,4,True,mixed,matched,0.7592592592592593,0.8037037037037037,0,0.31832827438082345,55,False,True,runs/fmpc_tf2/tf2_canonical_seed0/summary.json
2,tf2_canonical,tf2,1,gate_constrained_accuracy_then_val_accuracy,4,True,mixed,matched,0.8111111111111111,0.7592592592592593,2,0.3173802527624454,59,True,False,runs/fmpc_tf2/tf2_canonical_seed1/summary.json
3,tf2_canonical,tf2,2,gate_constrained_accuracy_then_val_accuracy,4,True,mixed,matched,0.8222222222222222,0.8222222222222222,6,0.3156725659187618,59,True,False,runs/fmpc_tf2/tf2_canonical_seed2/summary.json
4,tf2_canonical,tf2,3,gate_constrained_accuracy_then_val_accuracy,4,True,mixed,matched,0.8444444444444444,0.8,7,0.3116207987704478,58,True,False,runs/fmpc_tf2/tf2_canonical_seed3/summary.json
5,tf2_canonical,tf2,4,gate_constrained_accuracy_then_val_accuracy,4,True,mixed,matched,0.8666666666666667,0.8333333333333334,0,0.30219752324599547,57,False,True,runs/fmpc_tf2/tf2_canonical_seed4/summary.json
6,tf2_corrective_transport_default,tf2,0,gate_constrained_accuracy_then_val_accuracy,4,False,local_only,matched,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,runs/fmpc_tf2/tf2_corrective_transport_default_seed0/summary.json
7,tf2_corrective_transport_default,tf2,1,gate_constrained_accuracy_then_val_accuracy,4,False,local_only,matched,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,runs/fmpc_tf2/tf2_corrective_transport_default_seed1/summary.json
8,tf2_corrective_transport_default,tf2,2,gate_constrained_accuracy_then_val_accuracy,4,False,local_only,matched,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,runs/fmpc_tf2/tf2_corrective_transport_default_seed2/summary.json
9,tf2_corrective_transport_default,tf2,3,gate_constrained_accuracy_then_val_accuracy,4,False,local_only,matched,0.8333333333333334,0.8222222222222222,32,0.3052137238952159,58,True,False,runs/fmpc_tf2/tf2_corrective_transport_default_seed3/summary.json
10,tf2_corrective_transport_default,tf2,4,gate_constrained_accuracy_then_val_accuracy,4,False,local_only,matched,0.8407407407407408,0.8148148148148148,23,0.28345675123876396,60,True,False,runs/fmpc_tf2/tf2_corrective_transport_default_seed4/summary.json
11,baseline_working_default,sealed_tf1,0,gate_constrained_accuracy_then_val_accuracy,,,,,0.6518518518518519,0.6259259259259259,10,0.38210050767073434,54,True,False,runs/fmpc_tf1/baseline_working_default_seed0/summary.json
12,baseline_working_default,sealed_tf1,1,gate_constrained_accuracy_then_val_accuracy,,,,,0.6814814814814815,0.7,0,0.40323478641756094,58,False,True,runs/fmpc_tf1/baseline_working_default_seed1/summary.json
13,baseline_working_default,sealed_tf1,2,gate_constrained_accuracy_then_val_accuracy,,,,,0.6888888888888889,0.6592592592592592,4,0.3766131207031562,58,True,False,runs/fmpc_tf1/baseline_working_default_seed2/summary.json
14,baseline_working_default,sealed_tf1,3,gate_constrained_accuracy_then_val_accuracy,,,,,0.6925925925925925,0.7,15,0.379880157505646,50,True,False,runs/fmpc_tf1/baseline_working_default_seed3/summary.json
15,baseline_working_default,sealed_tf1,4,gate_constrained_accuracy_then_val_accuracy,,,,,0.7666666666666667,0.7444444444444445,0,0.3540612986264591,60,False,True,runs/fmpc_tf1/baseline_working_default_seed4/summary.json
16,canonical_slow_pc_digits_baseline,slow_pc_reference,0,,,,,,0.8444444444444444,0.9185185185185185,,,,,,runs/digits_pc/canonical_slow_pc_digits_baseline_seed0/summary.json
17,canonical_slow_pc_digits_baseline,slow_pc_reference,1,,,,,,0.8740740740740741,0.8962962962962963,,,,,,runs/digits_pc/canonical_slow_pc_digits_baseline_seed1/summary.json
18,canonical_slow_pc_digits_baseline,slow_pc_reference,2,,,,,,0.8629629629629629,0.8740740740740741,,,,,,runs/digits_pc/canonical_slow_pc_digits_baseline_seed2/summary.json
19,canonical_slow_pc_digits_baseline,slow_pc_reference,3,,,,,,0.9222222222222223,0.9074074074074074,,,,,,runs/digits_pc/canonical_slow_pc_digits_baseline_seed3/summary.json
20,canonical_slow_pc_digits_baseline,slow_pc_reference,4,,,,,,0.8925925925925926,0.8814814814814815,,,,,,runs/digits_pc/canonical_slow_pc_digits_baseline_seed4/summary.json
