epoch,batch_size,batches_per_epoch,train_steps,eval_steps,inference_backend,inference_method,state_init,train_loss,train_accuracy,val_loss,val_accuracy,train_baseline_accuracy,val_baseline_accuracy,accuracy,baseline_accuracy,train_mean_pre_update_energy,train_mean_post_update_energy,train_mean_energy_delta,weight_norm_l1,weight_norm_l2,bias_norm_l1,bias_norm_l2
1,64,20,30,30,pc_euler,euler,forward,0.09011161587202114,0.1662688941925219,0.09064790283751521,0.16296296296296298,0.10182975338106603,0.1037037037037037,0.16296296296296298,0.1037037037037037,0.4691022562080822,0.4650320948947124,-0.004070161313369805,3.192557029675734,1.257758982804484,0.001605650420099993,0.08621423023989386
2,64,20,30,30,pc_euler,euler,forward,0.08671530974939885,0.2609387430389817,0.08732866588194592,0.2740740740740741,0.10182975338106603,0.1037037037037037,0.2740740740740741,0.1037037037037037,0.4355786816857939,0.4337548026373842,-0.00182387904840971,3.1926064531967207,1.2631823588373299,0.0021230298876392063,0.11432555026382951
3,64,20,30,30,pc_euler,euler,forward,0.08445103916963674,0.3556085918854415,0.08511171038509135,0.36666666666666664,0.10182975338106603,0.1037037037037037,0.36666666666666664,0.1037037037037037,0.4222839189324228,0.4208907716969005,-0.0013931472355222714,3.1926840040504665,1.2700471817787546,0.002349021055081557,0.125185699404506
4,64,20,30,30,pc_euler,euler,forward,0.08245052489132458,0.4295942720763723,0.08315955684242207,0.4222222222222222,0.10182975338106603,0.1037037037037037,0.4222222222222222,0.1037037037037037,0.411558294057364,0.4100248508566918,-0.0015334432006722965,3.192805993321482,1.2791781489032858,0.002481729801219916,0.13054721617879353
5,64,20,30,30,pc_euler,euler,forward,0.08059860315204177,0.4932378679395386,0.0813461879557213,0.48148148148148145,0.10182975338106603,0.1037037037037037,0.48148148148148145,0.1037037037037037,0.40201877716422985,0.4007995183697239,-0.0012192587945060451,3.192970076792092,1.2905909243494074,0.0025224179312979475,0.13203704134475672
6,64,20,30,30,pc_euler,euler,forward,0.07886776777222768,0.5417661097852029,0.07966376072820332,0.5185185185185185,0.10182975338106603,0.1037037037037037,0.5185185185185185,0.1037037037037037,0.3930801772805068,0.3916313704132433,-0.0014488068672636023,3.1931763082386335,1.3041514282782898,0.0025628027611419232,0.13405209050839811
7,64,20,30,30,pc_euler,euler,forward,0.07725095360710356,0.5918854415274463,0.0780824765681511,0.5666666666666667,0.10182975338106603,0.1037037037037037,0.5666666666666667,0.1037037037037037,0.3848100664256003,0.3835260113993987,-0.0012840550262016221,3.193415024508129,1.3194001558182809,0.0026247924806567444,0.13630536973939705
8,64,20,30,30,pc_euler,euler,forward,0.07573910427046535,0.6332537788385044,0.07660422908308802,0.6,0.10182975338106603,0.1037037037037037,0.6,0.1037037037037037,0.3770101880216772,0.37585378277383574,-0.001156405247841466,3.1936865962051972,1.3362519657847904,0.002665193349581654,0.13788870968470904
9,64,20,30,30,pc_euler,euler,forward,0.07432553731389585,0.6634844868735084,0.07522296656746269,0.6185185185185185,0.10182975338106603,0.1037037037037037,0.6185185185185185,0.1037037037037037,0.3693952087088867,0.3682151570529413,-0.0011800516559454216,3.1939887335562447,1.3544539367329322,0.002754603915378546,0.140538426480532
10,64,20,30,30,pc_euler,euler,forward,0.0729896980772734,0.6953062848050915,0.07390433618667495,0.6555555555555556,0.10182975338106603,0.1037037037037037,0.6555555555555556,0.1037037037037037,0.3627869147871704,0.36183885575779795,-0.000948059029372439,3.1943123750893134,1.3736800754099165,0.0027954733983278426,0.14208684326255247
