run_index,method_name,seed,run_id,run_summary_path,is_tf2_method,val_accuracy,test_accuracy,selected_epoch,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_report_output_mse,test_report_output_mse,val_transported_final_energy,test_transported_final_energy,val_supervised_output_mse,test_supervised_output_mse,val_internal_slow_pc_output_mse,test_internal_slow_pc_output_mse,val_internal_slow_pc_supervised_final_energy,test_internal_slow_pc_supervised_final_energy,val_endpoint_hidden_state_rms_gap_to_internal_slow_pc,test_endpoint_hidden_state_rms_gap_to_internal_slow_pc,val_endpoint_output_state_rms_gap_to_internal_slow_pc,test_endpoint_output_state_rms_gap_to_internal_slow_pc,val_transport_minus_internal_slow_pc_output_mse,test_transport_minus_internal_slow_pc_output_mse,val_transport_minus_internal_slow_pc_supervised_final_energy,test_transport_minus_internal_slow_pc_supervised_final_energy,runtime_proxy_seconds
0,tf2_corrective_transport_terminal_angleclip_default,0,adopted_s0,tf2_runs/tf2/adopted_s0/summary.json,True,0.774074074074074,0.8037037037037037,53,11,True,False,0.06320277364531794,0.06274214890460197,0.3137282688131667,0.31098839035213055,0.05516971777538815,0.05475014631375841,0.06294626453454936,0.06248786545297604,0.31473487633300556,0.31244285009087613,0.034295236497130545,0.03400212507770687,0.02890819744649987,0.02871174704853713,-0.007776546759161215,-0.0077377191392176345,-0.0010066075198388869,-0.0014544597387455838,19.40820899999744
1,tf2_corrective_transport_terminal_angleclip_default,1,adopted_s1,tf2_runs/tf2/adopted_s1/summary.json,True,0.8629629629629629,0.8333333333333334,56,23,True,False,0.05881460861610098,0.059407377548759153,0.2883009074387914,0.2906424490085868,0.04967542185167584,0.050221859389637594,0.058572971901118376,0.05916209139305194,0.2928682071325604,0.29581385515272773,0.03519853590686292,0.035024113378492774,0.031570268325242665,0.03160889515305186,-0.008897550049442537,-0.008940232003414345,-0.004567299693769011,-0.005171406144140911,20.519582400000218
2,tf2_corrective_transport_terminal_angleclip_default,2,adopted_s2,tf2_runs/tf2/adopted_s2/summary.json,True,0.7962962962962963,0.8222222222222222,51,18,True,False,0.06305214040572814,0.06270885437346925,0.3111068208914448,0.309422356845605,0.05318903535162648,0.05275469383534945,0.06280277551754192,0.06246134199590217,0.3140173322697464,0.31231013899672316,0.037442254200920455,0.037643900505818624,0.03288070613999569,0.03298314228010864,-0.009613740165915437,-0.009706648160552722,-0.0029105113783015613,-0.002887782151118179,20.2189541000007
3,tf2_corrective_transport_terminal_angleclip_default,3,adopted_s3,tf2_runs/tf2/adopted_s3/summary.json,True,0.8703703703703703,0.8518518518518519,54,13,True,False,0.059640845476171794,0.05924171795683644,0.2945268064645564,0.29293254651939094,0.05060241450935214,0.050286298069708905,0.059385427861770076,0.0589908576586298,0.2969306778627547,0.2949577637064752,0.035900052189653184,0.03589540449374435,0.030324683288660774,0.029871642730343574,-0.008783013352417934,-0.008704559588920892,-0.002403871398198254,-0.0020252171870842606,19.061889699998574
4,tf2_corrective_transport_terminal_angleclip_default,4,adopted_s4,tf2_runs/tf2/adopted_s4/summary.json,True,0.8740740740740741,0.8592592592592593,60,19,True,False,0.058992928117672955,0.05840439044333632,0.286513578402705,0.28374930970998746,0.05010655905977924,0.04959627805351545,0.05872952217068985,0.05814498444435082,0.2936512600927539,0.2907285160442757,0.033405762056434044,0.033307065025609865,0.03157770216138884,0.031549512003891465,-0.008622963110910611,-0.008548706390835367,-0.007137681690048858,-0.006979206334288224,19.975787199997285
5,tf2_corrective_transport_default,0,historical_s0,tf2_runs/tf2/historical_s0/summary.json,True,0.7888888888888889,0.8407407407407408,55,30,True,False,0.062128770521353495,0.061255824976561374,0.30119296966554254,0.2985472218119797,0.051774376375793754,0.051251721977271035,0.061910746919443795,0.0610422976712947,0.30955675506242203,0.3052144465293459,0.03623085507726749,0.0362212228997765,0.033602364631543584,0.03333925662978855,-0.01013637054365004,-0.009790575694023668,-0.008363785396879486,-0.006667224717366194,18.94761589999689
6,tf2_corrective_transport_default,1,historical_s1,tf2_runs/tf2/historical_s1/summary.json,True,0.825925925925926,0.7814814814814814,57,27,True,False,0.0633594529218751,0.06427705501663264,0.30386400159532506,0.3083075489670743,0.05347983221358321,0.054346790881214385,0.06315099403137317,0.06406457130582047,0.3157578581067164,0.3203258002398659,0.033619353047641715,0.033669418559376114,0.030252694842278497,0.030015282729904093,-0.009671161817789958,-0.009717780424606082,-0.011893856511391354,-0.012018251272791602,20.08484469999894
7,tf2_corrective_transport_default,2,historical_s2,tf2_runs/tf2/historical_s2/summary.json,True,0.8592592592592593,0.837037037037037,51,26,True,False,0.0654207831451449,0.06467118238386889,0.31610738997193893,0.3130163994694858,0.05523918713553247,0.05456466894391042,0.06520485532927131,0.0644579618582886,0.32602726806174603,0.3222927632006688,0.03518119007581602,0.035306818556740005,0.030116901635551505,0.03028215695713745,-0.009965668193738841,-0.009893292914378182,-0.0099198780898071,-0.009276363731183013,19.94330429999536
8,tf2_corrective_transport_default,3,historical_s3,tf2_runs/tf2/historical_s3/summary.json,True,0.8333333333333334,0.8222222222222222,58,32,True,False,0.06545067137637219,0.06510023100798937,0.3052137238952159,0.30296729112432547,0.05370335232395439,0.05326462355675435,0.06521765745583905,0.06487127590771355,0.32609151541636366,0.32435955144218476,0.03370160627333841,0.03367590156646437,0.032242779786960094,0.0323142813218536,-0.011514305131884658,-0.011606652350959201,-0.02087779152114777,-0.02139226031785929,19.77813420000166
9,tf2_corrective_transport_default,4,historical_s4,tf2_runs/tf2/historical_s4/summary.json,True,0.8407407407407408,0.8148148148148148,60,23,True,False,0.058393970084728804,0.05865926932317208,0.28345675123876396,0.2857996338204264,0.048025026480089876,0.048486796319312915,0.05818056530646642,0.058445544688301855,0.29090578301259096,0.29223068435234506,0.03666248206799025,0.03667951862149227,0.035309637685659784,0.03505581243379923,-0.010155538826376542,-0.00995874836898894,-0.007449031773826997,-0.0064310505319186695,19.82592999999906
10,canonical_slow_pc_digits_baseline,0,slowpc_s0,slow_pc_runs/pc/slowpc_s0/summary.json,False,0.8444444444444444,0.9185185185185185,55,,,,0.05060637945071654,0.04951488002614204,,,0.050070286048001046,0.04898992484918994,0.050070286048001046,0.04898992484918994,0.2503662433171565,0.24496412955483438,0.0,0.0,0.0,0.0,,,,,16.332849099995656
11,canonical_slow_pc_digits_baseline,1,slowpc_s1,slow_pc_runs/pc/slowpc_s1/summary.json,False,0.8740740740740741,0.8962962962962963,60,,,,0.04863577513628618,0.04880345659475019,,,0.04808466586066318,0.0482507506060375,0.04808466586066318,0.0482507506060375,0.2404385573734582,0.2412690252232996,0.0,0.0,0.0,0.0,,,,,15.778702300001896
12,canonical_slow_pc_digits_baseline,2,slowpc_s2,slow_pc_runs/pc/slowpc_s2/summary.json,False,0.8629629629629629,0.8740740740740741,60,,,,0.05000531240731731,0.04846789730796512,,,0.04941587957755784,0.0478980808321051,0.04941587957755784,0.0478980808321051,0.24709568490338465,0.23950614914392468,0.0,0.0,0.0,0.0,,,,,15.71170229999916
13,canonical_slow_pc_digits_baseline,3,slowpc_s3,slow_pc_runs/pc/slowpc_s3/summary.json,False,0.9222222222222223,0.9074074074074074,50,,,,0.05005159789557838,0.049927508400428346,,,0.04958316369389788,0.04946592021904362,0.04958316369389788,0.04946592021904362,0.24792876187488783,0.24734235532741985,0.0,0.0,0.0,0.0,,,,,16.009516900001472
14,canonical_slow_pc_digits_baseline,4,slowpc_s4,slow_pc_runs/pc/slowpc_s4/summary.json,False,0.8925925925925926,0.8814814814814815,59,,,,0.0481168190793262,0.04780348701688901,,,0.04757532861882503,0.04727030439941244,0.04757532861882503,0.04727030439941244,0.23789160535245507,0.23636625468611688,0.0,0.0,0.0,0.0,,,,,15.72413339999548
