epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.0038042353304051993,0.0038042353304051993,0.004653182346842184,0.6097091795404134,0.6074559207562394,0.4722363207858499,0.47171228226115236,0.13521959997038957,0.13574363849508708,0.0962962962962963,0.1037037037037037
2,0.0,warmup,0.0038739080071490154,0.0038739080071490154,0.004635596516891017,0.5710115648077612,0.5861452564545364,0.4468750580248085,0.4463792867897327,0.13927019842972793,0.1397659696648037,0.16296296296296298,0.1037037037037037
3,0.0,warmup,0.004118047884412196,0.004118047884412196,0.004832201590316161,0.5617787045660282,0.583972685425745,0.43669544910902885,0.43621193244092393,0.14727723631671613,0.14776075298482105,0.2777777777777778,0.1037037037037037
4,0.0,warmup,0.0043920611473995475,0.0043920611473995475,0.0050976556680080495,0.562464458235897,0.5848193299959106,0.4311019823750354,0.43062521721319585,0.1537173476208752,0.15419411278271472,0.2962962962962963,0.1037037037037037
5,0.0,warmup,0.004586200448130967,0.004586200448130967,0.005317948177239741,0.5627047837291906,0.5837698605276928,0.42676352689743546,0.42629133809946407,0.1570063336302573,0.15747852242822868,0.34444444444444444,0.1037037037037037
6,0.020000000000000004,hybrid,0.004795047145663057,0.00468580828139207,0.005461943213549364,0.5611937961963795,0.5784405004336592,0.42293352059793266,0.4224646435623527,0.1555069798357266,0.15597585687130655,0.34814814814814815,0.1037037037037037
7,0.04000000000000001,hybrid,0.004869080838716498,0.004649868439793098,0.005480309973084962,0.5552292919367543,0.5707848913463005,0.4196216959824728,0.4191548156197184,0.15116319536382772,0.1516300757265821,0.34074074074074073,0.1037037037037037
8,0.06,hybrid,0.004855575946145737,0.004531428573163421,0.005402456216371957,0.5475218437985261,0.5598863891678878,0.41660982367170374,0.41614395836976226,0.14327656549618406,0.14374243079812554,0.3962962962962963,0.1037037037037037
9,0.08000000000000002,hybrid,0.004732693356641051,0.004315398566169178,0.005216184880898406,0.5374595931569224,0.5476599684472366,0.41380864349563345,0.41334305587609615,0.13385132495160318,0.13431691257114048,0.4,0.1037037037037037
10,0.1,hybrid,0.004544104517734575,0.00404774911696546,0.004963554007691151,0.5262307834398327,0.5338966553566629,0.411291957978123,0.41082598802199094,0.12260469737853985,0.12307066733467192,0.4111111111111111,0.1037037037037037
11,0.12,hybrid,0.004305940011371787,0.003746521760122892,0.004661818760407456,0.5140678524997421,0.519811181759499,0.40926727312142785,0.40880002187640957,0.11054390863807118,0.11101115988308946,0.4,0.1037037037037037
12,0.13999999999999999,hybrid,0.004030946085174117,0.0034253852362760005,0.004325434634986548,0.5014209155513194,0.5067892503430973,0.40748923478152826,0.40701984439634553,0.09930001556156903,0.09976940594675177,0.42592592592592593,0.1037037037037037
13,0.16000000000000003,hybrid,0.0037566372387195547,0.0031173943012619615,0.0039952683591099585,0.48996928781313304,0.4928463430275662,0.40571917669216606,0.40524779194390725,0.08712716633540013,0.08759855108365894,0.45185185185185184,0.1037037037037037
14,0.18000000000000002,hybrid,0.0034836522336644652,0.0028231269066060537,0.003669585150324507,0.47785946256115575,0.48062504606810513,0.4036065649768347,0.40313325894673513,0.07701848109127041,0.07749178712137,0.44814814814814813,0.1037037037037037
15,0.2,hybrid,0.0032367796023714452,0.002561192866789123,0.0033779336779116093,0.46779256092189997,0.46938028497631007,0.40160000150325215,0.4011243424321154,0.06778028347305792,0.06825594254419465,0.5333333333333333,0.1037037037037037
16,0.2,hybrid,0.002959742460367233,0.002335457804693965,0.0031214232783663394,0.4572648972717987,0.459857695824522,0.3998604214062372,0.39938204768110525,0.05999727441828484,0.06047564814341677,0.6111111111111112,0.1037037037037037
17,0.2,hybrid,0.002728767332452185,0.0021471705965634717,0.0029079836794435663,0.45002956269308153,0.450477233716428,0.397517840015376,0.39703741240713464,0.052959393701052015,0.05343982130929337,0.5407407407407407,0.1037037037037037
18,0.2,hybrid,0.002534958253671232,0.0019900075307960436,0.002724753614375941,0.4423020379211045,0.44355141370122875,0.3961180702667851,0.3956343271363269,0.047433343434443664,0.047917086564901845,0.5222222222222223,0.1037037037037037
19,0.2,hybrid,0.002374648983953715,0.00186003666516957,0.0025730615939207275,0.4354088926469276,0.4364096972003093,0.39367288959030333,0.39318687725487567,0.04273680761000598,0.043222819945433644,0.5777777777777777,0.1037037037037037
20,0.2,hybrid,0.002246161375285328,0.0017562671250717483,0.0024494712510678973,0.4295102436991843,0.4303198596761565,0.39159845525329723,0.39110963803824017,0.03872140442285926,0.03921022163791632,0.6185185185185185,0.1037037037037037
21,0.2,hybrid,0.002136321183547814,0.0016675619970845906,0.002343795932316115,0.42383921299158456,0.4252735189959784,0.3898121749912494,0.3893199804971127,0.035461344004728945,0.03595353849886568,0.5925925925925926,0.1037037037037037
22,0.2,hybrid,0.002044321498106401,0.001593545183418181,0.0022538815734411016,0.41810137227661787,0.4202275292619475,0.3883165195952168,0.38782069486405835,0.031911009666730716,0.03240683439788916,0.5222222222222223,0.1037037037037037
23,0.2,hybrid,0.0019704979278033765,0.0015345749851510238,0.0021796147132617616,0.4143657323433706,0.41522555122330596,0.3859737439080885,0.38547529623057997,0.029251807315217482,0.02975025499272599,0.6333333333333333,0.1037037037037037
24,0.2,hybrid,0.0019092280149282828,0.0014853728103512384,0.002119276022885223,0.4098270645043739,0.4111590914526106,0.3836481342397004,0.3831467287714921,0.027510957212910192,0.028012362681118508,0.6296296296296297,0.1037037037037037
25,0.2,hybrid,0.001857347068420692,0.0014445012227325624,0.0020642292284406487,0.4056576711883066,0.4069042236947449,0.3816014488119481,0.38109674862201504,0.025302774882796808,0.025807475072729846,0.6037037037037037,0.1037037037037037
26,0.2,hybrid,0.0018145539516643814,0.0014106358966834956,0.002019590274904427,0.40249673134073094,0.4029865292946537,0.3793868661419356,0.37887894567852415,0.023599663152718053,0.024107583616129524,0.6592592592592592,0.1037037037037037
27,0.2,hybrid,0.0017765779953320636,0.0013805960461339742,0.001979909745990449,0.3985915628099348,0.39957493623786944,0.37730691825552326,0.37679557196770086,0.022268017982346178,0.02277936427016858,0.662962962962963,0.1037037037037037
28,0.2,hybrid,0.0017452317575455353,0.0013556854171183769,0.0019477317021357927,0.3950709730032623,0.3960519947150854,0.3754631506002389,0.37494836368939827,0.020588844114846516,0.02110363102568713,0.6259259259259259,0.1037037037037037
29,0.2,hybrid,0.0017192934637562877,0.00133592309513375,0.001916851843112688,0.39207168253101,0.3922230213153911,0.37309475693063815,0.3725767595019501,0.019128264384752958,0.01964626181344098,0.6703703703703704,0.1037037037037037
30,0.2,hybrid,0.0016965984887971953,0.0013182885335797333,0.0018915497760873094,0.3885327532675074,0.3894342743416344,0.3714530156519323,0.3709311229660761,0.01798125868970213,0.018503151375558302,0.6777777777777778,0.1037037037037037
31,0.2,hybrid,0.0016756349062590388,0.0013017954446971638,0.0018691973078093747,0.385807084699617,0.3860251774665463,0.36901236148513644,0.3684871781303318,0.017012815981409857,0.01753799933621447,0.7185185185185186,0.1037037037037037
