case_name,seed,run_id,run_summary_path,intervention_step_offsets,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selected_epoch_passes_gate_flag,selector_fallback_used,selector_fallback_used_flag,val_transported_final_energy,val_report_output_mse,runtime_proxy_seconds,val_terminal_rowspace_rms,val_terminal_rowspace_fraction,val_preterminal_rowspace_share,val_terminal_rowspace_share,val_preterminal_output_share,val_terminal_output_share,test_terminal_rowspace_rms,test_terminal_rowspace_fraction,test_preterminal_rowspace_share,test_terminal_rowspace_share,test_preterminal_output_share,test_terminal_output_share
adopted_control_terminal_only,0,adopted_control_terminal_only_s0,tf2_runs/tf2/adopted_control_terminal_only_s0/summary.json,-1,53,0.774074074074074,0.8037037037037037,11,True,1.0,False,0.0,0.3137282688131667,0.06320277364531794,16.221398699999554,0.14641771874107942,0.5336663837896631,0.729910472421822,0.2700895275781779,0.7302387291879893,0.26976127081201073,0.145162582375685,0.5336526101086962,0.7319853598959054,0.26801464010409465,0.7320470358424831,0.26795296415751696
adopted_control_terminal_only,1,adopted_control_terminal_only_s1,tf2_runs/tf2/adopted_control_terminal_only_s1/summary.json,-1,56,0.8629629629629629,0.8333333333333334,23,True,1.0,False,0.0,0.2883009074387914,0.05881460861610098,16.3155379000018,0.15597799093227577,0.5539221551181891,0.7494129410749253,0.2505870589250747,0.7488931647873882,0.2511068352126118,0.15594936227247427,0.5565785512797519,0.7488834533164039,0.25111654668359606,0.7482657253628544,0.2517342746371456
adopted_control_terminal_only,2,adopted_control_terminal_only_s2,tf2_runs/tf2/adopted_control_terminal_only_s2/summary.json,-1,51,0.7962962962962963,0.8222222222222222,18,True,1.0,False,0.0,0.3111068208914448,0.06305214040572814,16.770641600003728,0.16463456848443525,0.5496282608980444,0.74532725161063,0.25467274838937004,0.7456728787194549,0.25432712128054513,0.1658863197417711,0.550840632588439,0.7449598399545116,0.25504016004548835,0.7450793112718134,0.2549206887281866
adopted_control_terminal_only,3,adopted_control_terminal_only_s3,tf2_runs/tf2/adopted_control_terminal_only_s3/summary.json,-1,54,0.8703703703703703,0.8518518518518519,13,True,1.0,False,0.0,0.2945268064645564,0.059640845476171794,18.58654100000058,0.15290771608757003,0.5324077082109361,0.7509171655708395,0.2490828344291605,0.7542769519232938,0.24572304807670617,0.1506308278838342,0.5245477450674965,0.7509313735272819,0.24906862647271807,0.7545572102011746,0.2454427897988254
adopted_control_terminal_only,4,adopted_control_terminal_only_s4,tf2_runs/tf2/adopted_control_terminal_only_s4/summary.json,-1,60,0.8740740740740741,0.8592592592592593,19,True,1.0,False,0.0,0.286513578402705,0.058992928117672955,19.79614219999712,0.1481421455651277,0.5543285665615998,0.746736679346538,0.25326332065346197,0.7475531925954781,0.25244680740452186,0.14791672088129026,0.5551251692679797,0.747083198109723,0.25291680189027693,0.7481851168083667,0.25181488319163325
same_geometry_penultimate_plus_terminal,0,same_geometry_penultimate_plus_terminal_s0,tf2_runs/tf2/same_geometry_penultimate_plus_terminal_s0/summary.json,"-2,-1",50,0.825925925925926,0.8407407407407408,0,False,0.0,True,1.0,0.30528628947565317,0.05845800020994699,20.955691100003605,0.13922456555203275,0.4892853350584122,0.7332914112641733,0.2667085887358267,0.7321993816244038,0.2678006183755962,0.1379695750303688,0.48908261228017524,0.7361131409341828,0.26388685906581716,0.7347391780569108,0.26526082194308914
same_geometry_penultimate_plus_terminal,1,same_geometry_penultimate_plus_terminal_s1,tf2_runs/tf2/same_geometry_penultimate_plus_terminal_s1/summary.json,"-2,-1",56,0.8814814814814815,0.8592592592592593,0,False,0.0,True,1.0,0.2836394620279154,0.05643809337796557,21.321567299997696,0.1441542335521446,0.513137168510106,0.7481601155082277,0.2518398844917723,0.7473696591288903,0.25263034087110964,0.14374720061733973,0.5148213510940958,0.7474018790470434,0.2525981209529566,0.7465798978255148,0.2534201021744852
same_geometry_penultimate_plus_terminal,2,same_geometry_penultimate_plus_terminal_s2,tf2_runs/tf2/same_geometry_penultimate_plus_terminal_s2/summary.json,"-2,-1",55,0.825925925925926,0.8481481481481481,0,False,0.0,True,1.0,0.2969028387485867,0.058037326094064375,21.48155720000068,0.15003011803846464,0.4947764777572178,0.7424268787819728,0.2575731212180273,0.741840295375897,0.2581597046241029,0.15090873100340055,0.49643301024023045,0.7421242042372916,0.25787579576270836,0.7412107092232418,0.2587892907767581
same_geometry_penultimate_plus_terminal,3,same_geometry_penultimate_plus_terminal_s3,tf2_runs/tf2/same_geometry_penultimate_plus_terminal_s3/summary.json,"-2,-1",58,0.8851851851851852,0.8851851851851852,0,False,0.0,True,1.0,0.27406517070332753,0.05385930324938435,21.41643539999859,0.13676706745205472,0.47100195449662774,0.7518057499030372,0.24819425009696286,0.7526716282308712,0.2473283717691288,0.13306980990882603,0.4607022003686506,0.7520085407501809,0.24799145924981908,0.7531011831579455,0.24689881684205453
same_geometry_penultimate_plus_terminal,4,same_geometry_penultimate_plus_terminal_s4,tf2_runs/tf2/same_geometry_penultimate_plus_terminal_s4/summary.json,"-2,-1",60,0.8666666666666667,0.8666666666666667,0,False,0.0,True,1.0,0.27671029356001736,0.05445298178477972,21.48253720000139,0.14247421826287965,0.5093642596330552,0.7424765502722265,0.2575234497277736,0.7424149643308943,0.2575850356691057,0.14271495464757808,0.5095959679632032,0.742854343532203,0.257145656467797,0.7431354625493957,0.25686453745060434
same_geometry_last_two_preterminal_plus_terminal,0,same_geometry_last_two_preterminal_plus_terminal_s0,tf2_runs/tf2/same_geometry_last_two_preterminal_plus_terminal_s0/summary.json,"-3,-2,-1",55,0.8629629629629629,0.9037037037037037,0,False,0.0,True,1.0,0.29030568062621026,0.05292279921803607,22.865827100002207,0.13475869328512782,0.4621607338583919,0.7348865403220879,0.26511345967791206,0.7344341122824171,0.2655658877175829,0.13268153515312345,0.46070906507521875,0.7379898413895813,0.2620101586104187,0.7374703419785278,0.2625296580214722
