epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.0037451445610556904,0.0037451445610556904,0.0068639100634106855,0.5482371848349837,0.5836844627770301,0.4719620666820196,0.4713793617137733,0.1117223960950105,0.11230510106325681,0.11851851851851852,0.1037037037037037
2,0.0,warmup,0.003967806426706753,0.003967806426706753,0.0072021673644564075,0.5243457366657681,0.5841678728944965,0.45435943922527905,0.4538026291450152,0.1298084336692174,0.13036524374948127,0.12962962962962962,0.1037037037037037
3,0.0,warmup,0.004395244601603593,0.004395244601603593,0.007723493156817427,0.5234390640022795,0.5899894004179453,0.44579268610917444,0.4452425177248813,0.1441967143087709,0.14474688269306402,0.17777777777777778,0.1037037037037037
4,0.0,warmup,0.00488611556248119,0.00488611556248119,0.008281228590820026,0.5252540841420408,0.596562715229638,0.4381844516905599,0.437638061326288,0.15837826353907808,0.15892465390334998,0.26666666666666666,0.1037037037037037
5,0.0,warmup,0.005459076946337826,0.005459076946337826,0.008873281230170588,0.52936001308184,0.6089875218517505,0.4321090121111964,0.4315624708433427,0.17687850974055414,0.17742505100840783,0.2851851851851852,0.1037037037037037
6,0.020000000000000004,hybrid,0.00623644064154187,0.006047559778335142,0.009444043160336401,0.5362131504526252,0.6193060474707542,0.4274483338569599,0.42689822356469814,0.19185771361379433,0.1924078239060561,0.3037037037037037,0.1037037037037037
7,0.04000000000000001,hybrid,0.006837022071747305,0.006445318632459748,0.009792585982188901,0.5398865167154404,0.6222467710224944,0.42354863977572765,0.422993204267942,0.19869813124676672,0.19925356675455236,0.3296296296296296,0.1037037037037037
8,0.06,hybrid,0.0071370158090027,0.006547820733587134,0.009819917923592764,0.5370426225131141,0.6186679840302995,0.42001968643555804,0.41945842643253217,0.1986482975947415,0.19920955759776737,0.3851851851851852,0.1037037037037037
9,0.08000000000000002,hybrid,0.007180463188889995,0.006414393820288885,0.009575867107513857,0.5297128961787788,0.6022276877103588,0.4171020263533424,0.41653336239068584,0.1851256613570164,0.185694325319673,0.37777777777777777,0.1037037037037037
10,0.1,hybrid,0.006933483035522023,0.0060281089594882,0.00905374076033824,0.5161618582200636,0.583511868587846,0.4131877087892352,0.4126130973614362,0.17032415979861076,0.17089877122640978,0.43333333333333335,0.1037037037037037
