epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.004643935113153802,0.004643935113153802,0.005607882588212166,0.6672981836154179,0.6372848391470851,0.4842869400827668,0.48369763284958817,0.15299789906431832,0.15358720629749695,0.08148148148148149,0.1037037037037037
2,0.0,warmup,0.004622854777266,0.004622854777266,0.0054864952426806664,0.6304924962281168,0.6223794714563978,0.4637542343376244,0.4631998268680002,0.1586252371187734,0.15917964458839762,0.08518518518518518,0.1037037037037037
3,0.0,warmup,0.004660992622927445,0.004660992622927445,0.005444187633853745,0.6181327137125046,0.6110841403924206,0.453882613214513,0.45334698364150616,0.15720152717790764,0.1577371567509145,0.14814814814814814,0.1037037037037037
4,0.0,warmup,0.004715129964968754,0.004715129964968754,0.005474678037273891,0.6073507615140428,0.6009708034840375,0.4473555076085351,0.44682907170249087,0.15361529587550243,0.15414173178154666,0.17407407407407408,0.1037037037037037
5,0.0,warmup,0.004660338244655469,0.004660338244655469,0.005457301999528382,0.596189764149376,0.5900546797376393,0.44246105907242467,0.4419397467335156,0.1475936206652146,0.14811493300412365,0.18888888888888888,0.1037037037037037
6,0.020000000000000004,hybrid,0.004607841463773988,0.004500446992532804,0.00536972356205922,0.5832797852927909,0.5757184863847729,0.43714929455046725,0.4366326139620499,0.1385691918343056,0.13908587242272297,0.23703703703703705,0.1037037037037037
7,0.04000000000000001,hybrid,0.0044446593396824845,0.004238294772342609,0.005159114183496865,0.5673377776512754,0.5581520416335788,0.43350183205151926,0.4329871447634483,0.12465020958205952,0.1251648968701305,0.3074074074074074,0.1037037037037037
8,0.06,hybrid,0.004129810426691397,0.0038436963697427522,0.0047685676158107405,0.5470341867901867,0.534403280070899,0.4293431474377409,0.42882984199534135,0.10506013263315811,0.10557343807555764,0.2851851851851852,0.1037037037037037
9,0.08000000000000002,hybrid,0.0036575095685756898,0.003321816265113664,0.0041961662932753305,0.523084009406279,0.5094974605782178,0.4258543944345841,0.4253415961362184,0.08364306614363365,0.08415586444199935,0.3592592592592593,0.1037037037037037
10,0.1,hybrid,0.00316225910940663,0.0028022485244875014,0.0036001058491912847,0.4998096762619825,0.4873501806886106,0.4223161489930739,0.42180338905779313,0.06503403169553668,0.06554679163081745,0.3925925925925926,0.1037037037037037
11,0.12,hybrid,0.0027536696820959663,0.0023809344584822287,0.003106126863447816,0.47960551183565403,0.47011806076558005,0.41912987280650876,0.418616438738954,0.050988187959071285,0.05150162202662606,0.37777777777777777,0.1037037037037037
12,0.13999999999999999,hybrid,0.0024585171418735293,0.0020742477375886637,0.0027447814591776117,0.46433434894632597,0.45658895751914647,0.41635210992662514,0.41583710755829373,0.04023684759252133,0.04075184996085274,0.43333333333333335,0.1037037037037037
13,0.16000000000000003,hybrid,0.002252523034739381,0.0018558390963524928,0.0024792746149180514,0.45241289669479706,0.4451362135610567,0.4125068964052195,0.41199100779224285,0.03262931715583722,0.03314520576881386,0.5111111111111111,0.1037037037037037
14,0.18000000000000002,hybrid,0.00212142744456136,0.0017079910466077167,0.002296868877520239,0.4431051655621733,0.43645491179318785,0.4092561497523989,0.40873840343043827,0.02719876204078897,0.02771650836274958,0.5037037037037037,0.1037037037037037
15,0.2,hybrid,0.002041043053554723,0.0016065999449848926,0.002172215542849151,0.43460236596678714,0.43077375554342767,0.4077854243926985,0.4072629148240406,0.02298833115072918,0.023510840719387083,0.48518518518518516,0.1037037037037037
16,0.2,hybrid,0.0019560311183662803,0.0015391321145317824,0.0020844950191724896,0.4280273094556712,0.4233249105241857,0.4033640690941723,0.4028409723861275,0.01996084143001342,0.02048393813805821,0.562962962962963,0.1037037037037037
17,0.2,hybrid,0.0018956943036291258,0.0014908994769880998,0.0020239741332051297,0.4222691672564115,0.41815161411475743,0.4008077869760505,0.40028146579941953,0.017343827138706913,0.017870148315337897,0.5222222222222223,0.1037037037037037
18,0.2,hybrid,0.0018515584045123421,0.001454767421054858,0.0019839549172874214,0.416829815127534,0.41238023149819264,0.3971873968222248,0.3966587897275185,0.015192834675967826,0.01572144177067414,0.6222222222222222,0.1037037037037037
19,0.2,hybrid,0.0018170324639993202,0.0014272636982223283,0.0019488438288849598,0.41142845955151125,0.40750107940733404,0.39405321006332883,0.39352144893598023,0.013447869344005214,0.01397963047135381,0.6185185185185185,0.1037037037037037
20,0.2,hybrid,0.0017896962863635482,0.0014057865813284294,0.0019195485251755928,0.4067815681132981,0.40261119082349656,0.3908794694709557,0.3903444897925428,0.011731721352540858,0.01226670103095373,0.6555555555555556,0.1037037037037037
21,0.2,hybrid,0.001766495296477626,0.0013870981723860898,0.001896985620457679,0.40197685175569636,0.39912973204522184,0.3889980427608775,0.38845805244961196,0.010131689284344325,0.010671679595609884,0.6259259259259259,0.1037037037037037
22,0.2,hybrid,0.0017470532649841743,0.001371549925238216,0.0018775166987297937,0.3979764609075619,0.39356772779400206,0.38486901964233133,0.3843268678315605,0.008698708151670731,0.009240859962441561,0.6888888888888889,0.1037037037037037
23,0.2,hybrid,0.0017282106361495683,0.0013560394147291723,0.0018608561071019798,0.3929203234028643,0.3901853226404473,0.3826738853648821,0.3821267806874101,0.0075114372755651915,0.008058541953037235,0.662962962962963,0.1037037037037037
24,0.2,hybrid,0.001712140077688002,0.0013438610261393555,0.0018413952577432308,0.38841974469780965,0.38558538736966774,0.37928080668694614,0.37873039122860386,0.0063045806827216055,0.006854996141063885,0.6777777777777778,0.1037037037037037
25,0.2,hybrid,0.001697171578587001,0.0013325510172296781,0.0018231028067866137,0.3849838514927288,0.38099902998699503,0.37611879309092594,0.3755648453064641,0.00488023689606909,0.005434184680530918,0.7296296296296296,0.1037037037037037
26,0.2,hybrid,0.0016800129092338872,0.0013178095758885487,0.0018110166667266927,0.3798958349146127,0.37712379574128374,0.37339508782262587,0.37283652529195604,0.0037287079186578698,0.004287270449327696,0.7111111111111111,0.1037037037037037
27,0.2,hybrid,0.0016671928837197927,0.001308080019164218,0.0017955643227778762,0.3760426958549778,0.3728438587397868,0.3701404576938974,0.3695787538661174,0.0027034010458893976,0.0032651048736694332,0.7407407407407407,0.1037037037037037
28,0.2,hybrid,0.001654141153316553,0.0012980212870210082,0.001780599331477725,0.3721221691992405,0.36903347867692154,0.3673305744837138,0.3667646226200163,0.0017029041932077327,0.002268856056905244,0.7333333333333333,0.1037037037037037
29,0.2,hybrid,0.0016416413313303131,0.0012881627084102136,0.0017673931146004983,0.3683299535331697,0.36523552755249883,0.36450399622403806,0.3639341040506113,0.0007315313284607661,0.0013014235018875553,0.7666666666666667,0.1037037037037037
30,0.2,hybrid,0.0016289039920334846,0.001278072392630575,0.001754157997014547,0.36441827792130677,0.36193771290889537,0.361954575970837,0.3613800742176156,-1.6863061941652102e-05,0.0005576386912797826,0.7185185185185186,0.1037037037037037
31,0.2,hybrid,0.0016189741122777713,0.0012711276022709024,0.0017392325500343434,0.36123240332852113,0.3580926778026311,0.3591942584668764,0.3586155376492513,-0.0011015806642453163,-0.000522859846620205,0.7666666666666667,0.1037037037037037
32,0.2,hybrid,0.0016058124229254404,0.0012596272832264028,0.001730925698495187,0.3577534506367317,0.3546735323584308,0.3565936043324234,0.3560101206968932,-0.0019200719739925765,-0.0013365883384623967,0.774074074074074,0.1037037037037037
33,0.2,hybrid,0.0015956662767448594,0.0012525035886561586,0.001715813440443504,0.3540599424283314,0.35090146504625136,0.3534309468098306,0.35284392394114095,-0.0025294817635792555,-0.0019424588948895871,0.762962962962963,0.1037037037037037
34,0.2,hybrid,0.0015862297338026057,0.0012447831334740868,0.0017072330016425948,0.3507103209738636,0.3476326414138315,0.3509962127344316,0.3504043623316213,-0.0033635713206001117,-0.0027717209177898217,0.7518518518518519,0.1037037037037037
35,0.2,hybrid,0.00157457921716614,0.0012360535659046911,0.0016926282563072455,0.3468775288979154,0.3443364731680948,0.34841479975233364,0.3478183589016249,-0.004078326584238845,-0.003481885733530088,0.762962962962963,0.1037037037037037
36,0.2,hybrid,0.0015660405545068704,0.0012296208752597365,0.0016820983962356692,0.34425390231085384,0.34108567026964615,0.3458632438379164,0.3452623188321579,-0.004777573568270244,-0.004176648562511764,0.7444444444444445,0.1037037037037037
37,0.2,hybrid,0.001556925022395242,0.001222898024010175,0.0016701349919253333,0.3407073133467028,0.33760290661134906,0.3429299762569248,0.3423251821989672,-0.005327069645575722,-0.004722275587618119,0.762962962962963,0.1037037037037037
38,0.2,hybrid,0.001546410597696978,0.0012147830278198758,0.0016581378493855116,0.3371539407184889,0.33539021672252967,0.34141584955988147,0.3408048510615682,-0.006025632837351802,-0.005414634339038549,0.7666666666666667,0.1037037037037037
39,0.2,hybrid,0.0015375894710591602,0.0012076514950052758,0.0016496898802694213,0.3345424224617827,0.3316403542590783,0.338205226524947,0.33759113338008745,-0.006564872265868715,-0.005950779121009164,0.7962962962962963,0.1037037037037037
40,0.2,hybrid,0.0015294898199720386,0.0012014666238147188,0.0016401159807865984,0.3313844377522205,0.3288982328987313,0.3360161474883748,0.33539642973092865,-0.007117914589643448,-0.006498196832197323,0.774074074074074,0.1037037037037037
41,0.2,hybrid,0.00152196021266809,0.001195408577510254,0.0016327581757891788,0.32853508269282583,0.32611979986062184,0.33368897497723643,0.33306484276612125,-0.00756917511661459,-0.00694504290549941,0.7814814814814814,0.1037037037037037
42,0.2,hybrid,0.001514464452886139,0.0011904611740115767,0.001620016394372811,0.3257647080887263,0.3233737800137627,0.3313485560709294,0.33071998834087984,-0.007974776057166677,-0.007346208327117132,0.7666666666666667,0.1037037037037037
43,0.2,hybrid,0.001507079346383381,0.0011845019262049284,0.0016128871008922623,0.3227203116957774,0.3208252225710518,0.32932919380886216,0.32869473680337763,-0.008503971237810382,-0.007869514232325847,0.774074074074074,0.1037037037037037
44,0.2,hybrid,0.00149930545715617,0.0011782570324124146,0.0016052421237187759,0.32020698853633905,0.31792673014830586,0.3266040925494267,0.3259662154323469,-0.008677362401120825,-0.008039485284041026,0.8296296296296296,0.1037037037037037
45,0.2,hybrid,0.0014939102277476922,0.0011753156295816816,0.0015929729908300528,0.3182092515349149,0.3150614783916246,0.3242769547475318,0.3236342580560885,-0.009215476355907193,-0.008572779664463848,0.825925925925926,0.1037037037037037
46,0.2,hybrid,0.0014873032293842652,0.0011694960898687872,0.0015890356975773894,0.3151562102722755,0.312644074032687,0.3222527599885728,0.32160507857348425,-0.009608685955885765,-0.008961004540797235,0.7925925925925926,0.1037037037037037
47,0.2,hybrid,0.0014800836826887505,0.0011644952396017989,0.0015779422154347568,0.3126946783990167,0.3103155227474822,0.3202512188205134,0.3195982128284725,-0.009935696073031186,-0.009282690080990308,0.8111111111111111,0.1037037037037037
48,0.2,hybrid,0.0014746457252039786,0.0011602092897682569,0.0015721821771786087,0.31053738584191193,0.3080785176230823,0.31816857547074817,0.31751105640734306,-0.010090057847665868,-0.009432538784260758,0.774074074074074,0.1037037037037037
49,0.2,hybrid,0.0014693261618579426,0.0011570602312583097,0.0015613296529981653,0.30776149971204575,0.30559823561011706,0.31615386053975425,0.3154910698373698,-0.010555624929637186,-0.009892834227252734,0.8,0.1037037037037037
50,0.2,hybrid,0.0014638168716737574,0.0011519810259407435,0.001559179228665071,0.30577333746125757,0.30308703158764944,0.3138779581340734,0.31321083177342335,-0.01079092654642394,-0.010123800185773912,0.8296296296296296,0.1037037037037037
51,0.2,hybrid,0.0014585697215301833,0.0011488792578458334,0.0015484523184217493,0.3034639684431415,0.30089539122725073,0.3119296150016734,0.31125753753973195,-0.011034223774422647,-0.010362146312481224,0.8074074074074075,0.1037037037037037
52,0.2,hybrid,0.0014530433661133588,0.0011442102998579728,0.0015441653312769311,0.30108303866836844,0.2992615209842212,0.31062888622120594,0.3099502151751088,-0.011367365236984728,-0.010688694190887582,0.7777777777777778,0.1037037037037037
53,0.2,hybrid,0.001448160598079019,0.0011408278987467874,0.0015366634966611577,0.29881609930120645,0.29669810549185616,0.3081785194995958,0.3074964090510401,-0.011480414007739637,-0.01079830355918393,0.8037037037037037,0.1037037037037037
54,0.2,hybrid,0.001443520845892473,0.0011378143127389688,0.0015285326657675205,0.2972056372951216,0.29485268519435237,0.3066126303767264,0.3059247719147055,-0.011759945182374054,-0.011072086720353147,0.837037037037037,0.1037037037037037
55,0.2,hybrid,0.0014400135820972714,0.0011354350408113254,0.001522892706429731,0.294706385280423,0.29300308337267933,0.30487410482542554,0.30418053476743784,-0.011871021452746211,-0.011177451394758509,0.8037037037037037,0.1037037037037037
56,0.2,hybrid,0.0014371617385905853,0.001133198189401048,0.001519817745947687,0.29303467556951496,0.2906661459314453,0.30266453604367144,0.30196671576283846,-0.011998390112226143,-0.011300569831393159,0.8185185185185185,0.1037037037037037
57,0.2,hybrid,0.0014318732967574725,0.0011291880384348384,0.0015134262916131716,0.2908212813059309,0.2887440731360238,0.30086703003599835,0.3001645467077705,-0.012122956899974557,-0.011420473571746692,0.8222222222222222,0.1037037037037037
58,0.2,hybrid,0.001429021229635857,0.0011276316974769616,0.0015069476607944754,0.2889396845313091,0.28733039310452574,0.29952956173224604,0.29882154058862626,-0.012199168627720303,-0.011491147484100517,0.8555555555555555,0.1037037037037037
59,0.2,hybrid,0.0014268117861875626,0.0011261903129228773,0.0015031073663234272,0.2878808027105722,0.28488095213299464,0.29724522717830565,0.29653327037451394,-0.012364275045311013,-0.0116523182415193,0.8222222222222222,0.1037037037037037
60,0.2,hybrid,0.0014229670533551005,0.0011236023760507205,0.0014968233865219008,0.28559598793857066,0.28305680525908816,0.29550760347052774,0.29479048485841025,-0.012450798211439573,-0.011733679599322089,0.8222222222222222,0.1037037037037037
