handoff_mode,candidate_key,psi_family,time_encoding_variant,live_step_count,live_control_family,live_mask,seed,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,total_wall_time_seconds,run_status,run_summary_path
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,4,baseline_control,"1,1,1,1",0,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,19.342636199551634,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_0/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,0,baseline_control,"0,0,0,0",0,0.7888888888888889,0.8407407407407408,30,0.30118421532332196,55,True,False,2.709863599971868,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_0/summary.json
k0_closed_loop_live_plan,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,4,full_live,"1,1,1,1",0,0.7444444444444445,0.7777777777777778,25,0.3190511702211747,59,True,False,19.385367399605457,success,runs/k0_closed_loop_live_plan/residualized_local_field_poly_rt2/seed_0/summary.json
k4_open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,0,full_replay,"0,0,0,0",0,0.7888888888888889,0.8407407407407408,0,0.36641758476344183,55,False,True,2.7922107003396377,success,runs/k4_open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_0/summary.json
suffix_live_k1,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,suffix,"0,0,0,1",0,0.7777777777777778,0.8222222222222222,0,0.3615976585085123,55,False,True,6.947765901102684,success,runs/suffix_live_k1/residualized_local_field_poly_rt2/seed_0/summary.json
suffix_live_k2,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,2,suffix,"0,0,1,1",0,0.7777777777777778,0.8,0,0.3556361882629877,55,False,True,11.052980599692091,success,runs/suffix_live_k2/residualized_local_field_poly_rt2/seed_0/summary.json
suffix_live_k3,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,suffix,"0,1,1,1",0,0.7777777777777778,0.774074074074074,0,0.34856085288604377,55,False,True,15.16011519957101,success,runs/suffix_live_k3/residualized_local_field_poly_rt2/seed_0/summary.json
prefix_live_k1,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,prefix,"1,0,0,0",0,0.7888888888888889,0.8407407407407408,0,0.3665430206985745,55,False,True,6.829161400324665,success,runs/prefix_live_k1/residualized_local_field_poly_rt2/seed_0/summary.json
prefix_live_k2,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,2,prefix,"1,1,0,0",0,0.7888888888888889,0.8407407407407408,0,0.36689865077053424,55,False,True,10.974922099732794,success,runs/prefix_live_k2/residualized_local_field_poly_rt2/seed_0/summary.json
prefix_live_k3,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,prefix,"1,1,1,0",0,0.7888888888888889,0.8407407407407408,0,0.36718005146553784,55,False,True,15.251788900466636,success,runs/prefix_live_k3/residualized_local_field_poly_rt2/seed_0/summary.json
