seed,epoch,candidate_key,handoff_mode,live_step_count,live_control_family,step_index,relative_bootstrap_target_delta,relative_identity_target_delta,relative_psi_input_delta,bootstrap_target_cosine_similarity,identity_target_cosine_similarity,state_slot_displacement
0,1,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,0,0.07580812182255314,2.366731802159384,0.19644646576675412,0.9965563314151626,0.16510214853365385,0.6721579159194249
0,1,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,1,0.07580563902642855,2.0070453312530177,0.21334823277938328,0.996556550949054,0.13374884936444206,0.8448165231431808
0,1,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,2,0.07580315763768689,1.8286807610652756,0.21908672101021498,0.9965567703437126,0.0734824209550585,1.018474980868656
0,1,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,3,0.07580067765484617,1.8921294268087234,0.21336493052824332,0.9965569895992992,-0.008357717107425533,1.195355266011675
0,1,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,0,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,1,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,2,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,3,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,2,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,3,0.20499804682783457,1.896766452554214,0.0034935673266083046,0.9753636908394201,-0.008318791889131242,0.18910421192499535
0,1,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,2,0.395711491474508,1.8326984703419729,0.00860023428169224,0.918805263381157,0.07351073192810065,0.18281145387834002
0,1,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,3,0.3957575961064727,1.8969402583321462,0.008335874523323853,0.9187897565720974,-0.007783716806638514,0.3699586591889109
0,1,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,1,0.5856463032844876,2.0101100731933763,0.015542126766998893,0.8504065355926951,0.13379613429745882,0.1845193433551605
0,1,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,2,0.5857162682137677,1.8316098094546462,0.015884487688173965,0.8503822797759136,0.07414781993093211,0.36572157659887783
0,1,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,3,0.5857862103966209,1.8950491236163032,0.015403240580593522,0.8503580320618944,-0.006563580827216251,0.5497257871504814
0,1,residualized_local_field_poly_rt2,prefix_live_k1,1,prefix,0,4.3115902334327784e-05,2.3683081720310883,0.00014190038970198382,0.9999999990071867,0.16461092621310963,0.1950979081162528
0,1,residualized_local_field_poly_rt2,prefix_live_k1,1,prefix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,prefix_live_k1,1,prefix,2,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,prefix_live_k1,1,prefix,3,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,prefix_live_k2,2,prefix,0,4.3115902334327784e-05,2.368308174941225,0.00014190038970198382,0.9999999990071867,0.16461092768387933,0.19509788909358056
0,1,residualized_local_field_poly_rt2,prefix_live_k2,2,prefix,1,4.311396948532014e-05,2.009948903108864,0.0001541442122184541,0.9999999990072667,0.13342907308923507,0.3779726237957125
0,1,residualized_local_field_poly_rt2,prefix_live_k2,2,prefix,2,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,prefix_live_k2,2,prefix,3,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,prefix_live_k3,3,prefix,0,4.3115902334327784e-05,2.3683081771081187,0.00014190038970198382,0.9999999990071867,0.16461092793547674,0.1950978724210306
0,1,residualized_local_field_poly_rt2,prefix_live_k3,3,prefix,1,4.311396948532014e-05,2.009948905465284,0.0001541442122184541,0.9999999990072667,0.13342907298420656,0.3779725889949731
0,1,residualized_local_field_poly_rt2,prefix_live_k3,3,prefix,2,4.3112037896282375e-05,1.8313440971802717,0.00015830620777129836,0.9999999990073466,0.0734560257883674,0.5559416852205459
0,1,residualized_local_field_poly_rt2,prefix_live_k3,3,prefix,3,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,0,0.14697873163750586,2.3500077555119128,0.5903610116070721,0.9899747192378671,0.16732179511844655,1.772653254208647
0,2,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,1,0.14697417360036158,1.9947960309759232,0.6357758783723267,0.9899752902530121,0.13513578864592274,1.9434789374267922
0,2,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,2,0.1469696180783508,1.8223033119769585,0.6509430787310179,0.989975860930131,0.07369413505914324,2.119701432255672
0,2,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,3,0.14696506506891394,1.8913135061258306,0.6358340807997681,0.9899764312695843,-0.009669605850328236,2.302283190184936
0,2,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,0,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,1,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,2,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,3,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,2,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,3,0.3771667066413243,1.9022661460642698,0.008519650318025443,0.9352578320617383,-0.009096413188826112,0.20082631398023515
0,2,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,2,0.7225636334397676,1.8343714255653782,0.020618069538403984,0.8080854005819393,0.0730720512445961,0.19089076291227583
0,2,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,3,0.722656726313765,1.903214810544546,0.020067192225270706,0.8080504126133551,-0.008965214620284318,0.3893261826831758
0,2,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,1,1.0547763913769639,2.0072910740627288,0.036465953239034024,0.6847403551026843,0.13362973304941167,0.18824805102263004
0,2,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,2,1.0549138004925374,1.8329694628591233,0.03719456605959829,0.6846955887254131,0.07375754114707347,0.37670309703284266
