trajectory_mode,candidate_key,psi_family,time_encoding_variant,seed,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,total_wall_time_seconds,run_status,run_summary_path
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,0,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,103.3074934000033,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_0/summary.json
closed_loop_live_plan,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,0,0.7444444444444445,0.7777777777777778,25,0.3190511702211747,59,True,False,103.29963480000151,success,runs/closed_loop_live_plan/residualized_local_field_poly_rt2/seed_0/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,0,0.7888888888888889,0.8407407407407408,30,0.30118421532332196,55,True,False,103.30025119998027,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_0/summary.json
open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,0,0.7888888888888889,0.8407407407407408,0,0.36641758476344183,55,False,True,103.30057189997751,success,runs/open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_0/summary.json
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,1,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,107.67137220001314,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_1/summary.json
closed_loop_live_plan,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,0.7962962962962963,0.8,25,0.29314233153668645,58,True,False,107.67332569998689,success,runs/closed_loop_live_plan/residualized_local_field_poly_rt2/seed_1/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,1,0.825925925925926,0.7814814814814814,27,0.3038568851594712,57,True,False,107.70208149997052,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_1/summary.json
open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,0.825925925925926,0.7814814814814814,0,0.3532872631578403,57,False,True,107.66949130001012,success,runs/open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_1/summary.json
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,2,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,111.86976609996054,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_2/summary.json
closed_loop_live_plan,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,2,0.737037037037037,0.762962962962963,29,0.3052699346462371,59,True,False,111.87312870001188,success,runs/closed_loop_live_plan/residualized_local_field_poly_rt2/seed_2/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,2,0.8592592592592593,0.837037037037037,26,0.31609758472524324,51,True,False,111.87197919999016,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_2/summary.json
open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,2,0.8592592592592593,0.837037037037037,0,0.3724039487650898,51,False,True,111.87204699998256,success,runs/open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_2/summary.json
