epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.005550469583602447,0.005550469583602447,0.010821588935903565,0.6205856062456989,0.661914860321105,0.46382100233272133,0.4632734566718401,0.1980938579883837,0.1986414036492649,0.14444444444444443,0.1037037037037037
2,0.0,warmup,0.006605794467546571,0.006605794467546571,0.01192799449495526,0.6269852405845511,0.6830272600321636,0.448201866832197,0.4476720858453255,0.23482539319996665,0.23535517418683816,0.15925925925925927,0.1037037037037037
3,0.0,warmup,0.007486732810600577,0.007486732810600577,0.012768386917338285,0.6501200267457924,0.6963692765015537,0.4420544391243223,0.4415295444506642,0.2543148373772314,0.25483973205088944,0.17407407407407408,0.1037037037037037
4,0.0,warmup,0.00786812838823288,0.00786812838823288,0.013006400458789574,0.6596357543459508,0.6894504427897213,0.4371618061618094,0.4366393578557874,0.25228863662791196,0.25281108493393395,0.2777777777777778,0.1037037037037037
5,0.0,warmup,0.007631359010713763,0.007631359010713763,0.012492097294980345,0.6483911877016568,0.6662454367431835,0.4330055463130591,0.43248403116580836,0.23323989043012439,0.23376140557737513,0.2851851851851852,0.1037037037037037
6,0.020000000000000004,hybrid,0.007255942118364306,0.007025637577828392,0.011515227026795718,0.6254110102149125,0.6392842458307798,0.42930333347828814,0.42878155600291873,0.20998091235249167,0.21050268982786108,0.2814814814814815,0.1037037037037037
7,0.04000000000000001,hybrid,0.006808956503770319,0.006389456452508754,0.01048750128153913,0.6017509491865749,0.6115507910782132,0.42521604074490593,0.42469489096937524,0.18633475033330726,0.18685590010883796,0.34814814814814815,0.1037037037037037
8,0.06,hybrid,0.006388036594911109,0.005815783801956078,0.0095375465492505,0.5803010001446607,0.5910627409534142,0.4232866800745412,0.42276234340691304,0.16777606087887298,0.1683003975465011,0.43703703703703706,0.1037037037037037
9,0.08000000000000002,hybrid,0.006015182169868115,0.005317533849899355,0.008720603999609503,0.5609246428857123,0.5714326979974432,0.4209799441318168,0.4204522751016492,0.15045275386562645,0.15098042289579405,0.4185185185185185,0.1037037037037037
10,0.1,hybrid,0.0055953917737246815,0.004799532038839958,0.007958597348847246,0.5407797806347738,0.5498244873028939,0.41889655332291026,0.41836540023586705,0.13092793397998365,0.13145908706702686,0.42962962962962964,0.1037037037037037
11,0.12,hybrid,0.005158251572878322,0.004283413088338367,0.007290320704499628,0.5209604143512707,0.5292678600655519,0.4176878696662266,0.41715146417876314,0.11157999039932531,0.11211639588678879,0.37037037037037035,0.1037037037037037
12,0.13999999999999999,hybrid,0.004722262505558064,0.003785462438597096,0.006691429049721208,0.5019723175452543,0.5127946760076657,0.41527813027722843,0.41473824006568866,0.09751654573043728,0.09805643594197705,0.46296296296296297,0.1037037037037037
13,0.16000000000000003,hybrid,0.0043437559916002285,0.0033545316355742087,0.006182652225162627,0.4844969168703853,0.49292056576167587,0.41306981932059306,0.4125253981555879,0.07985074644108281,0.08039516760608795,0.4740740740740741,0.1037037037037037
14,0.18000000000000002,hybrid,0.003999849628821037,0.0029665303487809765,0.005740662666889223,0.4692714723438134,0.4789130273065274,0.41203785641830837,0.41148735549400806,0.06687517088821904,0.06742567181251935,0.4,0.1037037037037037
