handoff_mode,candidate_key,psi_family,time_encoding_variant,seed,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,total_wall_time_seconds,run_status,run_summary_path
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,0,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,100.97216770000523,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_0/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,0,0.7888888888888889,0.8407407407407408,30,0.30118421532332196,55,True,False,100.9711916000233,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_0/summary.json
handoff_k0_closed_loop_live_plan,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,0,0.7444444444444445,0.7777777777777778,25,0.3190511702211747,59,True,False,100.97096999996575,success,runs/handoff_k0_closed_loop_live_plan/residualized_local_field_poly_rt2/seed_0/summary.json
handoff_k1_baseline_prefix_then_live,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,0,0.7777777777777778,0.774074074074074,0,0.34856085288604377,55,False,True,100.97386919998098,success,runs/handoff_k1_baseline_prefix_then_live/residualized_local_field_poly_rt2/seed_0/summary.json
handoff_k2_baseline_prefix_then_live,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,0,0.7777777777777778,0.8,0,0.3556361882629877,55,False,True,100.97517450002488,success,runs/handoff_k2_baseline_prefix_then_live/residualized_local_field_poly_rt2/seed_0/summary.json
handoff_k3_baseline_prefix_then_live,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,0,0.7777777777777778,0.8222222222222222,0,0.3615976585085123,55,False,True,100.97704219998559,success,runs/handoff_k3_baseline_prefix_then_live/residualized_local_field_poly_rt2/seed_0/summary.json
handoff_k4_open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,0,0.7888888888888889,0.8407407407407408,0,0.36641758476344183,55,False,True,100.97668719996,success,runs/handoff_k4_open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_0/summary.json
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,1,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,100.07142399996519,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_1/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,1,0.825925925925926,0.7814814814814814,27,0.3038568851594712,57,True,False,100.0686762999976,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_1/summary.json
handoff_k0_closed_loop_live_plan,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,0.7962962962962963,0.8,25,0.29314233153668645,58,True,False,100.07089119998273,success,runs/handoff_k0_closed_loop_live_plan/residualized_local_field_poly_rt2/seed_1/summary.json
handoff_k1_baseline_prefix_then_live,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,0.8222222222222222,0.7481481481481481,0,0.33154759535957246,58,False,True,100.06908370001474,success,runs/handoff_k1_baseline_prefix_then_live/residualized_local_field_poly_rt2/seed_1/summary.json
handoff_k2_baseline_prefix_then_live,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,0.8333333333333334,0.7555555555555555,0,0.34706738185788644,54,False,True,100.07227740000235,success,runs/handoff_k2_baseline_prefix_then_live/residualized_local_field_poly_rt2/seed_1/summary.json
handoff_k3_baseline_prefix_then_live,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,0.8185185185185185,0.7777777777777778,0,0.35355363877315116,54,False,True,100.07025190000422,success,runs/handoff_k3_baseline_prefix_then_live/residualized_local_field_poly_rt2/seed_1/summary.json
handoff_k4_open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,0.825925925925926,0.7814814814814814,0,0.3532872631578403,57,False,True,100.06736859999364,success,runs/handoff_k4_open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_1/summary.json
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,2,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,100.4095735999872,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_2/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,2,0.8592592592592593,0.837037037037037,26,0.31609758472524324,51,True,False,100.4106437000446,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_2/summary.json
handoff_k0_closed_loop_live_plan,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,2,0.737037037037037,0.762962962962963,29,0.3052699346462371,59,True,False,100.41224680002779,success,runs/handoff_k0_closed_loop_live_plan/residualized_local_field_poly_rt2/seed_2/summary.json
handoff_k1_baseline_prefix_then_live,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,2,0.8185185185185185,0.8148148148148148,0,0.34289320047612576,53,False,True,100.4128077000496,success,runs/handoff_k1_baseline_prefix_then_live/residualized_local_field_poly_rt2/seed_2/summary.json
handoff_k2_baseline_prefix_then_live,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,2,0.8296296296296296,0.8333333333333334,0,0.34997453449606164,54,False,True,100.41025790001731,success,runs/handoff_k2_baseline_prefix_then_live/residualized_local_field_poly_rt2/seed_2/summary.json
handoff_k3_baseline_prefix_then_live,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,2,0.8444444444444444,0.837037037037037,0,0.36499002477353926,51,False,True,100.41343530005543,success,runs/handoff_k3_baseline_prefix_then_live/residualized_local_field_poly_rt2/seed_2/summary.json
handoff_k4_open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,2,0.8592592592592593,0.837037037037037,0,0.3724039487650898,51,False,True,100.4128998000524,success,runs/handoff_k4_open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_2/summary.json
