epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.0041824316200855475,0.0041824316200855475,0.009254628035589116,0.5552007445797772,0.6011073193104901,0.46620952224777806,0.4656847115361857,0.13489779706271204,0.13542260777430443,0.05555555555555555,0.1037037037037037
2,0.0,warmup,0.004788558089148886,0.004788558089148886,0.009923463380018715,0.5273523243304915,0.6021857716043073,0.44199198713396487,0.44148786871958146,0.16019378447034244,0.16069790288472585,0.13703703703703704,0.1037037037037037
3,0.0,warmup,0.005583392963587217,0.005583392963587217,0.01078035746846671,0.5299129715754514,0.6147717601020992,0.4329396217427174,0.43243897686618576,0.18183213835938183,0.18233278323591345,0.26666666666666666,0.1037037037037037
4,0.0,warmup,0.006082261433608439,0.006082261433608439,0.01128597469971649,0.5344093718623114,0.6171471379469176,0.42849414501095284,0.4279907487266861,0.18865299293596471,0.18915638922023148,0.32592592592592595,0.1037037037037037
5,0.0,warmup,0.0061252480836624535,0.0061252480836624535,0.011287710031088014,0.5306623013836531,0.6044002404761054,0.42489457363905664,0.42438662522386883,0.17950566683704877,0.18001361525223658,0.4074074074074074,0.1037037037037037
6,0.020000000000000004,hybrid,0.00600780828075958,0.005791026372291712,0.010839095423393457,0.5190311089174803,0.5837997569553705,0.42248460088135564,0.4219703110413098,0.1613151560740148,0.16182944591406068,0.3814814814814815,0.1037037037037037
7,0.04000000000000001,hybrid,0.005683857747527113,0.00527782967627363,0.010150701781337066,0.5033109139887186,0.5609780584436873,0.4192695532927821,0.4187500816832229,0.14170850515090522,0.1422279767604644,0.3925925925925926,0.1037037037037037
8,0.06,hybrid,0.005285080422678618,0.004722923257273493,0.009369286090085426,0.48662707154058377,0.5393004954137839,0.4167986282617882,0.4162728779719428,0.12250186715199568,0.1230276174418411,0.4,0.1037037037037037
9,0.08000000000000002,hybrid,0.0048919987256675875,0.004202997155724031,0.008612519624294445,0.47100271323189274,0.5184207036414209,0.41388656265229967,0.4133550979700904,0.10453414098912123,0.1050656056713305,0.4888888888888889,0.1037037037037037
10,0.1,hybrid,0.004533236750759908,0.0037423404299686677,0.007908963207912402,0.4565360325494841,0.4996172287509262,0.4111384217279825,0.4106010848864711,0.0884788070229437,0.08901614386445506,0.4740740740740741,0.1037037037037037
