epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.00424861380495639,0.00424861380495639,0.007711151090518291,0.5867429037119924,0.6146096829327372,0.4950187577858227,0.4944154663555215,0.1195909251469145,0.12019421657721568,0.1,0.1037037037037037
2,0.0,warmup,0.004142670723398833,0.004142670723398833,0.007302220100886397,0.5382590734738062,0.5862634701488239,0.4631682833992671,0.4626028318875403,0.12309518674955677,0.12366063826128354,0.12222222222222222,0.1037037037037037
3,0.0,warmup,0.004708891817308992,0.004708891817308992,0.007584168326643414,0.5238213730874755,0.5999503846435026,0.4476304494348466,0.44708015633824755,0.152319935208656,0.15287022830525504,0.17407407407407408,0.1037037037037037
4,0.0,warmup,0.005782627548600339,0.005782627548600339,0.008368472529783677,0.5354071367781121,0.6322329300380254,0.4390637825739595,0.4385182871649303,0.19316914746406588,0.1937146428730951,0.2,0.1037037037037037
5,0.0,warmup,0.006896687965694086,0.006896687965694086,0.009234327602481973,0.5534118275882454,0.6537006649610742,0.4328670010396481,0.43232146131094257,0.22083366392142606,0.22137920365013158,0.25925925925925924,0.1037037037037037
6,0.020000000000000004,hybrid,0.007652429131276904,0.0074596614421324646,0.00963838445722195,0.5601762766412606,0.6520029309432012,0.4275685622232583,0.4270203355588119,0.22443436871994288,0.22498259538438925,0.3,0.1037037037037037
7,0.04000000000000001,hybrid,0.007733279787934375,0.007354745029069363,0.00946336897162531,0.5522954322642344,0.6356341602065074,0.4227285931637634,0.4221763087506377,0.21290556704274405,0.2134578514558697,0.35185185185185186,0.1037037037037037
8,0.06,hybrid,0.007372653586236742,0.0068371425366452855,0.00892518415985761,0.5356020974739735,0.6067351103421221,0.418758465141497,0.41820022763358966,0.18797664520062513,0.18853488270853247,0.3814814814814815,0.1037037037037037
9,0.08000000000000002,hybrid,0.006769109779319075,0.00611412295255953,0.00818733533449431,0.5147308885096682,0.5760219181418915,0.41512868984178286,0.41456442332036897,0.16089322830010866,0.16145749482152255,0.43703703703703706,0.1037037037037037
10,0.1,hybrid,0.006085495020917467,0.005344777173299708,0.007407178476177593,0.4932505113238438,0.5479535512980586,0.4114908659558819,0.41092111013496097,0.13646268534217665,0.1370324411630976,0.5148148148148148,0.1037037037037037
11,0.12,hybrid,0.005446534397352726,0.004644157954118363,0.006686470360286359,0.4732087359816404,0.5213551039783858,0.4083908580248102,0.40781355413422776,0.11296424595357563,0.11354154984415804,0.45555555555555555,0.1037037037037037
12,0.13999999999999999,hybrid,0.004879905090692331,0.004034220003880375,0.0060406077629425415,0.45598243508845265,0.4993852726042778,0.405673209216387,0.40508977281233355,0.09371206338789079,0.09429549979194424,0.5296296296296297,0.1037037037037037
13,0.16000000000000003,hybrid,0.0044079158241523055,0.003527937756570758,0.0054998629223846724,0.44105956274313873,0.4796190064991738,0.402851944505747,0.40226099733268583,0.07676706199342676,0.07735800916648794,0.5555555555555556,0.1037037037037037
14,0.18000000000000002,hybrid,0.004027507214991523,0.003119566202492174,0.005044116736107496,0.4287164750837909,0.46369616287421167,0.3984338219408954,0.39783913924587705,0.06526234093331629,0.06585702362833462,0.5925925925925926,0.1037037037037037
15,0.2,hybrid,0.00372098106397365,0.002788110296224688,0.004664353838744815,0.41687796726943827,0.45162173779454684,0.39737936891605513,0.39677346091951793,0.05424236887849171,0.05484827687502891,0.6148148148148148,0.1037037037037037
16,0.2,hybrid,0.0033979253141200724,0.002527282690791283,0.004353213116643949,0.407522991499358,0.4386149268112657,0.3929068517658437,0.3922977029042122,0.04570807504542196,0.046317223907053506,0.5888888888888889,0.1037037037037037
17,0.2,hybrid,0.0031474558471080993,0.0023246979644316007,0.004113789413382493,0.39919438417782505,0.4292241515779534,0.38950926914300615,0.3888958123108157,0.03971488243494725,0.04032833926713769,0.6148148148148148,0.1037037037037037
18,0.2,hybrid,0.002942376663904908,0.002158872424422818,0.003917521197410451,0.3918814321073379,0.4196650691091655,0.38547725245977177,0.3848592415421412,0.03418781664939374,0.03480582756702433,0.6703703703703704,0.1037037037037037
19,0.2,hybrid,0.0027816680570702844,0.0020289509404468045,0.003763585583117399,0.38460914108870914,0.4118907932422076,0.3822908143265609,0.38166695181722504,0.029599978915646696,0.030223841424982578,0.6592592592592592,0.1037037037037037
20,0.2,hybrid,0.0026565539192011474,0.0019275616159652917,0.0036449615161792777,0.37873208612794235,0.4047100497953404,0.3789052070203115,0.3782750878017964,0.025804842775028924,0.026434961993544004,0.7074074074074074,0.1037037037037037
21,0.2,hybrid,0.002555764165156108,0.001846577578058507,0.003545932935488004,0.37305381895513656,0.3994968006900497,0.37650553037386514,0.37586901630152614,0.022991270316184587,0.023627784388523587,0.6851851851851852,0.1037037037037037
22,0.2,hybrid,0.0024714823852675324,0.0017778167615774404,0.0034683281184504596,0.3679846274588078,0.3921104646716123,0.37180251436494866,0.37116213159410083,0.020307950306663658,0.020948333077511483,0.7296296296296296,0.1037037037037037
23,0.2,hybrid,0.002405248140370368,0.0017233090148012157,0.00340969562784576,0.3624129217598241,0.38767973596424476,0.3693291140376095,0.36868139385541654,0.01835062192663528,0.018998342108828226,0.7333333333333333,0.1037037037037037
24,0.2,hybrid,0.002357892852592149,0.0016852677868466211,0.0033631253287276395,0.357457858401831,0.3815755344955265,0.3653528196801258,0.36470094985924106,0.01622271481540072,0.01687458463628544,0.6925925925925925,0.1037037037037037
25,0.2,hybrid,0.0023180717982745364,0.0016524007134841306,0.003328355423952029,0.3533578919180647,0.3766593587725796,0.36171991413107507,0.36106321721862156,0.01493944464150454,0.015596141553958054,0.7555555555555555,0.1037037037037037
26,0.2,hybrid,0.002288435367796727,0.0016289036854058975,0.0032976584119541476,0.3485098733868383,0.37186674154171867,0.35870636649182,0.3580435649669892,0.013160375049898698,0.013823176574729479,0.7555555555555555,0.1037037037037037
27,0.2,hybrid,0.00226639924804166,0.0016104291371372256,0.0032798505545221695,0.3445576194764642,0.36726002058232365,0.35524856529195786,0.35458080784853035,0.012011455290365791,0.0126792127337933,0.8,0.1037037037037037
28,0.2,hybrid,0.0022511843045561982,0.0015984586158706818,0.003263628443427584,0.3404827047817277,0.3633584207147188,0.35206260475532924,0.3513893077679486,0.011295815959389555,0.011969112946770222,0.774074074074074,0.1037037037037037
