case_name,seed,run_id,run_summary_path,terminal_local_field_direction_intervention,terminal_local_field_angle_clip_degrees,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,test_report_output_mse,val_supervised_transport_output_mse,test_supervised_transport_output_mse,val_delta_h_rms_total,val_delta_h_rms_rowspace,val_delta_h_rms_orthogonal,val_delta_h_rowspace_fraction,test_delta_h_rms_total,test_delta_h_rms_rowspace,test_delta_h_rms_orthogonal,test_delta_h_rowspace_fraction,val_full_space_angle_raw_vs_lf_deg,val_full_space_angle_stabilized_vs_lf_deg,val_full_space_angle_improvement_deg,val_full_space_correction_angle_deg,val_rowspace_angle_raw_vs_lf_deg,val_rowspace_angle_stabilized_vs_lf_deg,val_rowspace_angle_improvement_deg,val_rowspace_correction_angle_deg,val_orthogonal_angle_raw_vs_lf_deg,val_orthogonal_angle_stabilized_vs_lf_deg,val_orthogonal_angle_improvement_deg,val_orthogonal_correction_angle_deg,val_subspace_correction_mismatch_deg,val_full_cone_clip_activation_rate,val_rowspace_clip_activation_rate,val_orthogonal_clip_activation_rate,val_full_space_angle_above_30deg_rate_after_stabilization,val_raw_action_norm,val_local_field_action_norm,val_stabilized_action_norm,val_raw_rowspace_norm,val_raw_orthogonal_norm,val_stabilized_rowspace_norm,val_stabilized_orthogonal_norm,val_row_orth_norm_ratio_raw,val_row_orth_norm_ratio_stabilized,val_row_orth_norm_ratio_abs_delta,runtime_proxy_seconds
adopted_control,0,control30_s0,tf2_runs/tf2/control30_s0/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,53,0.774074074074074,0.8037037037037037,11,1.0,0.0,0.3137282688131667,0.06320277364531794,0.06274214890460197,0.05516971777538815,0.05475014631375841,0.2743618919770443,0.14641771874107942,0.23202650583043638,0.5336663837896631,0.2720170006216549,0.145162582375685,0.23004580697162014,0.5336526101086962,73.39339966988057,29.999999999999993,43.39339966988057,43.39339966988057,56.76132089956736,14.615691860697526,42.145629038869835,42.145629038869835,0.0,0.0,0.0,2.2941685712447272e-07,42.14562880945298,1.0,1.0,1.0,0.0,0.32818474174281415,0.0017669421580801023,0.32818474174281415,0.17452297208924197,0.2772307796597315,0.2940379049262773,0.14562360891351242,0.6288533611813772,2.0202292909179445,1.3913759297365673,16.69157660000019
adopted_control,1,control30_s1,tf2_runs/tf2/control30_s1/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,56,0.8629629629629629,0.8333333333333334,23,1.0,0.0,0.2883009074387914,0.05881460861610098,0.059407377548759153,0.04967542185167584,0.050221859389637594,0.28158828725490337,0.15597799093227577,0.2344415276009796,0.5539221551181891,0.2801929070279422,0.15594936227247427,0.23278286353504987,0.5565785512797519,72.23390643178942,29.999999999999993,42.23390643178943,42.23390643178942,51.96999058002705,12.767644173155782,39.202346406871264,39.20234640687126,0.0,0.0,0.0,2.523189895242208e-07,39.202346154552274,1.0,1.0,1.0,0.0,0.3437847228725828,0.001709679153461834,0.3437847228725828,0.17197772524540852,0.29532703650784037,0.305697880553555,0.1570565075232796,0.5849986607070446,1.9537180093686364,1.3687193486615918,16.891697300000487
adopted_control,2,control30_s2,tf2_runs/tf2/control30_s2/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,51,0.7962962962962963,0.8222222222222222,18,1.0,0.0,0.3111068208914448,0.06305214040572814,0.06270885437346925,0.05318903535162648,0.05275469383534945,0.29953803360736364,0.16463456848443525,0.25023687265730826,0.5496282608980444,0.301151204046549,0.1658863197417711,0.2513439408882121,0.550840632588439,70.45790502867125,29.99999999999999,40.45790502867125,40.45790502867125,49.83126416404843,13.038451957429562,36.79281220661887,36.79281220661887,0.0,0.0,0.0,3.0368024346568867e-07,36.79281190293863,1.0,1.0,1.0,0.0,0.3432691693058058,0.0017407135221797498,0.34326916930580587,0.17877420682029216,0.29113129528758946,0.30559039353883893,0.156174858089037,0.6173915430742857,1.9591487610138234,1.341757217939538,18.838429299999916
adopted_control,3,control30_s3,tf2_runs/tf2/control30_s3/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,54,0.8703703703703703,0.8518518518518519,13,1.0,0.0,0.2945268064645564,0.059640845476171794,0.05924171795683644,0.05060241450935214,0.050286298069708905,0.2872004175172255,0.15290771608757003,0.24311172366414524,0.5324077082109361,0.28716323594995474,0.1506308278838342,0.2444853324276941,0.5245477450674965,72.50966789199276,29.99999999999999,42.50966789199276,42.509667891992756,49.75196823533177,11.851075062035074,37.9008931732967,37.900893173296694,0.0,0.0,0.0,2.5848318146044544e-07,37.90089291481352,1.0,1.0,1.0,0.0,0.337467000000144,0.0017553174587503773,0.337467000000144,0.15890051501122815,0.2965393309045693,0.2989023154908106,0.15656521851113672,0.5369147858152802,1.910211846419509,1.373297060604229,18.80431580000004
adopted_control,4,control30_s4,tf2_runs/tf2/control30_s4/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,60,0.8740740740740741,0.8592592592592593,19,1.0,0.0,0.286513578402705,0.058992928117672955,0.05840439044333632,0.05010655905977924,0.04959627805351545,0.26724609645147235,0.1481421455651277,0.22242837223679482,0.5543285665615998,0.2664565202048789,0.14791672088129026,0.22162969305447205,0.5551251692679797,70.77614621089154,29.99999999999999,40.77614621089155,40.77614621089153,50.53105790433087,13.44996925850628,37.0810886458246,37.0810886458246,0.0,0.0,0.0,2.8215487900530495e-07,37.08108836366972,1.0,1.0,1.0,0.0,0.3068828138587036,0.0017836676641332047,0.3068828138587036,0.1588352232646795,0.26082954686602294,0.27351124104073476,0.13904957423654382,0.6178385396366994,1.9712559994511702,1.353417459814471,18.472271900000123
smooth_unified_cone_projection_30,0,smooth30_s0,tf2_runs/tf2/smooth30_s0/summary.json,local_field_direction_smooth_unified_cone_projection_keep_live_norm,30.0,59,0.7703703703703704,0.8296296296296296,3,1.0,0.0,0.29931883203198534,0.06015243334117058,0.05967517159197838,0.052212625838068585,0.05176881433221625,0.2757304721704704,0.1474175181864278,0.2330136661552382,0.5346435489193478,0.2733491747567914,0.14622205191092677,0.230952122473852,0.5349277240036514,73.58668583069925,23.808955523795063,49.77773030690418,49.77773030690418,57.046786187105525,11.231760702125673,45.81502548497985,45.81502548497985,0.0,0.0,0.0,2.426078903996938e-07,45.81502524237196,1.0,1.0,1.0,0.0,0.32647841702989816,0.0018043498898141332,0.32647841702989816,0.1734464108974414,0.2758456024606569,0.3045976068237708,0.11697667096063336,0.6284579750007634,2.6237429487307873,1.9952849737300236,18.350634600000376
smooth_unified_cone_projection_30,1,smooth30_s1,tf2_runs/tf2/smooth30_s1/summary.json,local_field_direction_smooth_unified_cone_projection_keep_live_norm,30.0,54,0.8703703703703703,0.8222222222222222,21,1.0,0.0,0.29267740514408386,0.05951081837868531,0.06024034082254698,0.05065530126146112,0.051334970099728414,0.279758369009625,0.15269574091646218,0.2344115093951194,0.5458129508583486,0.27828124348198635,0.1524654565335867,0.23279762678748586,0.5478826191297225,72.73896424426,23.970699786301935,48.768264457958075,48.768264457958075,52.6849737333075,9.801751549030959,42.88322218427653,42.88322218427654,0.0,0.0,0.0,2.5423829227581963e-07,42.883221930038246,1.0,1.0,1.0,0.0,0.34451210243132274,0.001709383572189141,0.34451210243132274,0.16995743628646964,0.29727740906267464,0.3192779472259896,0.12874713985914468,0.5747465311268978,2.5223920893031218,1.947645558176224,19.76559159999988
smooth_unified_cone_projection_30,2,smooth30_s2,tf2_runs/tf2/smooth30_s2/summary.json,local_field_direction_smooth_unified_cone_projection_keep_live_norm,30.0,55,0.8074074074074075,0.8148148148148148,13,1.0,0.0,0.30299927341791133,0.061183168346644015,0.06069981277922354,0.05149969138354844,0.050952872507380294,0.3006817718480564,0.16306078932563706,0.2526276051942599,0.5423035401295846,0.3022040682416634,0.16423682277878812,0.253680044357732,0.5434633085331364,71.0617442769121,24.369914694020668,46.69182958289143,46.691829582891415,51.0566157667199,10.353568413195942,40.703047353523964,40.703047353523964,0.0,0.0,0.0,2.915742798149366e-07,40.703047061949675,1.0,1.0,1.0,0.0,0.34343950212647123,0.0017731594134909833,0.34343950212647123,0.17758171926803673,0.2920379073512978,0.3179967832450568,0.12917926548355493,0.6117930275293767,2.4899098462908427,1.878116818761466,18.79464330000019
smooth_unified_cone_projection_30,3,smooth30_s3,tf2_runs/tf2/smooth30_s3/summary.json,local_field_direction_smooth_unified_cone_projection_keep_live_norm,30.0,58,0.8703703703703703,0.8777777777777778,9,1.0,0.0,0.283963378737248,0.057561254392869195,0.057017239464729794,0.0485382667394772,0.048080831867057715,0.28635586722295736,0.14850157982977602,0.244840690002852,0.5185910149839966,0.2858216062448407,0.14580254045597116,0.24583655097028526,0.5101172803957783,72.58140965425639,24.051819675143694,48.529589979112686,48.529589979112686,48.826513813928166,8.849006135879167,39.977507678049,39.977507678048994,0.0,0.0,0.0,2.3697317766567758e-07,39.977507441075815,1.0,1.0,1.0,0.0,0.3364682742916237,0.0017790184175391715,0.33646827429162374,0.15512941942666858,0.2974833758066717,0.31092455144159514,0.12819956749016825,0.5226117128765837,2.4456918692790275,1.923080156402444,17.727621000000454
smooth_unified_cone_projection_30,4,smooth30_s4,tf2_runs/tf2/smooth30_s4/summary.json,local_field_direction_smooth_unified_cone_projection_keep_live_norm,30.0,60,0.8777777777777778,0.8629629629629629,16,1.0,0.0,0.285361199609553,0.05836146132313308,0.05775717255794226,0.049813660856156045,0.04929026623396017,0.2684478520232798,0.14674733568295031,0.2247876080344916,0.546651182257269,0.2679326628890653,0.14675893430401507,0.22416450888750275,0.5477455892146269,71.61645069728851,24.262648601601963,47.35380209568656,47.353802095686554,52.15415461585201,10.667898174962257,41.48625644088975,41.486256440889754,0.0,0.0,0.0,2.146913036702085e-07,41.48625622619845,1.0,1.0,1.0,0.0,0.3082511779123401,0.0017858130746258437,0.3082511779123401,0.15821657336477024,0.26261434781026144,0.2860427131929379,0.11452250214172353,0.611894717475482,2.514216380228069,1.9023216627525867,17.540447800000038
