epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.004242147388261151,0.004242147388261151,0.007430580237874846,0.5762711044569206,0.6182099468983805,0.4852441004942109,0.48468345686629455,0.13296584640416959,0.13352649003208594,0.18518518518518517,0.1037037037037037
2,0.0,warmup,0.004279965872668667,0.004279965872668667,0.007275021499671833,0.5193304749344212,0.5855694886885283,0.44891584309447063,0.4483943361394644,0.13665364559405768,0.13717515254906393,0.23333333333333334,0.1037037037037037
3,0.0,warmup,0.00466699290207568,0.00466699290207568,0.007472433781654596,0.5011471991603748,0.5841000808500754,0.4331699193408266,0.4326618768368892,0.15093016150924876,0.15143820401318614,0.28888888888888886,0.1037037037037037
4,0.0,warmup,0.005155661057035825,0.005155661057035825,0.007760063182096202,0.49911665229238933,0.5898007224318302,0.42581267983885324,0.4253055591569451,0.163988042592977,0.16449516327488511,0.3,0.1037037037037037
5,0.0,warmup,0.0055238513047533525,0.0055238513047533525,0.00794725168772495,0.4995048476578816,0.5903679858161379,0.42095467047532154,0.4204440606224555,0.16941331534081638,0.16992392519368243,0.31851851851851853,0.1037037037037037
6,0.020000000000000004,hybrid,0.005769995217526274,0.005612650657357261,0.007867228008450642,0.4958586019949821,0.5834404665919419,0.4169521392836292,0.416435969791187,0.16648832730831276,0.1670044968007549,0.3814814814814815,0.1037037037037037
7,0.04000000000000001,hybrid,0.005758570630614861,0.005455762285087972,0.007570208638172235,0.4875624819506134,0.5719398255335368,0.41329638737010294,0.4127740014502255,0.1586434381634339,0.1591658240833113,0.4222222222222222,0.1037037037037037
8,0.06,hybrid,0.005610277639375979,0.005179433320250051,0.007180738652098803,0.477394060008587,0.5564633619571819,0.41215912261948573,0.4116281883473794,0.1443042393376962,0.14483517360980253,0.46296296296296297,0.1037037037037037
9,0.08000000000000002,hybrid,0.005381503512511757,0.004843367804833816,0.006726696345974259,0.4668819298404272,0.5410689988310445,0.40754446001746825,0.40700721637644244,0.1335245388135763,0.1340617824546021,0.46296296296296297,0.1037037037037037
10,0.1,hybrid,0.005141514669048523,0.0045088062775216695,0.006327083915268525,0.4565278584406823,0.5258079605241941,0.4048089055582027,0.40426407285824456,0.12099905496599139,0.12154388766594953,0.5555555555555556,0.1037037037037037
11,0.12,hybrid,0.004902119827833835,0.004186704615722891,0.005961793434257863,0.44655708900001223,0.51199792122715,0.4028845445753355,0.40233143568415636,0.10911337665181453,0.10966648554299369,0.5555555555555556,0.1037037037037037
12,0.13999999999999999,hybrid,0.0046548029687995445,0.003868540215648765,0.005616162522505569,0.4369941476427151,0.49744901845035827,0.4003610108049093,0.3997995557736064,0.09708800764544895,0.0976494626767519,0.5518518518518518,0.1037037037037037
13,0.16000000000000003,hybrid,0.004403205234428222,0.0035535279960408257,0.005310482739921224,0.42774226926348025,0.4840909229465907,0.39744198447405726,0.39687369278803314,0.08664893847253341,0.08721723015855753,0.6333333333333333,0.1037037037037037
14,0.18000000000000002,hybrid,0.004143179435091252,0.0032435278449393897,0.004998064389732568,0.418555675413436,0.47052018873482343,0.3937368571709244,0.393162838620245,0.07678333156389905,0.07735735011457845,0.6518518518518519,0.1037037037037037
15,0.2,hybrid,0.0039042742880302747,0.0029588712754855724,0.004727015062723507,0.4091557672240668,0.4586249008455868,0.39169203763153854,0.3911094850624822,0.06693286321404829,0.0675154157831046,0.6481481481481481,0.1037037037037037
16,0.2,hybrid,0.0036049550226337915,0.002709577375509073,0.00447688823562359,0.40157101462930533,0.44662169063349944,0.38894395190012365,0.3883546569805549,0.05767773873337578,0.058267033652944555,0.6592592592592592,0.1037037037037037
17,0.2,hybrid,0.0033470606098142423,0.002494743568506289,0.004261585206539765,0.3944926255009193,0.43705441890488245,0.38660559068630973,0.3860082578663223,0.05044882821857272,0.051046161038560134,0.6148148148148148,0.1037037037037037
18,0.2,hybrid,0.0031340228666617543,0.0023165713057017186,0.004087257804800178,0.38791565454171545,0.42798275527475405,0.3841178674785702,0.3835127421811544,0.04386488779618386,0.04447001309359966,0.6814814814814815,0.1037037037037037
19,0.2,hybrid,0.002957381002793344,0.002170425227516498,0.003934778876384227,0.3819923878189331,0.420093095503716,0.3811463755910047,0.3805350978844949,0.03894671991271126,0.039557997619221075,0.7111111111111111,0.1037037037037037
20,0.2,hybrid,0.002801690106581789,0.0020417811469408955,0.003799544798204464,0.37641292982203545,0.41289116657758757,0.3779333297028666,0.37731575359981595,0.03495783687472098,0.035575412977771614,0.7518518518518519,0.1037037037037037
