epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.0041705764895948495,0.0041705764895948495,0.007640498833770715,0.5355919795559635,0.6080734068360594,0.4907767208146359,0.4901715733337743,0.11729668602142346,0.11790183350228506,0.09259259259259259,0.1037037037037037
2,0.0,warmup,0.003968805847040861,0.003968805847040861,0.007171428703566321,0.4899496399574014,0.5781554711053746,0.4614007026283349,0.46082573268500976,0.1167547684770397,0.11732973842036482,0.13333333333333333,0.1037037037037037
3,0.0,warmup,0.0043233157338984935,0.0043233157338984935,0.007278947519789522,0.4715992294111075,0.5823436966019744,0.4455876330700459,0.4450239364471036,0.13675606353192848,0.1373197601548708,0.1962962962962963,0.1037037037037037
4,0.0,warmup,0.005134011538685538,0.005134011538685538,0.007822011009694659,0.47098918094482745,0.6066715515653743,0.43546031853464845,0.43489890487175614,0.17121123303072588,0.1717726466936182,0.23333333333333334,0.1037037037037037
5,0.0,warmup,0.0061588621223381155,0.0061588621223381155,0.00858624928329357,0.4790869361298468,0.6312197274619549,0.4275721924950723,0.42700831497304975,0.2036475349668826,0.20421141248890512,0.2814814814814815,0.1037037037037037
6,0.020000000000000004,hybrid,0.007126746213042092,0.006943669864984091,0.009153817402900033,0.4851002478994054,0.6391771735257236,0.42079199144079393,0.4202227369745438,0.21838518208492963,0.21895443655117974,0.35555555555555557,0.1037037037037037
7,0.04000000000000001,hybrid,0.00752444605290052,0.007155193577011942,0.009231311897214435,0.4820530151496897,0.6305107100834016,0.41499519718398764,0.41441842144048413,0.215515512899414,0.21609228864291752,0.42592592592592593,0.1037037037037037
8,0.06,hybrid,0.0073917186933083025,0.006858987008285422,0.008878861417047974,0.4705307740187486,0.6060615407283128,0.4097723455205631,0.40918672343724827,0.19628919520774968,0.19687481729106449,0.4777777777777778,0.1037037037037037
9,0.08000000000000002,hybrid,0.0069191577093274045,0.006258924021896868,0.008252921092881702,0.4544881996978149,0.5767136673344473,0.40486645645632824,0.40427195976875846,0.17184721087811905,0.17244170756568883,0.5259259259259259,0.1037037037037037
10,0.1,hybrid,0.006296216284612894,0.0055430511903235774,0.007531650942893176,0.4370330253062219,0.5484216069673004,0.4003548424658282,0.3997513758061183,0.14806676450147216,0.14867023116118205,0.5814814814814815,0.1037037037037037
11,0.12,hybrid,0.005677978078392507,0.0048573604319479945,0.0068384803870376095,0.42051565731493945,0.5208739610468718,0.39621746044118367,0.3956040422650681,0.12465650060568811,0.12526991878180366,0.5888888888888889,0.1037037037037037
12,0.13999999999999999,hybrid,0.005102891456510518,0.004235487018635723,0.006195745984819967,0.406111979379581,0.49766015050434337,0.39280800770761776,0.3921851562584306,0.10485214279672561,0.10547499424591278,0.5962962962962963,0.1037037037037037
13,0.16000000000000003,hybrid,0.004608963185575338,0.003705404548721677,0.005647241480335385,0.39368504174340335,0.4764168955810177,0.38918597259261906,0.38855342262744696,0.08723092298839863,0.08786347295357072,0.6037037037037037,0.1037037037037037
14,0.18000000000000002,hybrid,0.004198086859699835,0.003266273729272559,0.0051767396134848685,0.38341449678974343,0.459037500609108,0.38477806889361815,0.38413825286559644,0.07425943171548982,0.07489924774351153,0.6703703703703704,0.1037037037037037
15,0.2,hybrid,0.003857611666708914,0.002901926041108838,0.004778428128000379,0.3735437429123796,0.4451234746670891,0.3828611502750623,0.3822087319547399,0.062262324392026835,0.0629147427123492,0.6851851851851852,0.1037037037037037
16,0.2,hybrid,0.0034984968530968447,0.0026090853171508743,0.004447057679729855,0.3656991607976551,0.43139952105741824,0.3785500153743526,0.3778911319526502,0.05284950568306562,0.05350838910476802,0.662962962962963,0.1037037037037037
17,0.2,hybrid,0.003215581418783379,0.002378054248848558,0.004187635849674104,0.3587340217962711,0.4210222627823844,0.3749002916505732,0.3742348044707928,0.04612197113181121,0.04678745831159159,0.7,0.1037037037037037
18,0.2,hybrid,0.0029867614669981573,0.002191805803083888,0.003974778319571345,0.352528853800305,0.41096710627872324,0.37101517280575746,0.3703427118936774,0.03995193347296577,0.04062439438504584,0.7444444444444445,0.1037037037037037
19,0.2,hybrid,0.002807599435902189,0.0020463605522844986,0.0038061944180884538,0.34633877943917746,0.4026218485604373,0.3676957397265284,0.3670156445634164,0.0349261088339089,0.03560620399702091,0.725925925925926,0.1037037037037037
20,0.2,hybrid,0.0026669172267040726,0.0019322766682476108,0.0036732027922823074,0.3413106085025352,0.3950807159074224,0.36413732295104984,0.3634493841396334,0.03094339295637255,0.031631331767788984,0.7481481481481481,0.1037037037037037
21,0.2,hybrid,0.002556541745587048,0.001843798924196193,0.0035637141069542757,0.3363309044265412,0.38937034695693395,0.36131565597844845,0.3606200129542626,0.028054690978485508,0.02875033400267135,0.7592592592592593,0.1037037037037037
22,0.2,hybrid,0.002463797187460205,0.0017687965143033239,0.003475003365784408,0.3318151572820683,0.38213463627555105,0.3569112040995172,0.35621005528402544,0.025223432176033844,0.025924580991525614,0.774074074074074,0.1037037037037037
23,0.2,hybrid,0.0023912828518835977,0.0017099150721111797,0.00340683889886209,0.3269304609074569,0.3775152036013185,0.35427789118095654,0.35356787479725715,0.023237312420361977,0.023947328804061363,0.7888888888888889,0.1037037037037037
24,0.2,hybrid,0.002336210577783894,0.0016662312905561492,0.003349896436138723,0.3223913753644882,0.3714278018854365,0.35036780159076647,0.34965241816889814,0.021060000294670034,0.021775383716538366,0.725925925925926,0.1037037037037037
