epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.004206048736963045,0.004206048736963045,0.009270068934678192,0.5412792080096789,0.5985260910760466,0.46502752263488234,0.4645019861725974,0.13349856844116426,0.13402410490344918,0.05555555555555555,0.1037037037037037
2,0.0,warmup,0.004807533701232776,0.004807533701232776,0.00991245036095403,0.5120380783141867,0.5984352040489791,0.4409146378114984,0.44040774826235607,0.15752056623748067,0.15802745578662303,0.15925925925925927,0.1037037037037037
3,0.0,warmup,0.005594662940088443,0.005594662940088443,0.010735881190524923,0.5129018180625992,0.6099783643690695,0.4313777377587788,0.43087286293777066,0.1786006266102907,0.17910550143129883,0.2740740740740741,0.1037037037037037
4,0.0,warmup,0.0060984593381964965,0.0060984593381964965,0.011234246656901183,0.5162336935786271,0.6124341738555669,0.4263612237561127,0.425852200912515,0.18607295009945418,0.18658197294305184,0.337037037037037,0.1037037037037037
5,0.0,warmup,0.006158753727477401,0.006158753727477401,0.011257471194441126,0.5124310703579694,0.6004431994481635,0.4222955025433123,0.42178044855295316,0.17814769690485122,0.17866275089521033,0.4185185185185185,0.1037037037037037
6,0.020000000000000004,hybrid,0.006056368889455599,0.005839630320848506,0.010836928430354584,0.5013266425602465,0.5806079133320297,0.4194392009239925,0.4189163299272757,0.16116871240803715,0.16169158340475398,0.4111111111111111,0.1037037037037037
7,0.04000000000000001,hybrid,0.005743286759526566,0.005336139278618583,0.010178687022699555,0.4863072628373274,0.5581870689221637,0.41592361862551674,0.4153940055282429,0.142263450296647,0.14279306339392084,0.4222222222222222,0.1037037037037037
8,0.06,hybrid,0.005343657015704344,0.004778931447037902,0.009412092811107376,0.4702015561132408,0.5365569384181499,0.41319217281553344,0.412654746887555,0.12336476560261644,0.1239021915305949,0.43333333333333335,0.1037037037037037
9,0.08000000000000002,hybrid,0.0049431101265642085,0.004249900502920512,0.008665120295546206,0.4550251938855327,0.5155004724286485,0.4101010842847873,0.40955644432348154,0.10539938814386118,0.10594402810516695,0.5148148148148148,0.1037037037037037
10,0.1,hybrid,0.004573212497919747,0.003776824399550442,0.007963880983693043,0.4409134059502999,0.4965262350779711,0.407157825394054,0.4066059527447696,0.08936840968391713,0.08992028233320148,0.5,0.1037037037037037
11,0.12,hybrid,0.004249901661914769,0.003370054920581793,0.0073320561777748,0.4285599689362775,0.480126689628135,0.4044795517447183,0.403920256502487,0.0756471378834167,0.07620643312564801,0.5037037037037037,0.1037037037037037
12,0.13999999999999999,hybrid,0.003967945433759905,0.003019898580570555,0.006771763237066785,0.4175031563534791,0.4660300432342831,0.402843948848043,0.4022755811106027,0.06318609438624012,0.06375446212368041,0.5074074074074074,0.1037037037037037
13,0.16000000000000003,hybrid,0.003727329454959833,0.002725090596134321,0.006263992867659449,0.4075717182061521,0.45336557281409023,0.3998767703914489,0.39930167979082043,0.05348880242264131,0.054063893023269805,0.5333333333333333,0.1037037037037037
14,0.18000000000000002,hybrid,0.0035310825334458505,0.0024811783697528526,0.005832800909405548,0.39931805725145014,0.4428370815875687,0.39712039269752103,0.3965380354020948,0.04571668889004765,0.04629904618547387,0.5259259259259259,0.1037037037037037
15,0.2,hybrid,0.0033807191943582677,0.002286907088008159,0.005469060531750544,0.39182299282001587,0.433712666626485,0.39454570194980215,0.3939558576684902,0.03916696467668285,0.03975680895799483,0.6148148148148148,0.1037037037037037
16,0.2,hybrid,0.0031730141055730807,0.0021388707386385615,0.005170716834672594,0.3854723974939836,0.42616120180690265,0.39165056675086035,0.39105367916266115,0.034510635056042294,0.035107522644241496,0.5925925925925926,0.1037037037037037
