epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.004213447537503386,0.004213447537503386,0.007396139901398177,0.564173453906078,0.6139560878922118,0.48231075185283756,0.4817505753986229,0.13164533603937423,0.13220551249358886,0.18518518518518517,0.1037037037037037
2,0.0,warmup,0.004261746381769288,0.004261746381769288,0.007269348718321832,0.5068667448480636,0.5821687599620816,0.44684279205243777,0.4463184367912265,0.13532596790964385,0.1358503231708551,0.24074074074074073,0.1037037037037037
3,0.0,warmup,0.004668955722734803,0.004668955722734803,0.007505347934482341,0.4897223898082304,0.581067545651521,0.43147240099717915,0.4309586920425724,0.14959514465434182,0.15010885360894854,0.2851851851851852,0.1037037037037037
4,0.0,warmup,0.005173880641762106,0.005173880641762106,0.007826352751461246,0.48779669323273644,0.5863051664633199,0.4237878024002049,0.4232729479946894,0.16251736406311496,0.16303221846863047,0.3111111111111111,0.1037037037037037
5,0.0,warmup,0.005547495988610427,0.005547495988610427,0.008028269986220263,0.487589402994882,0.5861494521477042,0.4184997909626816,0.4179794571830798,0.1676496611850226,0.16816999496462443,0.35555555555555557,0.1037037037037037
6,0.020000000000000004,hybrid,0.00578776048346744,0.005628825182079831,0.007946765069380444,0.48299376543448086,0.5785060455339719,0.41404837659122307,0.41352052714037424,0.16445766894274882,0.16498551839359765,0.4074074074074074,0.1037037037037037
7,0.04000000000000001,hybrid,0.005766270252173926,0.005460640845288608,0.007640735172132915,0.47372759764795447,0.5663026448394886,0.4099394795781391,0.40940355005369927,0.15636316526134947,0.15689909478578928,0.42962962962962964,0.1037037037037037
8,0.06,hybrid,0.00560664523996187,0.005172288915684812,0.007239272071284284,0.46270344442777683,0.5505879226388959,0.4082969059223322,0.4077506058050511,0.1422910167165637,0.14283731683384476,0.5037037037037037,0.1037037037037037
9,0.08000000000000002,hybrid,0.005375324821565367,0.004833004082182445,0.006779009242286534,0.4513480595468983,0.5350315981425655,0.4033116203368328,0.40275730462108184,0.1317199778057327,0.13227429352148368,0.5037037037037037,0.1037037037037037
10,0.1,hybrid,0.005141377184642899,0.004503494757443927,0.006378824271989719,0.44056207194034513,0.5202184537525557,0.4002626583546631,0.39969899890958516,0.11995579539789258,0.12051945484297055,0.5740740740740741,0.1037037037037037
11,0.12,hybrid,0.0049197541250310655,0.0041970475315749305,0.0060225549454677955,0.43046378417877496,0.5070144390730205,0.3980651097066853,0.3974913477098959,0.10894932936633517,0.10952309136312455,0.5962962962962963,0.1037037037037037
12,0.13999999999999999,hybrid,0.004693496695678286,0.003896721420248971,0.005691251967352243,0.42094661977860265,0.49305133542986873,0.39536118736788833,0.3947772571992358,0.0976901480619804,0.09827407823063294,0.5962962962962963,0.1037037037037037
13,0.16000000000000003,hybrid,0.004454652079555194,0.003591572102974837,0.005394249853627238,0.4116700098195901,0.47984635735023046,0.3922160936047821,0.3916237506729417,0.08763026374544836,0.08822260667728876,0.6888888888888889,0.1037037037037037
14,0.18000000000000002,hybrid,0.0041941823985230066,0.0032797418975749498,0.005080225005266982,0.4023539994311479,0.4662276225070402,0.3884391521740077,0.3878393439904626,0.07778847033303249,0.07838827851657759,0.6925925925925925,0.1037037037037037
15,0.2,hybrid,0.003947429064855266,0.0029863000992546708,0.004805644828002975,0.39289136125167534,0.4540060759047255,0.38620445516632096,0.3855945806665932,0.06780162073840457,0.06841149523813234,0.6851851851851852,0.1037037037037037
16,0.2,hybrid,0.003633823312199338,0.00272484283496383,0.004544902386177535,0.3850760562295833,0.44170846135640934,0.38331227318391714,0.3826942258139792,0.0583961881724922,0.05901423554243013,0.6888888888888889,0.1037037037037037
17,0.2,hybrid,0.003363401785209462,0.002498893230303225,0.004322542774531182,0.3778453531937607,0.4318140911960824,0.3807463881911836,0.3801190839493117,0.05106770300489877,0.051695007246770674,0.6518518518518519,0.1037037037037037
18,0.2,hybrid,0.0031409118342167744,0.002312614805619095,0.004141485142988398,0.37112965482172783,0.4225140402445456,0.37803433255555,0.37739820738091984,0.04447970768899556,0.04511583286362575,0.7296296296296296,0.1037037037037037
19,0.2,hybrid,0.002958565949518842,0.0021617010423655774,0.003984324535766319,0.365105418355493,0.4144696419065217,0.3747954234022708,0.37415225673449704,0.0396742185042509,0.040317385172024656,0.725925925925926,0.1037037037037037
20,0.2,hybrid,0.0028009279333091877,0.002031515589339899,0.0038470617198464404,0.3594683973303532,0.40719638317823165,0.37142236239214277,0.3707719785537661,0.03577402078608888,0.036424404624465556,0.762962962962963,0.1037037037037037
21,0.2,hybrid,0.002675380581050841,0.0019282176533253353,0.0037358146386275285,0.3542007537974062,0.40074121414337954,0.3692795169396722,0.3686198789216708,0.03146169720370734,0.032121335221708736,0.7444444444444445,0.1037037037037037
22,0.2,hybrid,0.0025677358060429666,0.0018390809727898947,0.003643274166265361,0.3495848137190106,0.396262155894539,0.36730651783107277,0.36663774279921024,0.028955638063466238,0.02962441309532876,0.762962962962963,0.1037037037037037
23,0.2,hybrid,0.0024786725714261255,0.0017665567998659515,0.0035605788578008694,0.3457282696683518,0.3896642466024103,0.3640374337301944,0.36336142086494144,0.025626812872215854,0.026302825737468838,0.7444444444444445,0.1037037037037037
24,0.2,hybrid,0.002403752126504738,0.0017052201575740074,0.003492659844653652,0.341331597480482,0.38404603710719165,0.3615112252287873,0.3608273081910355,0.022534811878404337,0.023218728916156173,0.774074074074074,0.1037037037037037
25,0.2,hybrid,0.002338522129895587,0.0016515851310616395,0.0034346849941697373,0.3373776307663275,0.3793580897681944,0.35880771589932614,0.3581155625571535,0.020550373868868266,0.021242527211040918,0.7518518518518519,0.1037037037037037
26,0.2,hybrid,0.002281758698966427,0.0016055607804296636,0.0033809895926838183,0.33389550854108474,0.37456928967274994,0.3562622221101491,0.35556214589605384,0.018307067562600865,0.0190071437766961,0.762962962962963,0.1037037037037037
27,0.2,hybrid,0.002235778579877304,0.0015690513871467842,0.003333635963652599,0.3296489770916954,0.37072922814602605,0.3541137440513258,0.35340539825476813,0.01661548409470026,0.017323829891257914,0.7555555555555555,0.1037037037037037
28,0.2,hybrid,0.0021943268801720523,0.001535307332337085,0.003295097739174837,0.32629108214988045,0.3660727060667426,0.35126337292393356,0.35054747273767917,0.014809333142809022,0.015525233329063415,0.774074074074074,0.1037037037037037
29,0.2,hybrid,0.002160116644584687,0.001507980929439141,0.003260678575727728,0.3226869045918558,0.36176562961864334,0.34811648972208964,0.3473940363501331,0.013649139896553697,0.01437159326851023,0.7666666666666667,0.1037037037037037
30,0.2,hybrid,0.00213053581988656,0.0014846557159776872,0.0032294005195443627,0.3188870790065154,0.3580460997885983,0.3459043220786927,0.34517348663616965,0.012141777709905599,0.012872613152428658,0.762962962962963,0.1037037037037037
31,0.2,hybrid,0.002105619313813864,0.001465687345588767,0.003199659841125485,0.3158028781040584,0.3545804926822925,0.3433419833378945,0.34260407308562435,0.011238509344398018,0.011976419596668175,0.7814814814814814,0.1037037037037037
32,0.2,hybrid,0.0020856621417759324,0.001449932849067013,0.003178646463544598,0.3128540100116233,0.35155311662559807,0.34112643165980455,0.3403799597923299,0.01042668496579352,0.011173156833268194,0.7888888888888889,0.1037037037037037
33,0.2,hybrid,0.002066528089035904,0.0014364273990705374,0.0031505034498268323,0.30951054429794284,0.34822042922494206,0.3391229274823504,0.33836800267909706,0.009097501742591663,0.009852426545845006,0.7814814814814814,0.1037037037037037
34,0.2,hybrid,0.0020504509021274375,0.0014248589757554673,0.0031279596318598522,0.3064275642372464,0.34394849442612135,0.33549970552686625,0.3347405617635007,0.0084487888992551,0.009207932662620655,0.8037037037037037,0.1037037037037037
35,0.2,hybrid,0.0020361091140260823,0.001414246714933606,0.003109311995462381,0.3032217311541192,0.34181931687510236,0.3337836553125792,0.3330160015668035,0.008035661562523166,0.008803315308298865,0.8,0.1037037037037037
36,0.2,hybrid,0.0020230075049387044,0.0014053381764370034,0.0030883466425085044,0.300698520176215,0.3380959828467173,0.3309292986243171,0.33015535050487954,0.007166684222400244,0.007940632341837783,0.8148148148148148,0.1037037037037037
37,0.2,hybrid,0.0020117804828061977,0.001398573872702289,0.0030660330505195435,0.2974536807004055,0.33498514450341127,0.32825658067354174,0.32747682054314553,0.006728563829869527,0.007508323960265739,0.7962962962962963,0.1037037037037037
38,0.2,hybrid,0.0019978261480833653,0.0013877307352255658,0.0030504770642889962,0.2939359519945709,0.33212033017672005,0.3265840825136387,0.3257960422456838,0.005536247663081362,0.006324287931036232,0.8333333333333334,0.1037037037037037
39,0.2,hybrid,0.0019882154844513508,0.0013826982931993163,0.00302758595626017,0.2911746671087604,0.3290122519739265,0.32425635553335774,0.32346086287465764,0.00475589644056873,0.005551389099268833,0.8074074074074075,0.1037037037037037
40,0.2,hybrid,0.0019746563454237764,0.001373339705366071,0.0030065832002885264,0.2884918097929151,0.32588726649703875,0.3216698456170947,0.3208677367687073,0.004217420879944034,0.005019529728331473,0.8185185185185185,0.1037037037037037
41,0.2,hybrid,0.001967758999482468,0.0013697194799810986,0.0029901975975068487,0.2856412119479489,0.3228605957441898,0.3189195065085612,0.318111996138177,0.003941089235628581,0.0047485996060128155,0.825925925925926,0.1037037037037037
42,0.2,hybrid,0.001957134555113204,0.0013631951413513727,0.002969697068809154,0.28276580584029576,0.3198627677460001,0.3165880167393667,0.3157741718542377,0.0032747510066333807,0.004088595891762414,0.8222222222222222,0.1037037037037037
43,0.2,hybrid,0.0019466269615201332,0.0013563873436547135,0.0029511980893270973,0.280460113313228,0.3170966689504054,0.31388150381446894,0.31306196518950513,0.0032151651359364486,0.00403470376090026,0.8222222222222222,0.1037037037037037
44,0.2,hybrid,0.001937232021331398,0.0013498580268264066,0.002936869972524957,0.2775285695238595,0.31478190884249285,0.31207496266803486,0.31124860984716646,0.0027069461744579915,0.003533298995326395,0.8407407407407408,0.1037037037037037
45,0.2,hybrid,0.0019281126170078357,0.001345043966069844,0.0029153432546899583,0.2748605229413411,0.311780484583708,0.30955640124859046,0.30872369075604916,0.0022240833351175326,0.0030567938276588325,0.8481481481481481,0.1037037037037037
