epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.0042345247131811556,0.0042345247131811556,0.007768480637185676,0.5656506929639211,0.6125966757414757,0.4770302255394034,0.47649329959348163,0.1355664502020723,0.13610337614799406,0.15925925925925927,0.1037037037037037
2,0.0,warmup,0.004797717454319561,0.004797717454319561,0.008418124732787654,0.5365839603271777,0.6123602636201352,0.4504046003027479,0.44989395239139446,0.16195566331738726,0.16246631122874072,0.16296296296296298,0.1037037037037037
3,0.0,warmup,0.00584904425117749,0.00584904425117749,0.009472402316423703,0.5408849434645143,0.6358466164420382,0.4384128455601162,0.4379088998820057,0.197433770881922,0.1979377165600325,0.2074074074074074,0.1037037037037037
4,0.0,warmup,0.006945246095127698,0.006945246095127698,0.010557540883322555,0.5571877311474704,0.6619545702141529,0.4319660668122004,0.43146120085587975,0.22998850340195254,0.2304933693582732,0.25925925925925924,0.1037037037037037
5,0.0,warmup,0.00791116348251538,0.00791116348251538,0.011505774046705575,0.5742205544257702,0.6848893062344368,0.42754297365110655,0.4270333210764048,0.25734633258333023,0.257855985158032,0.32222222222222224,0.1037037037037037
6,0.020000000000000004,hybrid,0.008919004064462966,0.008674994606267878,0.01220047290975427,0.5882952633891788,0.7006816388673391,0.4238105676563529,0.42329460146295655,0.27687107121098625,0.2773870374043826,0.32222222222222224,0.1037037037037037
7,0.04000000000000001,hybrid,0.009560446463706573,0.009062657350036118,0.012444727841761417,0.5939336797528243,0.6988350213627976,0.4217647360465734,0.4212399223507839,0.27707028531622424,0.27759509901201374,0.32222222222222224,0.1037037037037037
8,0.06,hybrid,0.00953582910429097,0.008816234180777269,0.011993248725228379,0.5847527941645636,0.6740918411519333,0.4190044729797356,0.4184703176485506,0.25508736817219774,0.25562152350338274,0.4111111111111111,0.1037037037037037
9,0.08000000000000002,hybrid,0.008810315835111434,0.007940295534313397,0.01087525375997545,0.5605225263262521,0.6337673589887874,0.41765714611446764,0.417112079878674,0.2161102128743198,0.21665527911011345,0.34444444444444444,0.1037037037037037
10,0.1,hybrid,0.007707973223549649,0.006761780742743422,0.009461924808062275,0.529314191473182,0.5882275534000352,0.4131454320497613,0.4125947803265473,0.1750821213502739,0.1756327730734879,0.4148148148148148,0.1037037037037037
11,0.12,hybrid,0.006599683500021344,0.005626393125221805,0.008110753123329487,0.4985671019555962,0.5505292530635187,0.4115026080848575,0.41094228918524467,0.13902664497866124,0.13958696387827407,0.4,0.1037037037037037
12,0.13999999999999999,hybrid,0.0056729964840232655,0.004691668329264655,0.007009486819704362,0.473335095604695,0.5200344627230833,0.40778753806775925,0.4072212484144848,0.11224692465532404,0.11281321430859848,0.45555555555555555,0.1037037037037037
13,0.16000000000000003,hybrid,0.004950238294094772,0.00396418192910617,0.006162852281178767,0.4525601563279623,0.49604939050705255,0.40587404194917237,0.40529943057767115,0.09017534855788018,0.0907499599293814,0.45185185185185184,0.1037037037037037
