epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.005555641281960409,0.005555641281960409,0.010861776213730665,0.5457038378864192,0.6565357133938138,0.46178930032654925,0.4612380470210331,0.19474641306726453,0.19529766637278068,0.15185185185185185,0.1037037037037037
2,0.0,warmup,0.00647665501228208,0.00647665501228208,0.011852454241216896,0.5333943299861444,0.6698113771040459,0.4458772472618771,0.4453373930653867,0.22393412984216882,0.2244739840386592,0.1925925925925926,0.1037037037037037
3,0.0,warmup,0.007185993610124133,0.007185993610124133,0.012514679543989684,0.5359859965085418,0.6762709478470086,0.4381542071892804,0.43761401987209564,0.2381167406577282,0.23865692797491295,0.21851851851851853,0.1037037037037037
4,0.0,warmup,0.007493754945139384,0.007493754945139384,0.012719131710039458,0.5346952020057065,0.6696570861532272,0.43187707413380916,0.43133355170802795,0.237780012019418,0.23832353444519921,0.3148148148148148,0.1037037037037037
5,0.0,warmup,0.007352036689786197,0.007352036689786197,0.012394243261255532,0.5254460135607106,0.6502020771549092,0.42633837949821235,0.4257900008347409,0.22386369765669684,0.2244120763201683,0.35555555555555557,0.1037037037037037
6,0.020000000000000004,hybrid,0.0070812723567158465,0.006848807309677664,0.01162325235190921,0.5094859023428013,0.6246276938984483,0.42118581913830155,0.4206318728428843,0.20344187476014675,0.20399582105556402,0.37037037037037035,0.1037037037037037
7,0.04000000000000001,hybrid,0.006625033127858585,0.006198780998891207,0.010656303224184406,0.4908823635140066,0.5946756876739626,0.4161065951740512,0.4155475130619775,0.17856909249991143,0.1791281746119851,0.4074074074074074,0.1037037037037037
8,0.06,hybrid,0.00611554336523983,0.0055359027062547705,0.00966067764975097,0.4723589307350391,0.5699170227576539,0.41234215414712194,0.41177575821796736,0.15757486861053194,0.15814126453968652,0.45925925925925926,0.1037037037037037
9,0.08000000000000002,hybrid,0.005690116242394098,0.004987564895284957,0.00878189183886427,0.45638500807115207,0.5492597542009238,0.40845399977147534,0.4078803523654606,0.14080575442944843,0.14137940183546316,0.45925925925925926,0.1037037037037037
10,0.1,hybrid,0.005350134797721557,0.004546300551531351,0.008038342461902048,0.44277291726946666,0.531928177945438,0.4043237939563072,0.4037438058281824,0.12760438398913082,0.12818437211725558,0.5222222222222223,0.1037037037037037
11,0.12,hybrid,0.0050908459896930255,0.004196378178349185,0.007453898427865338,0.4317303827404634,0.5167934206056997,0.401492363078415,0.4009038067842296,0.11530105752728464,0.11588961382147006,0.5111111111111111,0.1037037037037037
12,0.13999999999999999,hybrid,0.004840492187068058,0.003869061514110502,0.006938790521125397,0.42165823469884156,0.5038569617770786,0.3987157578707138,0.39811864061007013,0.10514120390636483,0.10573832116700849,0.5481481481481482,0.1037037037037037
13,0.16000000000000003,hybrid,0.0046001833241055565,0.003562732534681512,0.006484067433900278,0.41196544610740704,0.488013234788124,0.39558811789451515,0.3949828540930965,0.09242511689360883,0.09303038069502745,0.5555555555555556,0.1037037037037037
14,0.18000000000000002,hybrid,0.004349250446714697,0.003255203519935297,0.006078038482107781,0.4030766619613081,0.47546103616485613,0.39357212576640455,0.3929572545540878,0.08188891039845159,0.08250378161076832,0.5703703703703704,0.1037037037037037
15,0.2,hybrid,0.004124130119530568,0.0029775261863148436,0.005733019666078622,0.3955191933282727,0.4642195132304066,0.39051947541476156,0.3898965804179356,0.07370003781564505,0.07432293281247099,0.6333333333333333,0.1037037037037037
16,0.2,hybrid,0.003815358088630153,0.0027293269290566253,0.005430155797867638,0.3874742350914261,0.4524941933324167,0.38796016722076054,0.3873283800707512,0.06453402611165615,0.06516581326166548,0.6481481481481481,0.1037037037037037
17,0.2,hybrid,0.003559058864497372,0.0025205650896779844,0.005192468874096935,0.3814615882635943,0.442428383555377,0.3856277899386054,0.3849872351876444,0.05680059361677159,0.05744114836773262,0.6296296296296297,0.1037037037037037
