epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.005492562535833055,0.005492562535833055,0.01081169778905002,0.5195345929764269,0.652576368107151,0.46065786106928563,0.4601051188873468,0.1919185070378654,0.19247124921980424,0.15185185185185185,0.1037037037037037
2,0.0,warmup,0.0063058674430962304,0.0063058674430962304,0.011706662040589266,0.5028629568454567,0.6624798202192477,0.44463990666317593,0.4440954497749788,0.21783991355607174,0.2183843704442689,0.2074074074074074,0.1037037037037037
3,0.0,warmup,0.006913914549728796,0.006913914549728796,0.012273727595948284,0.5018283019463132,0.6662431445071245,0.43637547062164983,0.4358284665362186,0.2298676738854747,0.23041467797090592,0.23333333333333334,0.1037037037037037
4,0.0,warmup,0.007173103936036799,0.007173103936036799,0.012444767008574945,0.49844606539494807,0.6588960314039718,0.4295062317955846,0.4289539108606502,0.22938979960838718,0.22994212054332158,0.32592592592592595,0.1037037037037037
5,0.0,warmup,0.0070570188467187715,0.0070570188467187715,0.012171268030638047,0.48935596725550584,0.6405356546490101,0.4233407259805357,0.4227817396975688,0.2171949286684744,0.21775391495144125,0.3592592592592593,0.1037037037037037
6,0.020000000000000004,hybrid,0.0068484135167051095,0.006618515862242913,0.011494882723109758,0.47518456799362185,0.6163190228940543,0.4177440145779047,0.4171775117763045,0.19857500831614955,0.19914151111774975,0.3888888888888889,0.1037037037037037
7,0.04000000000000001,hybrid,0.006438704803084419,0.006014675837003743,0.010600724152016901,0.4584269429948947,0.5871555714349159,0.4122652434090846,0.4116916976497243,0.17489032802583132,0.17546387378519163,0.43703703703703706,0.1037037037037037
8,0.06,hybrid,0.005944828154839275,0.005366596335074383,0.00963719699608154,0.44139369746887525,0.5614371590568779,0.40788755499730633,0.4073053156100846,0.15354960405957152,0.15413184344679326,0.48518518518518516,0.1037037037037037
9,0.08000000000000002,hybrid,0.005499032030564683,0.004799430017597472,0.008745025162090131,0.4260870936364018,0.5393725442946005,0.40342665287447327,0.40283599409651827,0.1359458914201272,0.1365365501980822,0.4888888888888889,0.1037037037037037
10,0.1,hybrid,0.005139408416755707,0.0043419584969444786,0.007974499198112288,0.4128640787957056,0.5215121693615351,0.3985132589949553,0.39791560363452383,0.12299891036657978,0.12359656572701128,0.5407407407407407,0.1037037037037037
