case_name,seed,run_id,run_summary_path,intervention_step_offsets,successor_value_blend_alpha,run_status,failure_kind,nan_incidence_flag,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,seed_gate_positive,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,val_terminal_rowspace_rms,val_terminal_rowspace_fraction,runtime_proxy_seconds
adopted_control_terminal_only,0,adopted_control_terminal_only_s0,runs/adopted_control_terminal_only/seed_0/summary.json,-1,,success,,0.0,53,0.774074074074074,0.8037037037037037,11,1.0,1.0,0.0,0.3137282688131667,0.06320277364531794,0.14641771874107942,0.5336663837896631,19.318857000005664
adopted_control_terminal_only,1,adopted_control_terminal_only_s1,runs/adopted_control_terminal_only/seed_1/summary.json,-1,,success,,0.0,56,0.8629629629629629,0.8333333333333334,23,1.0,1.0,0.0,0.2883009074387914,0.05881460861610098,0.15597799093227577,0.5539221551181891,18.98297260000254
adopted_control_terminal_only,2,adopted_control_terminal_only_s2,runs/adopted_control_terminal_only/seed_2/summary.json,-1,,success,,0.0,51,0.7962962962962963,0.8222222222222222,18,1.0,1.0,0.0,0.3111068208914448,0.06305214040572814,0.16463456848443525,0.5496282608980444,18.419760400000087
adopted_control_terminal_only,3,adopted_control_terminal_only_s3,runs/adopted_control_terminal_only/seed_3/summary.json,-1,,success,,0.0,54,0.8703703703703703,0.8518518518518519,13,1.0,1.0,0.0,0.2945268064645564,0.059640845476171794,0.15290771608757003,0.5324077082109361,17.247008900005312
adopted_control_terminal_only,4,adopted_control_terminal_only_s4,runs/adopted_control_terminal_only/seed_4/summary.json,-1,,success,,0.0,60,0.8740740740740741,0.8592592592592593,19,1.0,1.0,0.0,0.286513578402705,0.058992928117672955,0.1481421455651277,0.5543285665615998,19.760731399997894
failed_penultimate_plus_terminal_live,0,failed_penultimate_plus_terminal_live_s0,runs/failed_penultimate_plus_terminal_live/seed_0/summary.json,"-2,-1",,success,,0.0,50,0.825925925925926,0.8407407407407408,0,0.0,0.0,1.0,0.30528628947565317,0.05845800020994699,0.13922456555203275,0.4892853350584122,21.046754599999986
failed_penultimate_plus_terminal_live,1,failed_penultimate_plus_terminal_live_s1,runs/failed_penultimate_plus_terminal_live/seed_1/summary.json,"-2,-1",,success,,0.0,56,0.8814814814814815,0.8592592592592593,0,0.0,0.0,1.0,0.2836394620279154,0.05643809337796557,0.1441542335521446,0.513137168510106,20.660726499998418
failed_penultimate_plus_terminal_live,2,failed_penultimate_plus_terminal_live_s2,runs/failed_penultimate_plus_terminal_live/seed_2/summary.json,"-2,-1",,success,,0.0,55,0.825925925925926,0.8481481481481481,0,0.0,0.0,1.0,0.2969028387485867,0.058037326094064375,0.15003011803846464,0.4947764777572178,18.806642700001248
failed_penultimate_plus_terminal_live,3,failed_penultimate_plus_terminal_live_s3,runs/failed_penultimate_plus_terminal_live/seed_3/summary.json,"-2,-1",,success,,0.0,58,0.8851851851851852,0.8851851851851852,0,0.0,0.0,1.0,0.27406517070332753,0.05385930324938435,0.13676706745205472,0.47100195449662774,18.34875430000102
failed_penultimate_plus_terminal_live,4,failed_penultimate_plus_terminal_live_s4,runs/failed_penultimate_plus_terminal_live/seed_4/summary.json,"-2,-1",,success,,0.0,60,0.8666666666666667,0.8666666666666667,0,0.0,0.0,1.0,0.27671029356001736,0.05445298178477972,0.14247421826287965,0.5093642596330552,18.648978099998203
blended_successor_value_alpha_020,0,blended_successor_value_alpha_020_s0,runs/blended_successor_value_alpha_020/seed_0/summary.json,"-2,-1",0.20,success,,0.0,59,0.7777777777777778,0.8296296296296296,4,1.0,1.0,0.0,0.2988707492500021,0.06022396479227256,0.14560693788128737,0.5319722196735559,36.59649449999415
blended_successor_value_alpha_020,1,blended_successor_value_alpha_020_s1,runs/blended_successor_value_alpha_020/seed_1/summary.json,"-2,-1",0.20,success,,0.0,54,0.8703703703703703,0.8296296296296296,20,1.0,1.0,0.0,0.29134514596438876,0.05912546850743771,0.15270935000303018,0.5438192304872996,38.432005200003914
blended_successor_value_alpha_020,2,blended_successor_value_alpha_020_s2,runs/blended_successor_value_alpha_020/seed_2/summary.json,"-2,-1",0.20,success,,0.0,57,0.8111111111111111,0.8222222222222222,13,1.0,1.0,0.0,0.29919963583892173,0.06059003076210531,0.16279212233083745,0.5423891329916498,37.321107399999164
blended_successor_value_alpha_020,3,blended_successor_value_alpha_020_s3,runs/blended_successor_value_alpha_020/seed_3/summary.json,"-2,-1",0.20,success,,0.0,54,0.8777777777777778,0.8592592592592593,9,1.0,1.0,0.0,0.29161114199501476,0.058621740833193346,0.1493751441777395,0.517605889026393,35.69247509998968
blended_successor_value_alpha_020,4,blended_successor_value_alpha_020_s4,runs/blended_successor_value_alpha_020/seed_4/summary.json,"-2,-1",0.20,success,,0.0,57,0.8703703703703703,0.8555555555555555,16,1.0,1.0,0.0,0.2899886664058527,0.05908727558540199,0.14651139270060634,0.5428837965186876,34.05402239999239
blended_successor_value_alpha_025,0,blended_successor_value_alpha_025_s0,runs/blended_successor_value_alpha_025/seed_0/summary.json,"-2,-1",0.25,success,,0.0,58,0.7777777777777778,0.7851851851851852,3,1.0,1.0,0.0,0.30048225830239267,0.06028587915154319,0.1460471730042106,0.5291317809077084,33.59279029999743
blended_successor_value_alpha_025,1,blended_successor_value_alpha_025_s1,runs/blended_successor_value_alpha_025/seed_1/summary.json,"-2,-1",0.25,success,,0.0,54,0.8703703703703703,0.8296296296296296,20,1.0,1.0,0.0,0.29113803589335535,0.05901374484427219,0.15208355957883624,0.5416143365537399,33.309808600002725
