epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.004205275315232746,0.004205275315232746,0.009269658829532049,0.5416672467331713,0.5987759540593928,0.46554618633170464,0.4650207915061977,0.13322976772768813,0.13375516255319508,0.05925925925925926,0.1037037037037037
2,0.0,warmup,0.004792717696374455,0.004792717696374455,0.009896860981800506,0.5118425946067511,0.5982678296872214,0.4414320038862246,0.4409260026343316,0.15683582580099675,0.15734182705288974,0.15555555555555556,0.1037037037037037
3,0.0,warmup,0.005570320242286498,0.005570320242286498,0.010707486054612714,0.5121450501842576,0.6098616804409749,0.43194938667826777,0.4314461316433176,0.17791229376270712,0.1784155487976573,0.25555555555555554,0.1037037037037037
4,0.0,warmup,0.006080718340167303,0.006080718340167303,0.011209033899936886,0.5155742410783726,0.6128283319053298,0.4270543554390079,0.4265476289434379,0.18577397646632193,0.18628070296189192,0.3333333333333333,0.1037037037037037
5,0.0,warmup,0.006154435634129456,0.006154435634129456,0.011243678108766933,0.5123993540346572,0.6013838452809962,0.4231197392083709,0.42260765009250245,0.17826410607262527,0.17877619518849375,0.4111111111111111,0.1037037037037037
6,0.020000000000000004,hybrid,0.0060632259233358065,0.005846518782358244,0.010835357048878102,0.5021637641931467,0.5819428162331115,0.42036133042154755,0.41984210517275394,0.16158148581156395,0.16210071106035756,0.4074074074074074,0.1037037037037037
7,0.04000000000000001,hybrid,0.00575781659184526,0.00535029600998661,0.010188014546466248,0.4880566604419501,0.5598574332208458,0.4170169314653728,0.41649148766799376,0.14284050175547303,0.14336594555285204,0.4185185185185185,0.1037037037037037
8,0.06,hybrid,0.005364159258155497,0.004798269884655905,0.009431489558326542,0.47277093773531503,0.5384670726439258,0.41439326971441326,0.41386059848894546,0.12407380292951253,0.12460647415498033,0.42592592592592593,0.1037037037037037
9,0.08000000000000002,hybrid,0.0049679673997949795,0.004272558720404897,0.008692608492376018,0.4582738875272356,0.5176202896493243,0.4114107929630652,0.410871447722323,0.10620949668625906,0.10674884192700129,0.5074074074074074,0.1037037037037037
10,0.1,hybrid,0.004601160320935672,0.00380144071570082,0.007997196052348521,0.4447159319503421,0.4987697006825941,0.40856018045638653,0.4080141194169649,0.09020952022620754,0.09075558126562916,0.4888888888888889,0.1037037037037037
11,0.12,hybrid,0.004279836372202686,0.003395527748183735,0.007369238533491249,0.4327956162926566,0.48244717351516897,0.40598875953333113,0.40543575615170185,0.07645841398183784,0.07701141736346712,0.5,0.1037037037037037
12,0.13999999999999999,hybrid,0.0039981493373287425,0.003044714311286092,0.006810250186018931,0.42203867287846153,0.46839835261371415,0.4044303210016939,0.4038687311867183,0.06396803161202025,0.06452962142699586,0.5,0.1037037037037037
13,0.16000000000000003,hybrid,0.0037569225662835923,0.0027485839253012013,0.0063021165061399416,0.41236160572462505,0.4557141780259874,0.40153304415777363,0.4009652211670297,0.05418113386821377,0.0547489568589577,0.5185185185185185,0.1037037037037037
14,0.18000000000000002,hybrid,0.0035582205698161382,0.0025019226657702694,0.005868321689143715,0.4042691068922169,0.44516179646063714,0.3988666550389495,0.39829200165199286,0.04629514142168761,0.04686979480864428,0.5185185185185185,0.1037037037037037
15,0.2,hybrid,0.0034044270823109625,0.002304279799017148,0.005500736416469075,0.3968832158449513,0.4359997155394308,0.3963547849129796,0.3957730831077291,0.03964493062645119,0.040226632431701714,0.6,0.1037037037037037
16,0.2,hybrid,0.0031924764370269898,0.002152884607495189,0.005197959147659006,0.39063982117951807,0.42843576217189533,0.3935470179856976,0.3929586329235603,0.03488874418619775,0.035477129248335015,0.5703703703703704,0.1037037037037037
17,0.2,hybrid,0.003030574626315521,0.002037873343428617,0.004963506414434521,0.38401949007886726,0.42067349074366667,0.3900473893715057,0.3894533567221727,0.030626101372160985,0.031220134021493984,0.6407407407407407,0.1037037037037037
18,0.2,hybrid,0.0029027095765250567,0.0019482773704941163,0.004772161030154702,0.378652604912606,0.4161432442981009,0.38887605339491266,0.3882730418121524,0.027267190903188243,0.027870202485948514,0.5962962962962963,0.1037037037037037
19,0.2,hybrid,0.0028132458203263284,0.0018880820802618218,0.004625818700322535,0.3744365286649153,0.40938661561788076,0.3849446260743011,0.384336711239071,0.02444198954357968,0.025049904378809773,0.6407407407407407,0.1037037037037037
20,0.2,hybrid,0.00273867622455457,0.001837151597141064,0.004507623137067529,0.37006631544783986,0.4044398125938098,0.3823890225370357,0.38177387832883775,0.022050790056774072,0.022665934264972043,0.7,0.1037037037037037
21,0.2,hybrid,0.0026793964962997323,0.0017989052226321423,0.004402456368337951,0.365758037969891,0.4003762384165671,0.38022723034646216,0.379604112957314,0.020149008070104946,0.02077212545925311,0.6185185185185185,0.1037037037037037
22,0.2,hybrid,0.0026356321012526813,0.0017690385812456355,0.004332967600035232,0.3619709547526052,0.3964862194268564,0.3773594522265949,0.3767303182727548,0.01912676720026152,0.019755901154101585,0.6555555555555556,0.1037037037037037
23,0.2,hybrid,0.0025953012498295984,0.0017419205456781952,0.004266903520757017,0.3580470494344459,0.3911383876482486,0.3741663001894158,0.37353113317546016,0.016972087458832774,0.017607254472788436,0.6962962962962963,0.1037037037037037
24,0.2,hybrid,0.0025584127972843205,0.0017165709469292988,0.004209209251775107,0.35403422224158576,0.3866910351188842,0.37139106522577886,0.3707489997046255,0.015299969893105336,0.015942035414258704,0.7,0.1037037037037037
25,0.2,hybrid,0.0025269594676331345,0.0016963018793088522,0.00415328794162141,0.3503800424723882,0.3825328774219428,0.3680418644006015,0.3673943855208669,0.014491013021341315,0.015138491901075912,0.7111111111111111,0.1037037037037037
26,0.2,hybrid,0.0024962969319408455,0.0016732100990213203,0.0041154341645976275,0.3467802635625823,0.3775966982828801,0.3653197260083249,0.3646653116924242,0.012276972274555209,0.012931386590455896,0.7222222222222222,0.1037037037037037
27,0.2,hybrid,0.002467724618599282,0.0016539446558589913,0.0040688998137014525,0.34280324003333146,0.37372205040417994,0.362315326110004,0.3616548853854523,0.01140672429417594,0.012067165018727621,0.7703703703703704,0.1037037037037037
28,0.2,hybrid,0.0024424641111341844,0.001634274377874979,0.00404094866629603,0.3388337581015112,0.36956660431793603,0.3596586606174855,0.35899194481209284,0.009907943700450506,0.010574659505843187,0.737037037037037,0.1037037037037037
29,0.2,hybrid,0.0024170321430416596,0.0016163334777377883,0.004003493326519359,0.335254370036981,0.3650884093062074,0.3559951186139861,0.3553236754300211,0.009093290692221312,0.009764733876186316,0.7851851851851852,0.1037037037037037
30,0.2,hybrid,0.0023936198802576763,0.0015998774545535738,0.00396871212852051,0.33196672888485257,0.3617198471314805,0.3541153575895839,0.35343639045589087,0.007604489541896575,0.008283456675589607,0.7555555555555555,0.1037037037037037
31,0.2,hybrid,0.0023720168480234277,0.0015827585642269847,0.003946291418982214,0.3285009849756474,0.35719543213154564,0.35057163848064427,0.34988776554526624,0.006623793650901377,0.007307666586279404,0.7851851851851852,0.1037037037037037
32,0.2,hybrid,0.002351254768445891,0.0015681617910008167,0.00391546488722537,0.3250606898544195,0.3530968754842951,0.34759865698318926,0.34690896586661363,0.005498218501105823,0.006187909617681453,0.7481481481481481,0.1037037037037037
33,0.2,hybrid,0.002331469099912015,0.0015531944545575458,0.003891373226772346,0.3215826181270871,0.34951469758038817,0.34481699916879466,0.34412159707294593,0.004697698411593509,0.005393100507442239,0.7814814814814814,0.1037037037037037
34,0.2,hybrid,0.002315169014815235,0.0015423344506363145,0.0038641728208946035,0.31832924788275724,0.34622065326472806,0.34220335873113816,0.341501905120902,0.004017294533589899,0.004718748143826057,0.7925925925925926,0.1037037037037037
35,0.2,hybrid,0.0022997018287353906,0.0015300700090421719,0.0038481590984660954,0.315004842403341,0.3437276909994148,0.3411062076331346,0.3403943152144377,0.0026214833662802084,0.0033333757849771106,0.7296296296296296,0.1037037037037037
36,0.2,hybrid,0.002284333211183635,0.0015203053046090834,0.003820139532872761,0.3122486547279576,0.33866318503157117,0.3365476375369903,0.33583516525316054,0.0021155474945808717,0.0028280197784106287,0.762962962962963,0.1037037037037037
37,0.2,hybrid,0.002267998233700167,0.0015079789514235481,0.003800096411383095,0.3090536904822801,0.33587950872817524,0.33435734692097235,0.3336380984363069,0.001522161807202882,0.002241410291868362,0.7888888888888889,0.1037037037037037
38,0.2,hybrid,0.0022560649378965117,0.0015003788676078483,0.0037784303514433147,0.3058218437813546,0.3321572007627252,0.33142453371088026,0.3307002893811099,0.0007326670518449374,0.0014569113816153,0.7888888888888889,0.1037037037037037
39,0.2,hybrid,0.0022438264068023357,0.001492259355781629,0.003757835255103533,0.30260415449245875,0.3291735520947659,0.32884787196733795,0.3281182961923269,0.00032568012742795194,0.0010552559024389896,0.774074074074074,0.1037037037037037
40,0.2,hybrid,0.002232849519995983,0.0014856130448526747,0.0037361823757165414,0.2997807928143326,0.32631481458977396,0.32655088612664046,0.3258149032893937,-0.00023607153686650006,0.0004999113003802402,0.7851851851851852,0.1037037037037037
