run_index,config_key,seed,incremental_weight_updates,supervision_policy,micro_steps,theta_update_budget,theta_micro_lr,theta_micro_bias_lr,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,forward_init_stability_metrics_json,run_summary_path
1,inc0_local_only_m2,0,False,local_only,2,matched,0.01,0.01,0.7592592592592593,0.7481481481481481,25,0.3282012103640045,55,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc0_local_only_m2_seed0/summary.json
2,inc0_local_only_m2,1,False,local_only,2,matched,0.01,0.01,0.7777777777777778,0.725925925925926,21,0.33742535951041175,57,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc0_local_only_m2_seed1/summary.json
3,inc0_local_only_m2,2,False,local_only,2,matched,0.01,0.01,0.7888888888888889,0.8037037037037037,24,0.3396977595270386,54,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc0_local_only_m2_seed2/summary.json
4,inc0_local_only_m4,0,False,local_only,4,matched,0.005,0.005,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc0_local_only_m4_seed0/summary.json
5,inc0_local_only_m4,1,False,local_only,4,matched,0.005,0.005,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc0_local_only_m4_seed1/summary.json
6,inc0_local_only_m4,2,False,local_only,4,matched,0.005,0.005,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc0_local_only_m4_seed2/summary.json
7,inc0_mixed_m2,0,False,mixed,2,matched,0.01,0.01,0.7518518518518519,0.7592592592592593,25,0.3273101683569874,55,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc0_mixed_m2_seed0/summary.json
8,inc0_mixed_m2,1,False,mixed,2,matched,0.01,0.01,0.7777777777777778,0.762962962962963,22,0.3328173557128423,58,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc0_mixed_m2_seed1/summary.json
9,inc0_mixed_m2,2,False,mixed,2,matched,0.01,0.01,0.7925925925925926,0.8,24,0.33904918095353104,54,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc0_mixed_m2_seed2/summary.json
10,inc0_mixed_m4,0,False,mixed,4,matched,0.005,0.005,0.7888888888888889,0.8407407407407408,30,0.30042410474897685,55,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc0_mixed_m4_seed0/summary.json
