epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.0042079401928460675,0.0042079401928460675,0.007716146212290989,0.6363717205675553,0.6222849553967484,0.4811939978622602,0.4806591967868013,0.14109095753448825,0.14162575860994714,0.15555555555555556,0.1037037037037037
2,0.0,warmup,0.004819802009969924,0.004819802009969924,0.008375462111683035,0.6168115256429877,0.6288193212579387,0.45258550009920057,0.4520848128228531,0.17623382115873815,0.1767345084350856,0.15185185185185185,0.1037037037037037
3,0.0,warmup,0.005966182608506005,0.005966182608506005,0.009498948659609888,0.6372059040827085,0.6584695383196064,0.4417731778136197,0.4412835017054018,0.21669636050598673,0.2171860366142046,0.18518518518518517,0.1037037037037037
4,0.0,warmup,0.007092779980687025,0.007092779980687025,0.010654718111445981,0.6677866069639474,0.6911409203027241,0.43733611456460303,0.4368493440217122,0.2538048057381211,0.2542915762810119,0.22592592592592592,0.1037037037037037
5,0.0,warmup,0.00813306534454279,0.00813306534454279,0.01174413078379597,0.6998322392661227,0.7230179520432038,0.43462262655621847,0.4341354088173782,0.2883953254869854,0.2888825432258256,0.23333333333333334,0.1037037037037037
6,0.020000000000000004,hybrid,0.009232592742985261,0.008981077707456394,0.01257575177644334,0.7269218393401916,0.7410545071223031,0.4320143558239865,0.4315262938480151,0.30904015129831663,0.30952821327428803,0.26296296296296295,0.1037037037037037
7,0.04000000000000001,hybrid,0.00971794138566291,0.009210538482250726,0.012685072585304633,0.7303094903493793,0.7256205844926769,0.43197635513907534,0.431484122011221,0.2936442293536015,0.29413646248145586,0.2814814814814815,0.1037037037037037
8,0.06,hybrid,0.009259020115850758,0.008550958855841442,0.01180102100015526,0.7005360695163867,0.6821472293686286,0.42947080181236974,0.428975523292031,0.25267642755625885,0.2531717060765976,0.28888888888888886,0.1037037037037037
9,0.08000000000000002,hybrid,0.008199866759264745,0.007373109627043633,0.010334464152763886,0.6531613310259717,0.6326828468897852,0.42863158678013447,0.42813174393049547,0.2040512601096507,0.2045511029592897,0.2851851851851852,0.1037037037037037
10,0.1,hybrid,0.007046884871312597,0.006162657423267756,0.00884227448044842,0.6061031924462675,0.5852783566062383,0.424097111455373,0.4235973679614792,0.1611812451508653,0.1616809886447591,0.32222222222222224,0.1037037037037037
11,0.12,hybrid,0.006051666701228364,0.00514238958498926,0.007577309301992544,0.5658786962530107,0.5498820059791774,0.4226384068025991,0.4221346277963542,0.12724359917657824,0.12774737818282317,0.3037037037037037,0.1037037037037037
12,0.13999999999999999,hybrid,0.005255244894751943,0.004333833089991668,0.006581512891144808,0.5341320796714115,0.5219506870562328,0.41921679982424875,0.41871101811233935,0.10273388723198407,0.10323966894389347,0.36666666666666664,0.1037037037037037
13,0.16000000000000003,hybrid,0.004636589006438005,0.003705067832551765,0.005822007336788992,0.5085687739739763,0.4997575765295955,0.41769291552599097,0.4171829501692763,0.08206466100360454,0.0825746263603192,0.3111111111111111,0.1037037037037037
14,0.18000000000000002,hybrid,0.004166591155989351,0.003222687472234834,0.005243909354191764,0.4879002228132229,0.48238978723347004,0.4155614700445609,0.41504776712752134,0.06682831718890914,0.0673420201059487,0.3962962962962963,0.1037037037037037
