stabilizer_mode,candidate_key,psi_family,time_encoding_variant,terminal_direction_intervention,strong_mix_weight_toward_local_field,angle_clip_degrees,seed,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,selected_epoch,total_wall_time_seconds,run_status,run_summary_path
baseline_closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,closed_loop_live_plan,,,0,0.7888888888888889,0.8407407407407408,30,True,False,0.30119296966554254,55,20.014144799672067,success,runs/baseline_closed_loop_live_plan/baseline_plain_raw/seed_0/summary.json
terminal_live_raw_closed_loop,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,live_raw_closed_loop,,,0,0.7444444444444445,0.7777777777777778,25,True,False,0.3190511702211747,59,20.50706879957579,success,runs/terminal_live_raw_closed_loop/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_local_field_direction_hard_replace_keep_live_norm,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,,,0,0.8185185185185185,0.8740740740740741,0,False,True,0.2942079488800245,59,20.484829099907074,success,runs/terminal_local_field_direction_hard_replace_keep_live_norm/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_local_field_direction_strong_mix_keep_live_norm_w075,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_strong_mix_keep_live_norm,0.75,,0,0.7851851851851852,0.8185185185185185,0,False,True,0.3085475000049612,53,20.55047729879152,success,runs/terminal_local_field_direction_strong_mix_keep_live_norm_w075/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_local_field_direction_strong_mix_keep_live_norm_w090,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_strong_mix_keep_live_norm,0.9,,0,0.8148148148148148,0.8629629629629629,0,False,True,0.29409223129293144,59,20.487008000025526,success,runs/terminal_local_field_direction_strong_mix_keep_live_norm_w090/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg30,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,30.0,0,0.774074074074074,0.8037037037037037,11,True,False,0.3137282688131667,53,21.872405800269917,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg30/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg20,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,20.0,0,0.7851851851851852,0.8111111111111111,0,False,True,0.30972805408904047,53,21.785266800550744,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg20/residualized_local_field_poly_rt2/seed_0/summary.json
baseline_closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,closed_loop_live_plan,,,1,0.825925925925926,0.7814814814814814,27,True,False,0.30386400159532506,57,20.349322600639425,success,runs/baseline_closed_loop_live_plan/baseline_plain_raw/seed_1/summary.json
terminal_live_raw_closed_loop,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,live_raw_closed_loop,,,1,0.7962962962962963,0.8,25,True,False,0.29314233153668645,58,20.74257310043322,success,runs/terminal_live_raw_closed_loop/residualized_local_field_poly_rt2/seed_1/summary.json
terminal_local_field_direction_hard_replace_keep_live_norm,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,,,1,0.8851851851851852,0.837037037037037,12,True,False,0.2919889683617106,56,20.687212600605562,success,runs/terminal_local_field_direction_hard_replace_keep_live_norm/residualized_local_field_poly_rt2/seed_1/summary.json
