epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.0042458933891905346,0.0042458933891905346,0.007723609377818803,0.5736589196980867,0.6136260536119664,0.49459111521319815,0.4939874585427023,0.11903493839876828,0.11963859506926411,0.0962962962962963,0.1037037037037037
2,0.0,warmup,0.004068690866313935,0.004068690866313935,0.0072392334288962756,0.5250932103115054,0.584498755100226,0.46340402560018645,0.46283694274883413,0.12109472950003952,0.12166181235139184,0.12962962962962962,0.1037037037037037
3,0.0,warmup,0.004512914638399194,0.004512914638399194,0.007389036174948177,0.5076878259326543,0.5950698944030326,0.4476341169714908,0.4470819909653662,0.1474357774315418,0.14798790343766638,0.17777777777777778,0.1037037037037037
4,0.0,warmup,0.005446285935352727,0.005446285935352727,0.008017991026337948,0.5139857336571619,0.6257136946699046,0.43872568976528137,0.43817826920989056,0.1869880049046232,0.187535425460014,0.1962962962962963,0.1037037037037037
5,0.0,warmup,0.006500967965641302,0.006500967965641302,0.008803278259404882,0.5282427493102896,0.6492117142545788,0.43216554974751037,0.43161806188798224,0.21704616450706843,0.21759365236659656,0.26666666666666666,0.1037037037037037
6,0.020000000000000004,hybrid,0.007316572418291231,0.007131638357295081,0.009246703049807467,0.5348028295589653,0.6508136122106953,0.42661937951116896,0.4260690256669213,0.22419423269952637,0.22474458654377405,0.3148148148148148,0.1037037037037037
7,0.04000000000000001,hybrid,0.007500048401021231,0.0071335868543650855,0.009161538666403613,0.5287857288368965,0.6367194213909582,0.4216876648781134,0.4211328561999234,0.21503175651284478,0.21558656519103475,0.37037037037037035,0.1037037037037037
8,0.06,hybrid,0.007229322137341528,0.006706795351662405,0.0087087797613187,0.514567182172832,0.6091261741144712,0.4174081865230857,0.4168473552192669,0.19171798759138553,0.19227881889520432,0.4111111111111111,0.1037037037037037
9,0.08000000000000002,hybrid,0.006698244430231202,0.006054793075129733,0.00804314193876837,0.4961661359731967,0.5788411616795515,0.4134637671291277,0.41289679243254057,0.16537739455042377,0.1659443692470109,0.45555555555555555,0.1037037037037037
10,0.1,hybrid,0.006063991112165032,0.005332676776055438,0.007313143361095927,0.4768634170314584,0.5506519483183103,0.40965630702932654,0.40908340473728017,0.1409956412889838,0.14156854358103016,0.5148148148148148,0.1037037037037037
