stabilizer_mode,candidate_key,psi_family,time_encoding_variant,terminal_direction_intervention,strong_mix_weight_toward_local_field,angle_clip_degrees,seed,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,selected_epoch,total_wall_time_seconds,run_status,run_summary_path
baseline_closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,closed_loop_live_plan,,,0,0.7888888888888889,0.8407407407407408,30,True,False,0.30119296966554254,55,17.4621091997833,success,runs/baseline_closed_loop_live_plan/baseline_plain_raw/seed_0/summary.json
terminal_live_raw_closed_loop,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,live_raw_closed_loop,,,0,0.7444444444444445,0.7777777777777778,25,True,False,0.3190511702211747,59,17.81025689985836,success,runs/terminal_live_raw_closed_loop/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_local_field_direction_hard_replace_keep_live_norm,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,,,0,0.8185185185185185,0.8740740740740741,0,False,True,0.2942079488800245,59,17.665274799976032,success,runs/terminal_local_field_direction_hard_replace_keep_live_norm/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg30,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,30.0,0,0.774074074074074,0.8037037037037037,11,True,False,0.3137282688131667,53,18.82441769889556,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg30/residualized_local_field_poly_rt2/seed_0/summary.json
baseline_closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,closed_loop_live_plan,,,1,0.825925925925926,0.7814814814814814,27,True,False,0.30386400159532506,57,17.77612440061057,success,runs/baseline_closed_loop_live_plan/baseline_plain_raw/seed_1/summary.json
terminal_live_raw_closed_loop,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,live_raw_closed_loop,,,1,0.7962962962962963,0.8,25,True,False,0.29314233153668645,58,17.810415800951887,success,runs/terminal_live_raw_closed_loop/residualized_local_field_poly_rt2/seed_1/summary.json
terminal_local_field_direction_hard_replace_keep_live_norm,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,,,1,0.8851851851851852,0.837037037037037,12,True,False,0.2919889683617106,56,17.73054570017848,success,runs/terminal_local_field_direction_hard_replace_keep_live_norm/residualized_local_field_poly_rt2/seed_1/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg30,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,30.0,1,0.8629629629629629,0.8333333333333334,23,True,False,0.2883009074387914,56,18.863672400533687,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg30/residualized_local_field_poly_rt2/seed_1/summary.json
baseline_closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,closed_loop_live_plan,,,2,0.8592592592592593,0.837037037037037,26,True,False,0.31610738997193893,51,17.888990799954627,success,runs/baseline_closed_loop_live_plan/baseline_plain_raw/seed_2/summary.json
terminal_live_raw_closed_loop,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,live_raw_closed_loop,,,2,0.737037037037037,0.762962962962963,29,True,False,0.3052699346462371,59,18.07698150043143,success,runs/terminal_live_raw_closed_loop/residualized_local_field_poly_rt2/seed_2/summary.json
