epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.00416051715800137,0.00416051715800137,0.00924891938165683,0.5427997106979141,0.5991039606553561,0.4660263233493148,0.4655011288247276,0.13307763730604127,0.1336028318306285,0.05185185185185185,0.1037037037037037
2,0.0,warmup,0.0047019600588335975,0.0047019600588335975,0.009828957031438055,0.5121084120273116,0.5982170842056049,0.4418781055145774,0.44137304231751967,0.15633897869102753,0.15684404188808526,0.15185185185185185,0.1037037037037037
3,0.0,warmup,0.005445880939504631,0.005445880939504631,0.010612687036997779,0.5113611958310292,0.609859608747035,0.4324351439612532,0.4319335229769778,0.17742446478578183,0.17792608577005725,0.24814814814814815,0.1037037037037037
4,0.0,warmup,0.005955502774513635,0.005955502774513635,0.011120137267543103,0.5143327259821249,0.6133746763162305,0.42764302576600566,0.427138555876395,0.1857316505502249,0.18623612043983556,0.3333333333333333,0.1037037037037037
5,0.0,warmup,0.006052018180014874,0.006052018180014874,0.011178359706814415,0.5113754375516557,0.602568876499809,0.4238125173550982,0.42330329661084143,0.17875635914471077,0.17926557988896752,0.4111111111111111,0.1037037037037037
6,0.020000000000000004,hybrid,0.0059918128370849075,0.005775787209264179,0.010801281391036394,0.5016629476107226,0.5836635823247209,0.4211415764886735,0.42062580560206797,0.16252200583604742,0.16303777672265296,0.4,0.1037037037037037
7,0.04000000000000001,hybrid,0.0057149767419632045,0.0053078773148399535,0.010177485678081275,0.4881007755538955,0.5618960995379123,0.41793677369777676,0.4174152275427059,0.14395932584013554,0.14448087199520643,0.4111111111111111,0.1037037037037037
8,0.06,hybrid,0.005344858936628569,0.004778356039780547,0.009441714947467015,0.4733216700007164,0.540736544477258,0.4154048039610624,0.41487649038237445,0.12533174051619567,0.1258600540948836,0.4222222222222222,0.1037037037037037
9,0.08000000000000002,hybrid,0.004964755925101588,0.004267744969934399,0.008712636939589851,0.45923167289772654,0.5200010959267044,0.4125109846963368,0.4119764156070462,0.10749011123036761,0.10802468031965823,0.5,0.1037037037037037
10,0.1,hybrid,0.004609062238784147,0.0038065861253008698,0.008024761134832763,0.4459613158602124,0.5011488512017123,0.4097278531151166,0.4091869504067621,0.09142099808659565,0.09196190079495015,0.4888888888888889,0.1037037037037037
