epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.004226280489062978,0.004226280489062978,0.0045402497085727045,0.581005728816286,0.6064460416678078,0.47656674590233866,0.4760329320928572,0.12987929576546914,0.13041310957495061,0.14444444444444443,0.1037037037037037
2,0.0,warmup,0.004745531090139037,0.004745531090139037,0.004933179327137475,0.5694637321017201,0.602428610782014,0.45030341432248355,0.44980182039383687,0.1521251964595305,0.15262679038817717,0.15925925925925927,0.1037037037037037
3,0.0,warmup,0.0060772332878274845,0.0060772332878274845,0.006181596516967395,0.6012052528290088,0.6369465563480916,0.4403291738890158,0.4398390696752543,0.19661738245907578,0.19710748667283728,0.16296296296296298,0.1037037037037037
4,0.0,warmup,0.007543088061950168,0.007543088061950168,0.007641741626510631,0.6480709838432728,0.6766059634754867,0.43631882984964115,0.4358321690089456,0.24028713362584558,0.24077379446654112,0.26666666666666666,0.1037037037037037
5,0.0,warmup,0.008372754258628864,0.008372754258628864,0.00853109002231085,0.6690659725059808,0.6927720250448426,0.43315646539519537,0.4326712302589635,0.2596155596496472,0.2601007947858791,0.2851851851851852,0.1037037037037037
6,0.020000000000000004,hybrid,0.008555031893982521,0.008382055833017942,0.008648803048229028,0.6589906682132662,0.6873687645574028,0.4317803129042376,0.4312932916907945,0.25558845165316524,0.2560754728666083,0.2740740740740741,0.1037037037037037
7,0.04000000000000001,hybrid,0.00810344148520679,0.007776517695281952,0.008173094748120942,0.6276582326770432,0.6595550762835973,0.43094332670594276,0.4304547527318565,0.22861174957765457,0.22910032355174081,0.3037037037037037,0.1037037037037037
8,0.06,hybrid,0.007229366315328783,0.006790408043003843,0.0073159712054156655,0.5887468395213995,0.6217470870545752,0.4284346592439244,0.42794459833861015,0.19331242781065078,0.193802488715965,0.25555555555555554,0.1037037037037037
9,0.08000000000000002,hybrid,0.006251068096755885,0.005741602299450964,0.006368322466311503,0.5524726459660136,0.5830977796279366,0.4273895679696647,0.4268977188723731,0.15570821165827192,0.15620006075556353,0.22592592592592592,0.1037037037037037
10,0.1,hybrid,0.005315477238257267,0.004769047481350108,0.005464297569071578,0.5225822256319528,0.5552371621590073,0.42565717219714766,0.42516121515330324,0.12957998996185965,0.13007594700570407,0.37777777777777777,0.1037037037037037
11,0.12,hybrid,0.00457123848446576,0.004002625600482907,0.004738440699857104,0.49903619374363767,0.5288687063294552,0.42285362485164635,0.4223568847184602,0.1060150814778088,0.10651182161099493,0.4925925925925926,0.1037037037037037
12,0.13999999999999999,hybrid,0.003999729762935155,0.0034167195343783353,0.004164358775405854,0.48159462910103723,0.5103737684391606,0.42197821725562684,0.4214769545410088,0.08839555118353376,0.0888968138981518,0.42592592592592593,0.1037037037037037
13,0.16000000000000003,hybrid,0.0035702040133177466,0.002975965014764371,0.003713993740958601,0.4680951741440918,0.4951211828187665,0.4202416363544679,0.419737369635648,0.07487954646429862,0.07538381318311849,0.4888888888888889,0.1037037037037037
14,0.18000000000000002,hybrid,0.003263145124239592,0.002656664688728464,0.0033693357528395973,0.45711593122302563,0.4851848290533451,0.4187358274216621,0.41822763271775154,0.06644900163168299,0.06695719633559355,0.40370370370370373,0.1037037037037037
15,0.2,hybrid,0.00304509542120408,0.002425168380403721,0.003099635204001799,0.45007273255514607,0.47646390342267364,0.416765555195347,0.4162534631922621,0.059698348227326614,0.060210440230411555,0.48148148148148145,0.1037037037037037
16,0.2,hybrid,0.002841189088753635,0.0022618934222235583,0.002896478332650385,0.4427047654593079,0.469834940542385,0.4151047457021774,0.4145887565684205,0.05473019484020758,0.055246183973964524,0.3888888888888889,0.1037037037037037
17,0.2,hybrid,0.002688156493595196,0.002141018109773046,0.0027356919191107516,0.4362396261482355,0.463529001477356,0.4123413462908441,0.41182231819426024,0.05118765518651186,0.051706683283095745,0.5592592592592592,0.1037037037037037
18,0.2,hybrid,0.002574863573973004,0.0020527695162992207,0.0026104702883689166,0.4317450159798987,0.46044790602088176,0.41072923557567687,0.410204942316745,0.04971867044520489,0.05024296370413678,0.5740740740740741,0.1037037037037037
19,0.2,hybrid,0.002499108427919656,0.0019945620132195167,0.0025227320735006988,0.4267783015015588,0.4556137154889692,0.40868289695817034,0.40815498184479243,0.046930818530798835,0.04745873364417674,0.562962962962963,0.1037037037037037
20,0.2,hybrid,0.0024301647781347835,0.0019425472527749138,0.0024380876267993483,0.42289804992940205,0.451921015519769,0.40687535497357225,0.4063418167431864,0.04504566054619674,0.04557919877658256,0.5481481481481482,0.1037037037037037
21,0.2,hybrid,0.0023754759295806596,0.0019016038889202373,0.002369360203302111,0.41852984933917625,0.44882858903988926,0.40450747818110777,0.40397021683722995,0.04432111085878149,0.04485837220265931,0.5666666666666667,0.1037037037037037
22,0.2,hybrid,0.002335068992408297,0.0018714621233653975,0.002318034345214498,0.41513523547087594,0.4452188783614215,0.40284309137699525,0.4023005069775188,0.042375786984426234,0.0429183713839027,0.5370370370370371,0.1037037037037037
23,0.2,hybrid,0.0022992341490748235,0.001845065134833662,0.0022708450712058082,0.41100526245028635,0.4429130666733505,0.40105375415304884,0.40050520076612595,0.04185931252030167,0.04240786590722456,0.6259259259259259,0.1037037037037037
24,0.2,hybrid,0.002267914686597136,0.001822361449781815,0.0022277661840766055,0.407751393210367,0.4391988184962802,0.39819207325807066,0.3976392865919895,0.04100674523820952,0.04155953190429068,0.6481481481481481,0.1037037037037037
25,0.2,hybrid,0.0022403819289179157,0.0018025586433496742,0.00218911642784121,0.40357684169626235,0.4353123494771131,0.3951518780279932,0.39459529943006716,0.04016047144911994,0.040717050047045955,0.6666666666666666,0.1037037037037037
26,0.2,hybrid,0.002220342437767589,0.0017875592914405394,0.002163915731635246,0.4003569565340494,0.4355521289479094,0.3957555701592061,0.3951898964165854,0.03979655878870331,0.04036223253132398,0.5740740740740741,0.1037037037037037
27,0.2,hybrid,0.002197020862911045,0.0017710687390530278,0.0021297606192900876,0.3966129706291931,0.4299557023642911,0.3913259717362564,0.3907573575886104,0.03862973062803471,0.03919834477568068,0.6851851851851852,0.1037037037037037
28,0.2,hybrid,0.002176220213999274,0.0017551610592552753,0.0021052957737199953,0.3931167560717565,0.4281602099129846,0.3897940263731752,0.3892200248133964,0.03836618353980942,0.03894018509958819,0.6148148148148148,0.1037037037037037
29,0.2,hybrid,0.002161088320050016,0.001744253249897176,0.0020841753507642004,0.39000032229778403,0.42393995446566146,0.386215226907522,0.38563700139779694,0.03772472755813944,0.03830295306786452,0.7333333333333333,0.1037037037037037
