epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.004097993500694933,0.004097993500694933,0.0041732857385563,0.6021614299447705,0.5995886793485067,0.4698985826045143,0.46937674571679683,0.1296900967439924,0.13021193363170985,0.0962962962962963,0.1037037037037037
2,0.0,warmup,0.004536396166107228,0.004536396166107228,0.0045712390155891605,0.5793596636134419,0.5858910820886342,0.4443172183586875,0.44382414274376286,0.14157386372994668,0.1420669393448713,0.18888888888888888,0.1037037037037037
3,0.0,warmup,0.005019429728412037,0.005019429728412037,0.005085412055660182,0.5858059714088413,0.5886828822507575,0.4364778907936053,0.43599560373831237,0.15220499145715216,0.15268727851244512,0.26666666666666666,0.1037037037037037
4,0.0,warmup,0.005493521471252006,0.005493521471252006,0.005641072305946944,0.5959006862870663,0.5985803792663811,0.4322016089824246,0.43172438162739574,0.16637877028395648,0.16685599763898534,0.2851851851851852,0.1037037037037037
5,0.0,warmup,0.005980667172054835,0.005980667172054835,0.00621288007691945,0.5981491341739238,0.6069955384060113,0.4290752560056024,0.4286005899484221,0.17792028240040886,0.1783949484575892,0.3333333333333333,0.1037037037037037
6,0.020000000000000004,hybrid,0.006364806728355847,0.006234217142977923,0.006529479268896267,0.5907406124423925,0.6064149623971385,0.4271858571534969,0.42671152983918836,0.17922910524364166,0.17970343255795018,0.34444444444444444,0.1037037037037037
7,0.04000000000000001,hybrid,0.006338206762858371,0.006081800037566463,0.006410168132297718,0.5738745655441745,0.5919628672688555,0.4256328127643556,0.4251573234518326,0.1663300545044999,0.1668055438170229,0.3,0.1037037037037037
8,0.06,hybrid,0.005982163363006802,0.005624399647084612,0.005962728598703175,0.552462178550595,0.5714520454705247,0.4240040817828881,0.4235275452545538,0.14744796368763663,0.14792450021597092,0.3592592592592593,0.1037037037037037
9,0.08000000000000002,hybrid,0.005441565907158287,0.005014216058683662,0.005341873105932782,0.5308617722306808,0.5515992397940535,0.4219851005489422,0.42150724580865484,0.12961413924511123,0.1300919939853986,0.4,0.1037037037037037
10,0.1,hybrid,0.00487646581831504,0.004404871938837671,0.0047159387947736855,0.5108162571838919,0.5309187071262779,0.4202606263997328,0.4197811069806899,0.1106580807265451,0.11113760014558799,0.3814814814814815,0.1037037037037037
11,0.12,hybrid,0.004346056629481201,0.0038492019875825886,0.004140455349155101,0.4939726830529791,0.5133340943250742,0.4187707661683168,0.41828932435468347,0.09456332815675733,0.09504476997039069,0.35555555555555557,0.1037037037037037
12,0.13999999999999999,hybrid,0.003891751944126565,0.0033803474840417534,0.003652889000605796,0.48025928668692985,0.49997881573780545,0.4185817613640924,0.41809572856544885,0.08139705437371303,0.0818830871723566,0.337037037037037,0.1037037037037037
13,0.16000000000000003,hybrid,0.00352156438400763,0.003000440417587875,0.0032570247901234687,0.46829052385380265,0.48825730736854456,0.4167085169962035,0.41622078634100684,0.07154879037234108,0.07203652102753771,0.362962962962963,0.1037037037037037
14,0.18000000000000002,hybrid,0.0032243882803097332,0.0026951213225245244,0.0029403719876956065,0.4588085989134686,0.4782051567407693,0.41470722545785943,0.4142174951322195,0.06349793128290987,0.0639876616085498,0.4,0.1037037037037037
15,0.2,hybrid,0.0029945555993635756,0.0024574773041538688,0.0026853914760485336,0.45060971523287163,0.4702071124509163,0.4132341041641884,0.41274134545838853,0.05697300828672791,0.057465766992527756,0.43333333333333335,0.1037037037037037
16,0.2,hybrid,0.002771172028653799,0.0022725951373747575,0.0024928844563952054,0.443535890341164,0.46372920194080103,0.4123625507462548,0.4118657865029266,0.05136665119454625,0.05186341543787443,0.40370370370370373,0.1037037037037037
17,0.2,hybrid,0.002593278108952219,0.0021252735849120333,0.0023400226202009286,0.4361403053380547,0.45533005178969443,0.4086286586824926,0.4081309033842702,0.04670139310720184,0.04719914840542422,0.4703703703703704,0.1037037037037037
18,0.2,hybrid,0.0024522430920875973,0.0020083524768911847,0.002219453075982062,0.42992219363283785,0.4515753304395143,0.4083991845818655,0.40789654488787314,0.043176145857648784,0.043678785551641175,0.44074074074074077,0.1037037037037037
