case_name,seed,run_id,run_summary_path,terminal_local_field_direction_intervention,terminal_local_field_angle_clip_degrees,terminal_local_field_rowspace_angle_clip_degrees,terminal_local_field_orthogonal_angle_clip_degrees,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,test_report_output_mse,val_supervised_transport_output_mse,test_supervised_transport_output_mse,val_delta_h_rms_total,val_delta_h_rms_rowspace,val_delta_h_rms_orthogonal,val_delta_h_rowspace_fraction,test_delta_h_rms_total,test_delta_h_rms_rowspace,test_delta_h_rms_orthogonal,test_delta_h_rowspace_fraction,val_full_space_angle_raw_vs_lf_deg,val_full_space_angle_stabilized_vs_lf_deg,val_full_space_angle_improvement_deg,val_full_space_correction_angle_deg,val_rowspace_angle_raw_vs_lf_deg,val_rowspace_angle_stabilized_vs_lf_deg,val_rowspace_angle_improvement_deg,val_rowspace_correction_angle_deg,val_orthogonal_angle_raw_vs_lf_deg,val_orthogonal_angle_stabilized_vs_lf_deg,val_orthogonal_angle_improvement_deg,val_orthogonal_correction_angle_deg,val_subspace_correction_mismatch_deg,val_full_cone_clip_activation_rate,val_rowspace_clip_activation_rate,val_orthogonal_clip_activation_rate,val_full_space_angle_above_30deg_rate_after_stabilization,val_raw_action_norm,val_local_field_action_norm,val_stabilized_action_norm,val_raw_rowspace_norm,val_raw_orthogonal_norm,val_stabilized_rowspace_norm,val_stabilized_orthogonal_norm,val_row_orth_norm_ratio_raw,val_row_orth_norm_ratio_stabilized,val_row_orth_norm_ratio_abs_delta,runtime_proxy_seconds
adopted_control,0,control_s0,tf2_runs/tf2/control_s0/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,30.0,53,0.774074074074074,0.8037037037037037,11,1.0,0.0,0.3137282688131667,0.06320277364531794,0.06274214890460197,0.05516971777538815,0.05475014631375841,0.2743618919770443,0.14641771874107942,0.23202650583043638,0.5336663837896631,0.2720170006216549,0.145162582375685,0.23004580697162014,0.5336526101086962,73.39339966988057,29.999999999999993,43.39339966988057,43.39339966988057,56.76132089956736,14.615691860697526,42.145629038869835,42.145629038869835,0.0,0.0,0.0,2.2941685712447272e-07,42.14562880945298,1.0,1.0,1.0,0.0,0.32818474174281415,0.0017669421580801023,0.32818474174281415,0.17452297208924197,0.2772307796597315,0.2940379049262773,0.14562360891351242,0.6288533611813772,2.0202292909179445,1.3913759297365673,15.209766400000035
adopted_control,1,control_s1,tf2_runs/tf2/control_s1/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,30.0,56,0.8629629629629629,0.8333333333333334,23,1.0,0.0,0.2883009074387914,0.05881460861610098,0.059407377548759153,0.04967542185167584,0.050221859389637594,0.28158828725490337,0.15597799093227577,0.2344415276009796,0.5539221551181891,0.2801929070279422,0.15594936227247427,0.23278286353504987,0.5565785512797519,72.23390643178942,29.999999999999993,42.23390643178943,42.23390643178942,51.96999058002705,12.767644173155782,39.202346406871264,39.20234640687126,0.0,0.0,0.0,2.523189895242208e-07,39.202346154552274,1.0,1.0,1.0,0.0,0.3437847228725828,0.001709679153461834,0.3437847228725828,0.17197772524540852,0.29532703650784037,0.305697880553555,0.1570565075232796,0.5849986607070446,1.9537180093686364,1.3687193486615918,15.982446199999913
adopted_control,2,control_s2,tf2_runs/tf2/control_s2/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,30.0,51,0.7962962962962963,0.8222222222222222,18,1.0,0.0,0.3111068208914448,0.06305214040572814,0.06270885437346925,0.05318903535162648,0.05275469383534945,0.29953803360736364,0.16463456848443525,0.25023687265730826,0.5496282608980444,0.301151204046549,0.1658863197417711,0.2513439408882121,0.550840632588439,70.45790502867125,29.99999999999999,40.45790502867125,40.45790502867125,49.83126416404843,13.038451957429562,36.79281220661887,36.79281220661887,0.0,0.0,0.0,3.0368024346568867e-07,36.79281190293863,1.0,1.0,1.0,0.0,0.3432691693058058,0.0017407135221797498,0.34326916930580587,0.17877420682029216,0.29113129528758946,0.30559039353883893,0.156174858089037,0.6173915430742857,1.9591487610138234,1.341757217939538,16.236335199999985
adopted_control,3,control_s3,tf2_runs/tf2/control_s3/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,30.0,54,0.8703703703703703,0.8518518518518519,13,1.0,0.0,0.2945268064645564,0.059640845476171794,0.05924171795683644,0.05060241450935214,0.050286298069708905,0.2872004175172255,0.15290771608757003,0.24311172366414524,0.5324077082109361,0.28716323594995474,0.1506308278838342,0.2444853324276941,0.5245477450674965,72.50966789199276,29.99999999999999,42.50966789199276,42.509667891992756,49.75196823533177,11.851075062035074,37.9008931732967,37.900893173296694,0.0,0.0,0.0,2.5848318146044544e-07,37.90089291481352,1.0,1.0,1.0,0.0,0.337467000000144,0.0017553174587503773,0.337467000000144,0.15890051501122815,0.2965393309045693,0.2989023154908106,0.15656521851113672,0.5369147858152802,1.910211846419509,1.373297060604229,15.152408799999876
adopted_control,4,control_s4,tf2_runs/tf2/control_s4/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,30.0,60,0.8740740740740741,0.8592592592592593,19,1.0,0.0,0.286513578402705,0.058992928117672955,0.05840439044333632,0.05010655905977924,0.04959627805351545,0.26724609645147235,0.1481421455651277,0.22242837223679482,0.5543285665615998,0.2664565202048789,0.14791672088129026,0.22162969305447205,0.5551251692679797,70.77614621089154,29.99999999999999,40.77614621089155,40.77614621089153,50.53105790433087,13.44996925850628,37.0810886458246,37.0810886458246,0.0,0.0,0.0,2.8215487900530495e-07,37.08108836366972,1.0,1.0,1.0,0.0,0.3068828138587036,0.0017836676641332047,0.3068828138587036,0.1588352232646795,0.26082954686602294,0.27351124104073476,0.13904957423654382,0.6178385396366994,1.9712559994511702,1.353417459814471,15.160406899999998
unified_cone_interior_margin_20,0,interior20_s0,tf2_runs/tf2/interior20_s0/summary.json,local_field_direction_angle_clip_keep_live_norm,20.0,20.0,20.0,53,0.7851851851851852,0.8111111111111111,0,0.0,1.0,0.30972805408904047,0.06154887171050454,0.06103321836558566,0.05411135363617011,0.053641523193252515,0.27908812065052674,0.14679048255601132,0.23736624300691184,0.5259646387451292,0.2766097617010821,0.14547269645081967,0.23526719885198,0.5259130970512332,74.64988779399717,20.0,54.64988779399717,54.64988779399717,59.065526487604004,9.418198836554941,49.64732765104905,49.64732765104905,0.0,0.0,0.0,2.5811375955350565e-07,49.6473273929353,1.0,1.0,1.0,0.0,0.3338021546582137,0.001758757541827638,0.3338021546582137,0.17577564295022646,0.28302896346110273,0.31810807728384494,0.10106085578114983,0.6201536945432451,3.14819342420655,2.5280397296633046,15.146012200000087
unified_cone_interior_margin_20,1,interior20_s1,tf2_runs/tf2/interior20_s1/summary.json,local_field_direction_angle_clip_keep_live_norm,20.0,20.0,20.0,54,0.8703703703703703,0.8222222222222222,20,1.0,0.0,0.2924471499191401,0.05946041919293712,0.06020427926954293,0.050646310446607876,0.051340049983794864,0.27910035323084936,0.1516466352095535,0.23430814156406404,0.5433408931737309,0.27764705542795937,0.15144535250785057,0.23270623668391271,0.5454599627372813,72.86119399117368,20.0,52.86119399117368,52.86119399117368,52.697425986762866,8.02538657126199,44.67203941550088,44.67203941550087,0.0,0.0,0.0,2.5116925191773333e-07,44.672039164331615,1.0,1.0,1.0,0.0,0.3443080741759474,0.0017125492501099994,0.34430807417594744,0.16896470217813525,0.2976715721577139,0.3269204186335144,0.1079037291490088,0.5705455098169453,3.0401804798331185,2.469634970016173,15.600740399999722
unified_cone_interior_margin_20,2,interior20_s2,tf2_runs/tf2/interior20_s2/summary.json,local_field_direction_angle_clip_keep_live_norm,20.0,20.0,20.0,56,0.8074074074074075,0.8333333333333334,12,1.0,0.0,0.30092158563452065,0.06067840954152005,0.060198734273652625,0.05107731436454481,0.05054333785182276,0.3008029158582345,0.16215447475666084,0.25335414049351457,0.5390721505940543,0.30223869208341625,0.16324418627227658,0.25436108711946553,0.540116770447187,71.39275023033385,19.999999999999993,51.39275023033386,51.39275023033386,51.49245979180863,8.381545592801935,43.1109141990067,43.11091419900669,0.0,0.0,0.0,2.6226786953606087e-07,43.11091393673883,1.0,1.0,1.0,0.0,0.34310800981744993,0.0017802085054573896,0.34310800981744993,0.17669353011273825,0.2923016785985976,0.32608400209477917,0.10662257359983826,0.6077967438700744,3.0620312671754553,2.454234523305381,15.884903099999974
unified_cone_interior_margin_20,3,interior20_s3,tf2_runs/tf2/interior20_s3/summary.json,local_field_direction_angle_clip_keep_live_norm,20.0,20.0,20.0,58,0.8703703703703703,0.8777777777777778,8,1.0,0.0,0.2826596052347734,0.0572225912707141,0.056702659534127814,0.04830908070866551,0.047864824084268544,0.2858159938109439,0.14724703077483067,0.2449675371271336,0.5151812143592944,0.28505256752474833,0.1444426149049907,0.245746408421079,0.5067227289312177,72.74446429413014,19.999999999999996,52.74446429413014,52.74446429413013,49.04456287475398,7.240253282072288,41.8043095926817,41.8043095926817,0.0,0.0,0.0,2.6242792683132953e-07,41.804309330253766,1.0,1.0,1.0,0.0,0.3361124393888937,0.0017757437814118003,0.3361124393888937,0.15420269978560538,0.2975845935266192,0.318498154036375,0.10732950021239765,0.5193407889334617,2.969010314265017,2.449669525331555,15.249579499999982
unified_cone_interior_margin_20,4,interior20_s4,tf2_runs/tf2/interior20_s4/summary.json,local_field_direction_angle_clip_keep_live_norm,20.0,20.0,20.0,60,0.8740740740740741,0.8629629629629629,16,1.0,0.0,0.28474051166991216,0.058175448416573385,0.0575659352301908,0.04968599805307722,0.049155890528789256,0.2685202073010747,0.14609003018525196,0.22530158634480194,0.5440560010496732,0.2681532078138653,0.14621633562253603,0.22478195225147396,0.5452716259282268,71.76074322775314,19.999999999999996,51.76074322775314,51.76074322775314,52.22752907813922,8.624019206534076,43.603509871605155,43.60350987160515,0.0,0.0,0.0,2.702066675942317e-07,43.60350960139847,1.0,1.0,1.0,0.0,0.3083930346955195,0.001785839997874005,0.30839303469551954,0.15776628600671125,0.2631062344743577,0.29322652331676247,0.09543753974356085,0.6087453222551902,3.079339762902064,2.4705944406468734,15.765504799999917
