run_index,config_key,preset_name,seed,theta_update_cadence,onpolicy_mix_ratio,interleaving_start,micro_steps,theta_update_budget,checkpoint_selector,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,run_summary_path
1,cad_terminal_only_mix_0_start_epoch_0,tf2_corrective_transport_default,0,terminal_only,0.0,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0_start_epoch_0_seed0/summary.json
2,cad_terminal_only_mix_0_start_epoch_0,tf2_corrective_transport_default,1,terminal_only,0.0,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7814814814814814,27,0.303864001595325,57,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0_start_epoch_0_seed1/summary.json
3,cad_terminal_only_mix_0_start_epoch_0,tf2_corrective_transport_default,2,terminal_only,0.0,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0_start_epoch_0_seed2/summary.json
4,cad_terminal_only_mix_0_start_after_warmup,tf2_corrective_transport_default,0,terminal_only,0.0,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0_start_after_warmup_seed0/summary.json
5,cad_terminal_only_mix_0_start_after_warmup,tf2_corrective_transport_default,1,terminal_only,0.0,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7814814814814814,27,0.303864001595325,57,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0_start_after_warmup_seed1/summary.json
6,cad_terminal_only_mix_0_start_after_warmup,tf2_corrective_transport_default,2,terminal_only,0.0,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0_start_after_warmup_seed2/summary.json
7,cad_terminal_only_mix_0p25_start_epoch_0,tf2_corrective_transport_default,0,terminal_only,0.25,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30081890567549663,55,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0p25_start_epoch_0_seed0/summary.json
8,cad_terminal_only_mix_0p25_start_epoch_0,tf2_corrective_transport_default,1,terminal_only,0.25,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8296296296296296,0.7814814814814814,27,0.30175724842883944,58,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0p25_start_epoch_0_seed1/summary.json
9,cad_terminal_only_mix_0p25_start_epoch_0,tf2_corrective_transport_default,2,terminal_only,0.25,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,0.31566977738764834,51,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0p25_start_epoch_0_seed2/summary.json
10,cad_terminal_only_mix_0p25_start_after_warmup,tf2_corrective_transport_default,0,terminal_only,0.25,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.3008900729507869,55,True,False,runs/fmpc_tf2/cad_terminal_only_mix_0p25_start_after_warmup_seed0/summary.json
