epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.0037689778298391472,0.0037689778298391472,0.0046203572801841635,0.6097283390850745,0.607541694881028,0.4722356272669201,0.4717115880166812,0.13530606761410796,0.13583010686434682,0.0962962962962963,0.1037037037037037
2,0.0,warmup,0.0038182375682003352,0.0038182375682003352,0.00458377010776119,0.5711377804059596,0.5864295386594889,0.4468737073353553,0.44637793540146964,0.13955583132413357,0.14005160325801924,0.16296296296296298,0.1037037037037037
3,0.0,warmup,0.004067915605826165,0.004067915605826165,0.004784266635434675,0.5621024568523473,0.5845311868700713,0.43669492516632613,0.4362114092045339,0.1478362617037452,0.14831977766553744,0.2777777777777778,0.1037037037037037
4,0.0,warmup,0.004327621028476942,0.004327621028476942,0.005027916970557369,0.5630865158959362,0.5857840206159034,0.43110354759501,0.43062678334100346,0.15468047302089338,0.15515723727489994,0.2962962962962963,0.1037037037037037
5,0.0,warmup,0.004539919280348268,0.004539919280348268,0.005271848165558559,0.5636764478424066,0.5851755928815667,0.42676748359528954,0.42629529539729305,0.1584081092862772,0.15888029748427368,0.34444444444444444,0.1037037037037037
6,0.020000000000000004,hybrid,0.004744116249694246,0.0046360260440000715,0.005404510284708718,0.5625529636416308,0.5803172205281317,0.4229430031675605,0.42247412123240996,0.15737421736057122,0.15784309929572177,0.34814814814814815,0.1037037037037037
7,0.04000000000000001,hybrid,0.004829233301976871,0.004611726809760445,0.005437662305410641,0.5569659841881225,0.5730578277736118,0.4196426570110613,0.41917575573749905,0.1534151707625505,0.15388207203611276,0.34074074074074073,0.1037037037037037
8,0.06,hybrid,0.00483598564427512,0.004513204025876708,0.005379693639973536,0.549569956049041,0.5624418755704123,0.4166469891968534,0.416181078696367,0.14579488637355886,0.14626079687404525,0.3962962962962963,0.1037037037037037
9,0.08000000000000002,hybrid,0.0047263283064585895,0.004310053594857819,0.005203433895009651,0.5397028195104195,0.5502960607717833,0.4138674867154074,0.41340181811410404,0.13642857405637587,0.13689424265767924,0.4,0.1037037037037037
10,0.1,hybrid,0.0045496401337740515,0.004053257549172498,0.004963825846015543,0.5285103320247521,0.5364602336758431,0.4113817560694256,0.4109156584908675,0.12507847760641744,0.12554457518497558,0.4111111111111111,0.1037037037037037
11,0.12,hybrid,0.00432324989223359,0.0037621207252017466,0.004676076391932036,0.5162128977970485,0.5221525700625638,0.4093890797522562,0.40892165572636013,0.11276349031030758,0.11323091433620364,0.3962962962962963,0.1037037037037037
12,0.13999999999999999,hybrid,0.004040673008800489,0.0034343975888419696,0.004330538713989421,0.5034128258878552,0.5089523431723825,0.40764698339000294,0.40717736859832954,0.10130535978237953,0.10177497457405293,0.42962962962962964,0.1037037037037037
13,0.16000000000000003,hybrid,0.003761636418241037,0.0031224502015908696,0.0039949138540635466,0.49180123745676524,0.49474880569005364,0.4059120948781876,0.40544044396624807,0.08883671081186606,0.08930836172380557,0.44814814814814813,0.1037037037037037
14,0.18000000000000002,hybrid,0.003493171806550837,0.0028316656524399507,0.00367503418950492,0.47946387099743515,0.4822801665032458,0.40381837047527586,0.40334477845279804,0.07846179602796993,0.07893538805044775,0.4444444444444444,0.1037037037037037
15,0.2,hybrid,0.0032435064338738944,0.0025673059219824485,0.003381002559457227,0.46920521182503006,0.4708367390469921,0.40183789847842566,0.40136192216386135,0.06899884056856642,0.06947481688313073,0.5333333333333333,0.1037037037037037
16,0.2,hybrid,0.0029636541187008287,0.002339647904293268,0.0031200310720378016,0.45849559878152446,0.461108638720059,0.40012494240372637,0.3996462266002766,0.06098369631633266,0.06146241211978243,0.6074074074074074,0.1037037037037037
17,0.2,hybrid,0.002733561927140804,0.002151857097782768,0.002908524146790178,0.4510972600239761,0.4515421611242266,0.3977939050083626,0.3973131234408462,0.053748256115864035,0.05422903768338044,0.5333333333333333,0.1037037037037037
18,0.2,hybrid,0.0025336179818322394,0.0019898140757527347,0.002719019530397523,0.4432305852843677,0.44451997307384816,0.39642312595479395,0.39593900146782446,0.04809684711905421,0.048580971606023704,0.5222222222222223,0.1037037037037037
19,0.2,hybrid,0.002365993639226561,0.0018540875525164028,0.0025595304335507894,0.4362426883104611,0.4372911373801082,0.3939842649072218,0.39349786655534486,0.04330687247288639,0.043793270824763364,0.5777777777777777,0.1037037037037037
20,0.2,hybrid,0.0022372737315202573,0.00174994875545096,0.0024366248803464868,0.43028933354901744,0.4311371955986325,0.3919274436852679,0.39143822305355674,0.03920975191336462,0.03969897254507576,0.6148148148148148,0.1037037037037037
21,0.2,hybrid,0.0021319158528450614,0.0016643404202420953,0.0023378771630148307,0.4245605292579773,0.4260469255575018,0.390157174944223,0.3896645667831463,0.035889750613278815,0.03638235877435547,0.5814814814814815,0.1037037037037037
22,0.2,hybrid,0.0020423004178070597,0.0015925498058851015,0.002248753059609792,0.41877496287192695,0.4209386057934895,0.38869195647758664,0.38819567520157194,0.032246649315902876,0.032742930591917574,0.5185185185185185,0.1037037037037037
23,0.2,hybrid,0.0019633418401574397,0.001529337712191313,0.002170020639830635,0.4150011481013232,0.41590118252450936,0.38636236083124514,0.38586344582682264,0.029538821693264217,0.030037736697686723,0.6333333333333333,0.1037037037037037
24,0.2,hybrid,0.0019134854609615328,0.0014890164923620913,0.0021223448429972054,0.41042726329752216,0.41180383818444727,0.38403587622757657,0.3835340040951445,0.0277679619568707,0.02826983408930278,0.6259259259259259,0.1037037037037037
