epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,2.47382078750434e-06,2.47382078750434e-06,5.095162043902612e-06,0.495335591577503,0.48316956688808005,-0.00011381530987980559,-5.845093375478393e-07,0.4831631748885195,-0.00012020730944034552,-6.158840681044016e-07,0.1037037037037037,0.09665667643959197
2,warmup,0.0,2.4474905565116036e-06,2.4474905565116036e-06,5.052501081324545e-06,0.47573674806048283,0.4679603707518723,-0.00011813640227720246,-6.178433041951223e-07,0.4679544151740249,-0.00012409198012458544,-6.48048112453296e-07,0.1,0.0936157014308299
3,warmup,0.0,2.4223191038645877e-06,2.4223191038645877e-06,5.011883889446042e-06,0.46309054979151343,0.45794325089637383,-0.00012247798018494294,-6.482225331122559e-07,0.4579377042166469,-0.00012802465991185175,-6.768586349212118e-07,0.1,0.09161314577531175
4,transition,0.011731042782619834,2.4564926964523925e-06,2.398188089702589e-06,4.970112873186804e-06,0.4547108009108073,0.45120176354311986,-0.00012612049787025237,-6.727549090975642e-07,0.4511964483062748,-0.00013143573471530168,-7.004352901079035e-07,0.11851851851851852,0.09026557680819802
5,transition,0.08826895721738015,2.813174176936565e-06,2.3777572716244158e-06,4.932842972641531e-06,0.448968943508466,0.4464300412250422,-0.0001296224038495608,-6.948592730135592e-07,0.44642496673990373,-0.00013469688898803955,-7.213644238472682e-07,0.13703703703703704,0.08931193272577835
6,transition,0.1,2.8461992563550413e-06,2.356310555194311e-06,4.898887011607297e-06,0.444749201457528,0.4428919428922316,-0.0001328474687450898,-7.142307073647997e-07,0.4428870966694525,-0.00013769369152422106,-7.395108700857715e-07,0.15185185185185185,0.08860495807219534
7,hybrid,0.1,2.8185528148553027e-06,2.3328692964075166e-06,4.856835184477864e-06,0.44155165311811223,0.4401306920290029,-0.00013560141381324664,-7.299842368175755e-07,0.44012604576850023,-0.00014024767431591867,-7.541304460756805e-07,0.15555555555555556,0.08805325868856323
8,hybrid,0.1,2.795194922435147e-06,2.3130352887153894e-06,4.821596337197577e-06,0.4390541721438179,0.43785996148852613,-0.0001381576765926984,-7.437080407849816e-07,0.43785549669133866,-0.0001426224737801629,-7.667820346935123e-07,0.16666666666666666,0.08759962383302376
9,hybrid,0.1,2.768782658022104e-06,2.2906971415288857e-06,4.7808551649321824e-06,0.43691004881337375,0.4358989474459112,-0.00014034003740442946,-7.546687979797519e-07,0.43589460826104637,-0.00014467922226923946,-7.769545536887446e-07,0.1962962962962963,0.08720785749666313
10,hybrid,0.1,2.7430315000338772e-06,2.268462621893328e-06,4.745688781405488e-06,0.4349102609157984,0.43412771702333264,-0.00014239648629554846,-7.642717573033144e-07,0.4341234892204412,-0.00014662428918699177,-7.858421295280581e-07,0.24074074074074073,0.08685402270192565
11,hybrid,0.1,2.7190815568445553e-06,2.247931294357096e-06,4.711502624874593e-06,0.43311524063305945,0.43248831603855575,-0.00014454059273355524,-7.737393989435217e-07,0.43248422226921246,-0.00014863436207684932,-7.944605559698594e-07,0.25925925925925924,0.08652657132625786
12,hybrid,0.1,2.696854950418661e-06,2.2295242218267174e-06,4.6733072859194355e-06,0.43162066668606147,0.43094418521735844,-0.0001462306001205338,-7.801728971824136e-07,0.4309400900223603,-0.0001503257951186998,-8.007742858070393e-07,0.28888888888888886,0.0862180831634958
