epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,4.5118218087184475e-06,4.5118218087184475e-06,9.317693735342893e-06,0.4969422812660861,0.48075864885683994,-0.00024239310814733184,-1.2673506306006715e-06,0.4807751491567487,-0.00022589280823859248,-1.1928949460212463e-06,0.1,0.09620020839299745
2,warmup,0.0,4.438213405192099e-06,4.438213405192099e-06,9.226347294266807e-06,0.47511631037150714,0.4655806785748175,-0.00022283135381406804,-1.1942686741187492e-06,0.46558695207442996,-0.00021655785420160445,-1.1686457915949364e-06,0.1,0.09316070198572632
3,warmup,0.0,4.3631341898321845e-06,4.3631341898321845e-06,9.130311669413999e-06,0.4632492863020463,0.4572798861408239,-0.00021367073504180434,-1.162493153341568e-06,0.45728090639225316,-0.00021265048361251981,-1.1621221513346202e-06,0.1,0.09149871137517314
4,transition,0.011731042782619834,4.405667144852806e-06,4.299416085114748e-06,9.057256179772364e-06,0.45659113070509383,0.45254640858489936,-0.00020896823043353718,-1.1479258116233089e-06,0.4525446060621729,-0.0002107707531600056,-1.160986644616318e-06,0.10740740740740741,0.09055107536306657
5,transition,0.08826895721738015,5.015516971237456e-06,4.223519525611525e-06,8.972547887650662e-06,0.4527635367547638,0.4496659291384669,-0.00020756552996503697,-1.14726819317384e-06,0.4496627539770032,-0.00021074069142873464,-1.1665538837878563e-06,0.13333333333333333,0.0899746989336864
6,transition,0.1,5.035133680412346e-06,4.147013526773544e-06,8.881201536388022e-06,0.4503477806820314,0.44777104661450634,-0.00020717012535903523,-1.149766136444852e-06,0.4477672052842359,-0.00021101145562946177,-1.171789372931989e-06,0.16296296296296298,0.08959564334797308
7,hybrid,0.1,4.958884174702808e-06,4.078690561568448e-06,8.801936131343608e-06,0.4486473732981279,0.44636857898066756,-0.00020741794733786234,-1.1541169864360103e-06,0.44636411144781646,-0.0002118854801889669,-1.17890081126218e-06,0.1814814814814815,0.08931519938560109
8,hybrid,0.1,4.881356629587694e-06,4.0095719301953785e-06,8.717846993923164e-06,0.4473464054339552,0.44523721629728363,-0.00020802692430382796,-1.1594118998904234e-06,0.44523255692017283,-0.00021268630141463296,-1.1847620113465132e-06,0.2074074074074074,0.08908904864431749
9,hybrid,0.1,4.805163279977056e-06,3.942087711491069e-06,8.630755684859874e-06,0.44628042232489584,0.4442423896326952,-0.00020884201605492203,-1.1650452013437732e-06,0.4442375415024072,-0.00021369014634292638,-1.1910612665312864e-06,0.22592592592592592,0.08889024632975003
10,hybrid,0.1,4.733086369019352e-06,3.877711192628282e-06,8.55375176391071e-06,0.4453074515192711,0.4433243152710569,-0.00021004499423554757,-1.1721300845905552e-06,0.44331962917810497,-0.000214731087187503,-1.1969976809995486e-06,0.22962962962962963,0.0887068720530585
11,hybrid,0.1,4.6553379912203586e-06,3.808250151399378e-06,8.470878398209804e-06,0.4444587830826605,0.44244455987265774,-0.00021134588418264544,-1.1792539063577954e-06,0.4424398603893572,-0.00021604536748320857,-1.2039647926654858e-06,0.2518518518518518,0.08853118115136807
12,hybrid,0.1,4.583406638968663e-06,3.744349107475698e-06,8.39057531492965e-06,0.44358948183648783,0.4415939606150072,-0.00021257244335270986,-1.1854610476962329e-06,0.44158932941162515,-0.000217203646734776,-1.2096284853716909e-06,0.26666666666666666,0.08836130661167198
