epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_continuation_target_blend_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_mean_predictor_semigroup_defect_norm,train_mean_corrected_semigroup_defect_norm,train_mean_first_projection_short_leg_correction_norm,train_mean_first_projection_continuation_correction_norm,train_mean_second_projection_short_leg_correction_norm,train_mean_second_projection_continuation_correction_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,4.493656037904779e-06,4.493656037904779e-06,2.4738491371164604e-06,2.0198069007883185e-06,6.762819587502695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495335591577503,0.48319073473143526,-9.264746652459799e-05,-4.722473462792599e-07,0.48318405820170673,-9.932399625312005e-05,-5.051966721226619e-07,0.1037037037037037,0.09665667643959197
2,warmup,0.0,1.0,0.0,0.0,4.389957985811562e-06,4.389957985811562e-06,2.4474825741230954e-06,1.9424754116884674e-06,6.816827356115794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47573674806048283,0.4679802991513115,-9.820800283799613e-05,-5.079184827166006e-07,0.4679739151923832,-0.00010459196176632046,-5.404195986554274e-07,0.1,0.0936157014308299
3,warmup,0.0,1.0,0.0,0.0,4.3101318234686984e-06,4.3101318234686984e-06,2.422277034151459e-06,1.88785478931724e-06,6.858573364562639e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46309054979151343,0.4579608781238024,-0.00010485075275640243,-5.478411410232817e-07,0.45795478655559124,-0.00011094232096753309,-5.793707302127868e-07,0.1,0.09161314577531175
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.1,4.332827063074242e-06,4.249242425273464e-06,2.39783271436547e-06,1.851409710907994e-06,6.904907644334342e-06,3.7461827431386686e-06,8.460763303981714e-09,2.582870815053031e-09,0.005446626560426509,4.4615271813257536e-05,3.7204229924500966e-05,0.0002617842214026188,0.0025177397580772136,0.0010519616429894058,0.0015576025219250548,9.705424671748559e-05,0.0005970826039726704,3.7204229924500966e-05,0.45473044777071425,0.45122413651319876,-0.00011065079909639008,-5.822647082019477e-07,0.45121810112890415,-0.00011668618339100156,-6.13756454416009e-07,0.11481481481481481,0.09026695746245902
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.1,4.996425016073751e-06,4.2062465049057406e-06,2.3753119326868192e-06,1.830934572218921e-06,6.900179032936979e-06,1.590123236797211e-06,1.6834218710967055e-07,1.8110690331743317e-07,0.0013172026986736185,9.947400343049017e-06,0.0003362125512932715,0.0017411171987409206,0.003186357833327579,0.0029197885444328525,0.0004785688386328317,0.00037807552217192523,0.00042557859678901574,0.0003362125512932715,0.4489941866926614,0.44645100478500677,-0.00011698987405295291,-6.185607487641811e-07,0.4464451000475702,-0.0001228946114895102,-6.49461902509622e-07,0.13333333333333333,0.08931359893181194
6,transition,0.1,0.5,0.2,0.1,5.0331309570559005e-06,4.1579700715634906e-06,2.3499841324858716e-06,1.8079859390776192e-06,6.901628240083013e-06,1.313560043862756e-06,1.7295379548947644e-07,1.849980614841082e-07,0.001017909341304996,7.858378249792409e-06,0.0003251973263645205,0.0016661791862825203,0.002898475671182214,0.0027221562742959166,0.0003538312627148016,0.00035383126271480155,0.0003251973263645205,0.0003251973263645205,0.4447722710311358,0.4429074764782253,-0.00012332404630177596,-6.540402564216474e-07,0.4429017245769768,-0.0001290759475502945,-6.841183108395143e-07,0.14814814814814814,0.08860616010490542
7,hybrid,0.1,0.5,0.2,0.1,4.983157529473188e-06,4.11193901443138e-06,2.3227841361467583e-06,1.789154878284622e-06,6.870342612497112e-06,1.3067003195090172e-06,1.7286047719301013e-07,1.8418425379209616e-07,0.001014859777518926,7.842474675173058e-06,0.00032421840518104413,0.001661175105935248,0.0028897841850696556,0.0027139964815384356,0.00035276576627463343,0.00035276576627463343,0.00032421840518104413,0.00032421840518104413,0.4415677930018688,0.44013650653897535,-0.00012916938374418763,-6.861539764409588e-07,0.44013090467614735,-0.0001347712465721851,-7.153615776586382e-07,0.15925925925925927,0.0880531351845439
8,hybrid,0.1,0.5,0.2,0.1,4.939259214179944e-06,4.072397186071965e-06,2.2994443243524125e-06,1.772952861719553e-06,6.835415501753471e-06,1.2996646426203617e-06,1.727670905034027e-07,1.8332047793263064e-07,0.0010120176008448455,7.833537569716602e-06,0.000323266172399053,0.0016564820599796709,0.0028818513482498976,0.002706582973145643,0.0003517257376391005,0.0003517257376391005,0.000323266172399053,0.000323266172399053,0.4390621571158796,0.437853224590208,-0.0001349196676381781,-7.1695440442753e-07,0.4378477730016672,-0.00014037125617893942,-7.452500153892988e-07,0.17777777777777778,0.08759762885156923
9,hybrid,0.1,0.5,0.2,0.1,4.8932754408103014e-06,4.03226666313296e-06,2.273803959141086e-06,1.7584627039918744e-06,6.788959183959758e-06,1.289929505725588e-06,1.726691184545253e-07,1.8211285928136614e-07,0.0010082817872413589,7.813288543780418e-06,0.00032209418401936147,0.0016505569263305197,0.0028716427987918293,0.0026970114908560295,0.0003504488005570278,0.0003504488005570278,0.00032209418401936147,0.00032209418401936147,0.43690423262308303,0.4358784303064595,-0.00014012303492938472,-7.441476222124735e-07,0.4358730889140752,-0.0001454644273136685,-7.717279374649954e-07,0.2074074074074074,0.08720371066827778
10,hybrid,0.1,0.5,0.2,0.1,4.8436595567282215e-06,3.9898941229719036e-06,2.248585265766005e-06,1.7413088572058989e-06,6.731254945146067e-06,1.2782014853010773e-06,1.725732855729708e-07,1.806399392417109e-07,0.0010039340769036251,7.79338470394463e-06,0.00032071347529661796,0.0016436741710540337,0.0028599077743285233,0.0026860281860857744,0.00034894244794765166,0.00034894244794765166,0.00032071347529661796,0.00032071347529661796,0.4348914979268045,0.43409297088443605,-0.00014516408961373628,-7.698037487319231e-07,0.43408773458562666,-0.00015040038842312198,-7.96689067944804e-07,0.24074074074074073,0.08684762699480995
