epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_continuation_target_blend_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,4.493656037904779e-06,4.493656037904779e-06,2.4738491371164604e-06,2.0198069007883185e-06,6.762819587502695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495335591577503,0.48319073473143526,-9.264746652459799e-05,-4.722473462792599e-07,0.48318405820170673,-9.932399625312005e-05,-5.051966721226619e-07,0.1037037037037037,0.09665667643959197
2,warmup,0.0,1.0,0.0,0.0,4.389957985811562e-06,4.389957985811562e-06,2.4474825741230954e-06,1.9424754116884674e-06,6.816827356115794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47573674806048283,0.4679802991513115,-9.820800283799613e-05,-5.079184827166006e-07,0.4679739151923832,-0.00010459196176632046,-5.404195986554274e-07,0.1,0.0936157014308299
3,warmup,0.0,1.0,0.0,0.0,4.3101318234686984e-06,4.3101318234686984e-06,2.422277034151459e-06,1.88785478931724e-06,6.858573364562639e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46309054979151343,0.4579608781238024,-0.00010485075275640243,-5.478411410232817e-07,0.45795478655559124,-0.00011094232096753309,-5.793707302127868e-07,0.1,0.09161314577531175
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.1,4.336806834965063e-06,4.249179400531742e-06,2.397784534511029e-06,1.851394866020713e-06,6.904705102034934e-06,3.746067682629648e-06,8.460754880743702e-09,6.6280434799745915e-09,0.004051762179787896,3.548321058543277e-05,0.026203586566464487,0.0005673134224929109,0.4547304440243164,0.45122412778158494,-0.00011065632678208814,-5.822932312596969e-07,0.45121809288982334,-0.00011669121854368525,-6.137824842414124e-07,0.11481481481481481,0.0902669568216734
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.1,4.988959159595243e-06,4.206139711721516e-06,2.3752276603550132e-06,1.830912051366503e-06,6.899834401712431e-06,1.5900388312900715e-06,1.6834190840555977e-07,1.7377826026196402e-07,0.000887261361645756,7.920730001285338e-06,0.001656973535701758,0.0016790076444912442,0.4489941778306054,0.44645099639037145,-0.00011699250939739558,-6.185743623917945e-07,0.44644509190101994,-0.00012289699874890037,-6.494742567345242e-07,0.13333333333333333,0.08931359777995376
6,transition,0.1,0.5,0.2,0.1,5.022471275434512e-06,4.157951486233203e-06,2.349963211667e-06,1.807988274566203e-06,6.901569769689798e-06,1.31354815482203e-06,1.7295377194178535e-07,1.7436281223232887e-07,0.0007273106310865674,6.504106088536583e-06,0.0012212620220961297,0.001576787736323732,0.444772264731509,0.4429074729467693,-0.00012332308612694742,-6.540351139364684e-07,0.4429017209049746,-0.00012907512792165177,-6.841139021694978e-07,0.14814814814814814,0.08860615920657924
7,hybrid,0.1,0.5,0.2,0.1,4.972709525996985e-06,4.11202742771346e-06,2.322839141521909e-06,1.7891882861915514e-06,6.870634715964204e-06,1.3067587914887052e-06,1.7286078508989933e-07,1.73618626687104e-07,0.0007251703150768519,6.491048530541945e-06,0.0012176163298243197,0.0015720904142103702,0.44156779282817427,0.44013650946191746,-0.00012916534469403773,-6.861327480933742e-07,0.4401309070572441,-0.00013476774936738156,-7.153431527708021e-07,0.15925925925925927,0.0880531349613223
8,hybrid,0.1,0.5,0.2,0.1,4.929018654962234e-06,4.0725873989332465e-06,2.2995707761361994e-06,1.7730166227970467e-06,6.8360414867637e-06,1.2997900766232414e-06,1.7276771206202993e-07,1.7282710735261826e-07,0.0007232387509044815,6.484176099806125e-06,0.0012140778624238932,0.001567698776725535,0.4390621648073947,0.4378532340917088,-0.00013491296599849045,-7.169193295342906e-07,0.4378477815525988,-0.00014036550510848622,-7.45219853411403e-07,0.17777777777777778,0.08759762941154145
9,hybrid,0.1,0.5,0.2,0.1,4.883259971454557e-06,4.0325549690946345e-06,2.2739993664691243e-06,1.75855560262551e-06,6.789909816929458e-06,1.2901198019298328e-06,1.726700539127482e-07,1.7171402066697782e-07,0.0007205955732224487,6.467486058253144e-06,0.0012097080939036439,0.001562131981252144,0.43690424724718097,0.4358784461193011,-0.0001401139625185066,-7.441003030533844e-07,0.4358731033623774,-0.00014545671944221628,-7.716876623248389e-07,0.2074074074074074,0.08720371201636393
10,hybrid,0.1,0.5,0.2,0.1,4.83387990063405e-06,3.990274555820168e-06,2.24884742150919e-06,1.7414271343109781e-06,6.732514156518278e-06,1.2784531033339804e-06,1.725745250413402e-07,1.7035392916205392e-07,0.0007175468599942542,6.451295254693649e-06,0.001204558072047726,0.0015556650352931487,0.4348915205404209,0.43409299266522017,-0.00014515283942156954,-7.697452923821906e-07,0.4340877545862884,-0.00015039091835333807,-7.966397845320312e-07,0.24074074074074073,0.08684762910092834
11,hybrid,0.1,0.5,0.2,0.1,4.795781739811471e-06,3.958676754093505e-06,2.225549864810574e-06,1.7331268892829308e-06,6.680162862366862e-06,1.2676788752724796e-06,1.7247675574319274e-07,1.6908869948128077e-07,0.0007148268372636874,6.440150916168724e-06,0.001200136697278313,0.0015500553978068773,0.4330850336952016,0.4324385376908689,-0.00015025552023134603,-7.951549968815354e-07,0.4324334360547289,-0.0001553571563713274,-8.211715931703075e-07,0.26296296296296295,0.08651775864222004
