epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,5.760354152368148e-06,5.760354152368148e-06,4.51137726998357e-06,1.2489768823845782e-06,9.254591104749688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4969422812660861,0.48066046626067477,-0.00034057570431250683,-1.7744445246698545e-06,0.4806781396145945,-0.00032290235039278414,-1.693976774636935e-06,0.1,0.09620020839299745
2,warmup,0.0,1.0,0.0,0.0,5.61063517970809e-06,5.61063517970809e-06,4.437819479320266e-06,1.172815700387822e-06,9.398670525013403e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.47511631037150714,0.46548470523443825,-0.0003188046941933198,-1.6956015618665803e-06,0.46549174143111904,-0.0003117684975125212,-1.6660716308644825e-06,0.1,0.09316070198572632
3,warmup,0.0,1.0,0.0,0.0,5.4942075241718355e-06,5.4942075241718355e-06,4.362747790523783e-06,1.1314597336480535e-06,9.485707978322533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4632492863020463,0.45718739422665267,-0.0003061626492130154,-1.6489933331235822e-06,0.45718887483058535,-0.0003046820452803356,-1.646304644486264e-06,0.1,0.09149871137517314
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.1,5.5628402301774805e-06,5.4073919171223805e-06,4.2987275795069266e-06,1.1086643376154533e-06,9.555265644063993e-06,4.41977548302962e-06,2.1172473997722846e-08,4.3355082985288166e-08,0.004313829808229604,3.858636123226167e-05,0.0018118167910243324,0.45649872668810954,0.45245195874763605,-0.0002977259490949957,-1.616659857922798e-06,0.4524503942554897,-0.00029929044124132886,-1.628594663158334e-06,0.1037037037037037,0.09054993693934621
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.1,6.492490649003667e-06,5.311813044713869e-06,4.219518437069838e-06,1.092294607644031e-06,9.547988065197936e-06,1.926187944117674e-06,4.212253912225004e-07,3.378866542507846e-07,0.0009336881912341141,8.402849600975986e-06,0.0023539170045435496,0.4526709653926041,0.44957263204932063,-0.00029334978291428726,-1.6012868688600472e-06,0.4495695705195725,-0.0002964113126623924,-1.6201224614256857e-06,0.13703703703703704,0.08997319636644699
6,transition,0.1,0.5,0.2,0.1,6.493270505792562e-06,5.219382855766626e-06,4.136575798273086e-06,1.0828070574935391e-06,9.503500776361786e-06,1.5966489710493822e-06,4.3275025479097586e-07,3.2353757238975785e-07,0.0007612119685068417,6.854449676088041e-06,0.0021227754046647873,0.4502583876235973,0.44767941012744245,-0.00029049060158548023,-1.5911052403565012e-06,0.44767560671210876,-0.000294294016919161,-1.6130946236086444e-06,0.16296296296296298,0.08959398014580558
7,hybrid,0.1,0.5,0.2,0.1,6.4016102261101866e-06,5.137951827501611e-06,4.061945634661318e-06,1.0760061928402929e-06,9.430181452457885e-06,1.5789311046882378e-06,4.325826870481815e-07,3.206402533627871e-07,0.0007555696535714149,6.807352118251935e-06,0.002108824161051347,0.44855937678738433,0.44627874106287435,-0.00028866581993308715,-1.5844460276992077e-06,0.44627426324881536,-0.00029314363399207677,-1.6094659071122519e-06,0.18518518518518517,0.08931348137656149
8,hybrid,0.1,0.5,0.2,0.1,6.309441410562163e-06,5.057048262906729e-06,3.986544128566671e-06,1.0705041343400589e-06,9.348948110168365e-06,1.560077485376511e-06,4.323898095150259e-07,3.1749833663859675e-07,0.0007499158348261653,6.75770963159558e-06,0.0020949623163327093,0.447261240148413,0.44514878708469907,-0.00028755026581706034,-1.5802743107982194e-06,0.44514409594169047,-0.0002922414088256664,-1.6059849323494472e-06,0.2074074074074074,0.08908726747010323
9,hybrid,0.1,0.5,0.2,0.1,6.216560328760358e-06,4.97852386363145e-06,3.913254014765804e-06,1.0652698488656453e-06,9.243770293058311e-06,1.537860633319442e-06,4.3218819782770453e-07,3.136594358230768e-07,0.0007442914880025954,6.705551264695759e-06,0.0020804449102165227,0.4461970745112704,0.4441546562329601,-0.00028694195376322007,-1.5777961701246763e-06,0.44414976931994266,-0.00029182886678064124,-1.60421947076187e-06,0.2222222222222222,0.08888831963734466
10,hybrid,0.1,0.5,0.2,0.1,6.128674474981298e-06,4.903114672319734e-06,3.843444824902579e-06,1.0596698474171552e-06,9.153184801011286e-06,1.5175862479565076e-06,4.320032403194699e-07,3.1024132256043377e-07,0.0007384487806300436,6.650018723403004e-06,0.002065701341706714,0.4452256037433894,0.44323626486410916,-0.0002869974776860129,-1.5780681723405931e-06,0.4432315495187982,-0.0002917128229970034,-1.6032992108108094e-06,0.23333333333333334,0.08870465246835903
11,hybrid,0.1,0.5,0.2,0.1,6.035413772532969e-06,4.823570694913419e-06,3.768935034124435e-06,1.054635660788984e-06,9.05332610652562e-06,1.4956502762203331e-06,4.3181810908073837e-07,3.065104669669879e-07,0.0007322044029126984,6.5908594959475385e-06,0.0020500472927933054,0.44437516433255314,0.4423563593810584,-0.00028716806654693894,-1.5782629869185013e-06,0.44235165119217457,-0.00029187625543075635,-1.6032354001640743e-06,0.24814814814814815,0.08852870548952106
12,hybrid,0.1,0.5,0.2,0.1,5.9461041204267134e-06,4.748545022828149e-06,3.7004698380265956e-06,1.0480751848015527e-06,8.948579627986277e-06,1.473613728407822e-06,4.3162435786504365e-07,3.027011347999368e-07,0.0007265214348224097,6.534336571968162e-06,0.0020352778689173446,0.44350813133022776,0.441503777759831,-0.0002876143968529865,-1.579318752489633e-06,0.4414991675507746,-0.0002922246059093858,-1.6035968503071108e-06,0.26666666666666666,0.0883582784313368
13,hybrid,0.1,0.5,0.2,0.1,5.866943280297929e-06,4.684720239801648e-06,3.6386360759468955e-06,1.046084163854752e-06,8.83564344594163e-06,1.4506212934287691e-06,4.3141982402891853e-07,2.98658695902118e-07,0.0007210244289524208,6.484829784875323e-06,0.002021183676251917,0.44265268123868456,0.44066096957095646,-0.0002884263260923281,-1.5817470658418165e-06,0.4406565518203179,-0.00029284407673091373,-1.604862403151733e-06,0.2814814814814815,0.08818987917940976
14,hybrid,0.1,0.5,0.2,0.1,5.7888568172422795e-06,4.617999163204185e-06,3.5763229158902403e-06,1.041676247313945e-06,8.752582853695706e-06,1.4328676063914828e-06,4.312401440350927e-07,2.9559936866852463e-07,0.0007163337589979975,6.447471008486281e-06,0.0020095208970710415,0.4418860226735126,0.4398316729544141,-0.00028900393315084427,-1.5825018610343374e-06,0.43982745218049285,-0.0002932247070721039,-1.6044120700737217e-06,0.29259259259259257,0.08802413537751298
15,hybrid,0.1,0.5,0.2,0.1,5.713965969186691e-06,4.557838399273376e-06,3.5196973331882115e-06,1.0381410660851649e-06,8.643818123955023e-06,1.411083651369766e-06,4.3104025815641936e-07,2.91745757517812e-07,0.0007112673751189893,6.396768623254055e-06,0.0019962892495589417,0.44105744310898515,0.43900851174356975,-0.0002901433802273701,-1.5857070237144694e-06,0.43900463756684976,-0.00029401755694735687,-1.6056419232377461e-06,0.3037037037037037,0.08785973102475943
16,hybrid,0.1,0.5,0.2,0.1,5.63997028906986e-06,4.496059934670725e-06,3.4621299871114377e-06,1.0339299475592891e-06,8.554401886221137e-06,1.392117163706367e-06,4.3086501018891185e-07,2.8847016577702e-07,0.0007061690386284903,6.34922514029828e-06,0.0019834495515380036,0.44023227077971117,0.43819134461492537,-0.0002903964669168646,-1.5837801710665998e-06,0.43818759242731214,-0.00029414865453009087,-1.602971989789968e-06,0.31851851851851853,0.08769634821636844
17,hybrid,0.1,0.5,0.2,0.1,5.561502795952874e-06,4.431075894871365e-06,3.4016646735124258e-06,1.029411221358939e-06,8.4553240581025e-06,1.3716415393150898e-06,4.306801761462502e-07,2.8489449527125797e-07,0.0007009238310555926,6.298926059726897e-06,0.00197013080322324,0.4393976334935023,0.4373809650728522,-0.0002910620155031629,-1.583578937502662e-06,0.43737734500518205,-0.00029468208317329214,-1.601980800109234e-06,0.3333333333333333,0.08753440541767106
18,hybrid,0.1,0.5,0.2,0.1,5.496016573980484e-06,4.3776166319524285e-06,3.350860086369533e-06,1.0267565455828953e-06,8.366425274494252e-06,1.354008112971898e-06,4.304917356706549e-07,2.817574145786311e-07,0.0006968919614151828,6.264492923958759e-06,0.001959722034867618,0.4386000718857373,0.43658109523360417,-0.00029189416320074546,-1.5838042499368452e-06,0.4365776326268163,-0.0002953567699885973,-1.6012818177261112e-06,0.34444444444444444,0.08737459787936099
19,hybrid,0.1,0.5,0.2,0.1,5.422996604282091e-06,4.316687363297558e-06,3.295125310589444e-06,1.021562052708114e-06,8.277944493977007e-06,1.3352714247676336e-06,4.303245849555615e-07,2.7851479158683203e-07,0.0006917490788325516,6.214801288012467e-06,0.0019470026719899986,0.43783775135848757,0.4357823272042465,-0.0002924903105352983,-1.5825657058380759e-06,0.43577882200840673,-0.00029599550637504635,-1.6001961158946133e-06,0.34814814814814815,0.08721496350295636
