epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_continuation_target_blend_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_mean_predictor_semigroup_defect_norm,train_mean_corrected_semigroup_defect_norm,train_mean_first_projection_short_leg_correction_norm,train_mean_first_projection_continuation_correction_norm,train_mean_second_projection_short_leg_correction_norm,train_mean_second_projection_continuation_correction_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,5.760354152368148e-06,5.760354152368148e-06,4.51137726998357e-06,1.2489768823845782e-06,9.254591104749688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4969422812660861,0.48066046626067477,-0.00034057570431250683,-1.7744445246698545e-06,0.4806781396145945,-0.00032290235039278414,-1.693976774636935e-06,0.1,0.09620020839299745
2,warmup,0.0,1.0,0.0,0.0,5.61063517970809e-06,5.61063517970809e-06,4.437819479320266e-06,1.172815700387822e-06,9.398670525013403e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47511631037150714,0.46548470523443825,-0.0003188046941933198,-1.6956015618665803e-06,0.46549174143111904,-0.0003117684975125212,-1.6660716308644825e-06,0.1,0.09316070198572632
3,warmup,0.0,1.0,0.0,0.0,5.4942075241718355e-06,5.4942075241718355e-06,4.362747790523783e-06,1.1314597336480535e-06,9.485707978322533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4632492863020463,0.45718739422665267,-0.0003061626492130154,-1.6489933331235822e-06,0.45718887483058535,-0.0003046820452803356,-1.646304644486264e-06,0.1,0.09149871137517314
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.1,5.562245622311052e-06,5.40739786894285e-06,4.2987336610318155e-06,1.1086642079110328e-06,9.55528524195928e-06,4.419786235068585e-06,2.1172475339333898e-08,4.2754293394642766e-08,0.004313835286030543,3.8586408806696475e-05,0.00033136378162754035,0.0017958314750890797,0.0,0.0,0.0,0.0,0.0,0.0,0.4564987267484611,0.4524519589981253,-0.0002977257219896057,-1.6166586906818522e-06,0.4524503944562747,-0.00029929026384017954,-1.6285937528233484e-06,0.1037037037037037,0.09054993694402298
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.1,6.4682378290895696e-06,5.311960864852479e-06,4.219667646995008e-06,1.0922932178574698e-06,9.548398333512148e-06,1.9262948789338038e-06,4.2122586025569943e-07,3.134498002418032e-07,0.0009337161074077253,8.40308841520628e-06,0.00042898693206214753,0.0021908543856458238,0.0,0.0,0.0,0.0,0.0,0.0,0.4526709675999044,0.44957263641338524,-0.0002933452919741675,-1.6012643449462422e-06,0.449569574212294,-0.00029640749306542036,-1.6201034203002385e-06,0.13703703703703704,0.08997319634107188
6,transition,0.1,0.5,0.2,0.1,6.469755505734863e-06,5.219829136909223e-06,4.137020465007758e-06,1.0828086719014638e-06,9.504700266705063e-06,1.596908086363135e-06,4.3275161039628545e-07,2.994563421551345e-07,0.0007612823697026119,6.8550463968285665e-06,0.00038312776874261506,0.0019579922597367434,0.0,0.0,0.0,0.0,0.0,0.0,0.4502583927391419,0.44767941975901643,-0.0002904810807317637,-1.5910571409623775e-06,0.4476756151031564,-0.0002942857365917928,-1.6130529836437036e-06,0.16296296296296298,0.08959398016794963
7,hybrid,0.1,0.5,0.2,0.1,6.378794377137098e-06,5.138689761468301e-06,4.062680946738928e-06,1.0760088147293726e-06,9.432142351716032e-06,1.5793567715009612e-06,4.325848801948142e-07,2.9689038049719384e-07,0.0007556874258938401,6.80835103485852e-06,0.0003806873460423043,0.001945197059254046,0.0,0.0,0.0,0.0,0.0,0.0,0.44855938747370133,0.44627875711176235,-0.00028865101954145267,-1.5843707671153913e-06,0.44627427748155524,-0.00029313064974856307,-1.609400128017353e-06,0.18518518518518517,0.08931348162626077
8,hybrid,0.1,0.5,0.2,0.1,6.287318728682334e-06,5.0580563517519345e-06,3.987546423638815e-06,1.0705099281131206e-06,9.35162751759015e-06,1.560659126882991e-06,4.3239282888816636e-07,2.940996251713849e-07,0.000750077606218447,6.759078529575589e-06,0.00037823893685862825,0.0019324942134088207,0.0,0.0,0.0,0.0,0.0,0.0,0.4472612536006828,0.44514881054022404,-0.0002875301035155653,-1.5801713065245976e-06,0.44514411700431566,-0.0002922236394239386,-1.6058944408327421e-06,0.2074074074074074,0.08908726812874793
9,hybrid,0.1,0.5,0.2,0.1,6.195178390558327e-06,4.979779919961471e-06,3.9145041618872735e-06,1.0652757580741983e-06,9.247122624340162e-06,1.5385871014034343e-06,4.3219203124828893e-07,2.906862081628396e-07,0.0007444940691716777,6.7072563061042365e-06,0.00037557763491984975,0.0019192526931768917,0.0,0.0,0.0,0.0,0.0,0.0,0.44619709268623486,0.4441546877366498,-0.000286916585431507,-1.5776661640969504e-06,0.4441497978679026,-0.0002918064541787002,-1.6041049333941884e-06,0.2222222222222222,0.08888832086441625
10,hybrid,0.1,0.5,0.2,0.1,6.107965189770324e-06,4.904599658794108e-06,3.84492330502851e-06,1.0596763537655974e-06,9.157161790517463e-06,1.5184468731832486e-06,4.3200784928570516e-07,2.876493519244717e-07,0.0007386896777320615,6.652042855964321e-06,0.00037293564968452457,0.0019057470078425657,0.0,0.0,0.0,0.0,0.0,0.0,0.4452256293028757,0.4432363046266834,-0.0002869672540645185,-1.5779130870780629e-06,0.4432315857729734,-0.00029168610777452475,-1.603162489634193e-06,0.23333333333333334,0.08870465437614958
11,hybrid,0.1,0.5,0.2,0.1,6.015380446697589e-06,4.825263580591482e-06,3.77062297544955e-06,1.0546406051419325e-06,9.057879150108945e-06,1.4966338521837523e-06,4.3182346991021387e-07,2.8432895109521313e-07,0.0007324805433293443,6.593174326762395e-06,0.00037011616431308384,0.0018914026793826187,0.0,0.0,0.0,0.0,0.0,0.0,0.4443751990359007,0.44235640665907217,-0.0002871334922409652,-1.5780854402823355e-06,0.44235169442627625,-0.00029184572503687667,-1.6030790131620661e-06,0.24814814814814815,0.08852870803026262
12,hybrid,0.1,0.5,0.2,0.1,5.92673141640304e-06,4.750425542866247e-06,3.7023479489822325e-06,1.0480775938840151e-06,8.953662762953822e-06,1.474709515718716e-06,4.3163044378993004e-07,2.8093959724140984e-07,0.0007268298460983622,6.536912635875743e-06,0.00036740503057491024,0.0018779067970284796,0.0,0.0,0.0,0.0,0.0,0.0,0.44350817249963514,0.4415038321455116,-0.0002875759368025088,-1.5791214552721968e-06,0.4414992173785898,-0.00029219070372427103,-1.6034233786938162e-06,0.26666666666666666,0.08835828161646282
13,hybrid,0.1,0.5,0.2,0.1,5.848225224392789e-06,4.686769777811033e-06,3.6406913549335344e-06,1.0460784228774974e-06,8.841215697827008e-06,1.451819570941709e-06,4.314266224957928e-07,2.773338767990554e-07,0.0007213618291548054,6.487635485250074e-06,0.00036478461558897676,0.0018650487710316957,0.0,0.0,0.0,0.0,0.0,0.0,0.4426527282269917,0.4406610307433043,-0.0002883843873747738,-1.5815320709904675e-06,0.44065660794962397,-0.0002928071810551214,-1.604673735401338e-06,0.2814814814814815,0.08818988302613581
14,hybrid,0.1,0.5,0.2,0.1,5.7706734463156825e-06,4.620205824001431e-06,3.578535347571179e-06,1.0416704764302512e-06,8.758608384893169e-06,1.4341611508941166e-06,4.3124760542481656e-07,2.746067838249342e-07,0.0007166986037946582,6.450498117851569e-06,0.0003626686440213068,0.0018543767260199,0.0,0.0,0.0,0.0,0.0,0.0,0.44188606953645077,0.4398317421371668,-0.0002889585645680648,-1.5822695889177309e-06,0.43982751585297825,-0.00029318484875662243,-1.6042085112997183e-06,0.29259259259259257,0.08802414014034697
15,hybrid,0.1,0.5,0.2,0.1,5.696376011246508e-06,4.560181562591629e-06,3.5220553173888857e-06,1.038126245202744e-06,8.650252447114654e-06,1.4124616937586098e-06,4.3104837325594123e-07,2.7116920394341405e-07,0.0007116562373355025,6.399978953208699e-06,0.00036018518550733677,0.0018423148615774535,0.0,0.0,0.0,0.0,0.0,0.0,0.4410574993176809,0.43900858769101947,-0.00029009523341888555,-1.5854610940838597e-06,0.43900470757120374,-0.0002939753532346101,-1.6054268897810206e-06,0.3037037037037037,0.08785973658488766
16,hybrid,0.1,0.5,0.2,0.1,5.622897240445023e-06,4.498529076110202e-06,3.464619523709503e-06,1.0339095524006983e-06,8.561207465217001e-06,1.393572434229905e-06,4.308737294848361e-07,2.682474178131205e-07,0.000706580948988405,6.3526223460068215e-06,0.0003578461397585931,0.0018305523518882965,0.0,0.0,0.0,0.0,0.0,0.0,0.4402323077177144,0.4381914339651993,-0.0002903446396719245,-1.5835158082250591e-06,0.4381876754159265,-0.00029410318894468324,-1.6027406065206526e-06,0.31851851851851853,0.08769635572097424
17,hybrid,0.1,0.5,0.2,0.1,5.544954217802587e-06,4.4336521330877224e-06,3.4042701138003564e-06,1.0293820192873669e-06,8.462466138604366e-06,1.3731650977624046e-06,4.3068950119957345e-07,2.6505547085442707e-07,0.000701355399696911,6.3024740477061745e-06,0.00035539033423099187,0.0018183623411490734,0.0,0.0,0.0,0.0,0.0,0.0,0.43939768856289374,0.43738106541914223,-0.00029100730833026,-1.5833004813032387e-06,0.4373774386005017,-0.00029463412697078306,-1.6017372322315346e-06,0.3333333333333333,0.0875344145454945
18,hybrid,0.1,0.5,0.2,0.1,5.47993303499553e-06,4.380291735568334e-06,3.353569613899268e-06,1.0267221216690662e-06,8.373878264582031e-06,1.3555948262469409e-06,4.305016285069301e-07,2.622534729689921e-07,0.0006973417452941262,6.268179527446653e-06,0.0003534316694366707,0.0018088754221222605,0.0,0.0,0.0,0.0,0.0,0.0,0.43860012417317373,0.43658120878138906,-0.00029183665374460377,-1.5835124876592858e-06,0.43657773905878183,-0.00029530637635183377,-1.6010266956091297e-06,0.34444444444444444,0.08737460908702674
19,hybrid,0.1,0.5,0.2,0.1,5.407365276128581e-06,4.31944388482193e-06,3.2979282007900632e-06,1.0215156840318675e-06,8.285660012790084e-06,1.3369107711038772e-06,4.303350145512582e-07,2.59355390027642e-07,0.0006922144553860792,6.218606506184355e-06,0.00035111446653047427,0.0017972015161972527,0.0,0.0,0.0,0.0,0.0,0.0,0.43783780780224896,0.43578245439240837,-0.00029243023078467933,-1.5822617703303463e-06,0.4357789417358232,-0.00029594288736983776,-1.5999304514074323e-06,0.34814814814814815,0.0872149769246386
20,hybrid,0.1,0.5,0.2,0.1,5.33669047157577e-06,4.2621970245534274e-06,3.2440678184995143e-06,1.0181292060539131e-06,8.183651846010396e-06,1.3166513920223184e-06,4.301405625209032e-07,2.5612826242130286e-07,0.0006875086563266298,6.170239974523977e-06,0.00034880208206773797,0.001786034770565594,0.0,0.0,0.0,0.0,0.0,0.0,0.4370583545187937,0.434985747511544,-0.0002939611407286602,-1.5854422820321711e-06,0.43498244066857567,-0.0002972679836970027,-1.6019518935082985e-06,0.3592592592592593,0.08705594173045454
21,hybrid,0.1,0.5,0.2,0.1,5.279642943642824e-06,4.213169275057577e-06,3.1993382056244005e-06,1.0138310694331768e-06,8.123757519949847e-06,1.3033471237509428e-06,4.299838760050428e-07,2.540979165902626e-07,0.0006834706406492888,6.134866691939886e-06,0.00034708410663252985,0.0017771410248550138,0.0,0.0,0.0,0.0,0.0,0.0,0.4362341466066642,0.43419452761069977,-0.0002947905312226107,-1.584800739057394e-06,0.4341914362725171,-0.00029788186940526984,-1.6000523710785414e-06,0.37037037037037035,0.08689786362838448
