seed,epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_identity_loss,val_one_step_energy_delta_vs_identity,val_configured_step_energy_delta_vs_identity,val_configured_step_fixed_point_residual_delta_vs_identity,val_accuracy
0,1,warmup,0.0,4.057515622250185e-06,4.057515622250185e-06,6.740039214905508e-06,-9.36107758132132e-05,-0.00010023534971276282,-5.096843713397006e-07,0.1037037037037037
0,2,warmup,0.0,4.04222327940845e-06,4.04222327940845e-06,6.743859643590281e-06,-9.988589054404917e-05,-0.00010616590104167711,-5.483573175326132e-07,0.1
0,3,warmup,0.0,4.0245155409810135e-06,4.0245155409810135e-06,6.736126726537253e-06,-0.00010702574098109263,-0.00011296177373015803,-5.897066476646766e-07,0.1
0,4,transition,0.011731042782619834,4.091823028251637e-06,4.0128328211798085e-06,6.7334344043869565e-06,-0.0001132693447383204,-0.0001190896720053014,-6.261774174679143e-07,0.11851851851851852
0,5,transition,0.08826895721738015,4.571965389582464e-06,3.981627658656485e-06,6.687942732484673e-06,-0.00011979067521494802,-0.0001254395811283726,-6.62686055094558e-07,0.13333333333333333
0,6,transition,0.1,4.624260094674126e-06,3.958434856864891e-06,6.658252378092354e-06,-0.0001262373008749651,-0.00013169434696141957,-6.977542311314858e-07,0.14444444444444443
0,7,hybrid,0.1,4.576235890243689e-06,3.916450365771194e-06,6.59785524472495e-06,-0.00013216861076381647,-0.0001374369064587877,-7.292447041660956e-07,0.15925925925925927
0,8,hybrid,0.1,4.5316455646030625e-06,3.878060338735125e-06,6.53585225867938e-06,-0.00013797064009835047,-0.00014305049691748506,-7.591802342775324e-07,0.17037037037037037
0,9,hybrid,0.1,4.477606959473698e-06,3.831194158755599e-06,6.464128007180991e-06,-0.00014323013892503234,-0.00014816217410351662,-7.857168333252017e-07,0.2074074074074074
0,10,hybrid,0.1,4.419680156919347e-06,3.7813522621434206e-06,6.383278947759268e-06,-0.00014832392278368856,-0.00015311407242174502,-8.107097325145266e-07,0.24444444444444444
0,11,hybrid,0.1,4.365545719781171e-06,3.7346496647377025e-06,6.308960550434681e-06,-0.00015346171678659593,-0.0001580790002869703,-8.351649254451012e-07,0.26296296296296295
0,12,hybrid,0.1,4.3115968334346865e-06,3.6882555737398325e-06,6.233412596948536e-06,-0.00015786026169051226,-0.00016242903310992318,-8.556770074017361e-07,0.2814814814814815
1,1,warmup,0.0,4.869842231053112e-06,4.869842231053112e-06,9.223997742149616e-06,-0.00034099755800615084,-0.0003232981225322895,-1.6957019112640189e-06,0.1
1,2,warmup,0.0,4.815695542480446e-06,4.815695542480446e-06,9.300069673120406e-06,-0.0003197190711395903,-0.0003126261533146768,-1.670099373002695e-06,0.1
1,3,warmup,0.0,4.751407886319092e-06,4.751407886319092e-06,9.320090383658124e-06,-0.000307563617294615,-0.0003059928586437999,-1.6526889892726888e-06,0.1
1,4,transition,0.011731042782619834,4.797561381341322e-06,4.688143615093892e-06,9.327198636555892e-06,-0.00029965172378076943,-0.00030109082991752745,-1.6375639060187477e-06,0.1037037037037037
1,5,transition,0.08826895721738015,5.417809355385513e-06,4.599253983574079e-06,9.273422929372283e-06,-0.0002956183617409125,-0.00029855061211236933,-1.6308950609914658e-06,0.13333333333333333
1,6,transition,0.1,5.4293350854287e-06,4.50941917460695e-06,9.199159108217505e-06,-0.0002930615414493687,-0.00029673404598085096,-1.6254647581885845e-06,0.16296296296296298
1,7,hybrid,0.1,5.323219415616683e-06,4.4132615827647415e-06,9.099578328519414e-06,-0.00029148673569895367,-0.0002958326454606808,-1.6231574437470262e-06,0.18518518518518517
1,8,hybrid,0.1,5.218319962149275e-06,4.318833627928772e-06,8.99486334220503e-06,-0.0002906148576067302,-0.00029517357850539216,-1.6209601173396376e-06,0.2037037037037037
1,9,hybrid,0.1,5.111441964964656e-06,4.2245291891865885e-06,8.869127757780676e-06,-0.0002902146058313404,-0.0002949698330681483,-1.620292052642488e-06,0.2222222222222222
1,10,hybrid,0.1,5.0096382888171795e-06,4.133558729277139e-06,8.760795595400401e-06,-0.0002904587915366075,-0.0002950440149616096,-1.620356365525388e-06,0.23333333333333334
1,11,hybrid,0.1,4.9062179786128575e-06,4.041582260498321e-06,8.64635718114536e-06,-0.0002907669654824141,-0.00029534758680410667,-1.6210113212205353e-06,0.24814814814814815
1,12,hybrid,0.1,4.808637102359696e-06,3.955716913147777e-06,8.529201892119192e-06,-0.0002913308594792441,-0.00029581753099444663,-1.6219725046261895e-06,0.26666666666666666
2,1,warmup,0.0,4.63441112345123e-06,4.63441112345123e-06,8.280446012185733e-06,-1.5767713049119614e-05,4.633431695932888e-06,3.5401195892732816e-08,0.12222222222222222
2,2,warmup,0.0,4.410763361877047e-06,4.410763361877047e-06,8.06019510614726e-06,-3.9857786878150225e-05,-2.3226912907237107e-05,-1.0942266287798565e-07,0.15185185185185185
