epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,4.493656037904779e-06,4.493656037904779e-06,2.4738491371164604e-06,2.0198069007883185e-06,6.762819587502695e-06,0.0,0.0,0.495335591577503,0.48319073473143526,-9.264746652459799e-05,-4.722473462792599e-07,0.48318405820170673,-9.932399625312005e-05,-5.051966721226619e-07,0.1037037037037037,0.09665667643959197
2,warmup,0.0,1.0,0.0,0.0,4.389957985811562e-06,4.389957985811562e-06,2.4474825741230954e-06,1.9424754116884674e-06,6.816827356115794e-06,0.0,0.0,0.47573674806048283,0.4679802991513115,-9.820800283799613e-05,-5.079184827166006e-07,0.4679739151923832,-0.00010459196176632046,-5.404195986554274e-07,0.1,0.0936157014308299
3,warmup,0.0,1.0,0.0,0.0,4.3101318234686984e-06,4.3101318234686984e-06,2.422277034151459e-06,1.88785478931724e-06,6.858573364562639e-06,0.0,0.0,0.46309054979151343,0.4579608781238024,-0.00010485075275640243,-5.478411410232817e-07,0.45795478655559124,-0.00011094232096753309,-5.793707302127868e-07,0.1,0.09161314577531175
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.05,4.418292720723588e-06,4.248994201331497e-06,2.3976488799235443e-06,1.851345321407953e-06,6.904144333757421e-06,3.7457313843676685e-06,8.460731819227131e-09,0.4547304322607351,0.45122410034088056,-0.00011067336971509745,-5.823812301422376e-07,0.45121806670840786,-0.00011670700218779917,-6.138640708076642e-07,0.11481481481481481,0.09026695474211913
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.05,5.103553067063935e-06,4.205596072203266e-06,2.3748518796321703e-06,1.830744192571096e-06,6.898323166632606e-06,1.5896424236338846e-06,1.6834088456340528e-07,0.44899413200817956,0.44645093570310074,-0.00011702070408303733,-6.187212135346399e-07,0.4464450325587909,-0.00012292384839285297,-6.496139949324793e-07,0.13333333333333333,0.08931359128143676
6,transition,0.1,0.5,0.2,0.05,5.118389277327982e-06,4.157157985781886e-06,2.349471558542521e-06,1.8076864272393648e-06,6.899621662269667e-06,1.313107405801301e-06,1.729528831774008e-07,0.4447721810576506,0.44290738310876665,-0.0001233578301658711,-6.542169500686388e-07,0.4429016323705019,-0.0001291085684306248,-6.842885684337516e-07,0.14814814814814814,0.0886061481877865
7,hybrid,0.1,0.5,0.2,0.05,5.067726138694071e-06,4.111009502272028e-06,2.3222372370348807e-06,1.7887722652371472e-06,6.868307290696465e-06,1.306214518964649e-06,1.728600711893146e-07,0.44156768195422397,0.44013639541882815,-0.00012920469826832592,-6.863392391018839e-07,0.4401307943009392,-0.0001348058161572685,-7.155422871370524e-07,0.15925925925925927,0.0880531200234193
8,hybrid,0.1,0.5,0.2,0.05,5.023184298263668e-06,4.071373190591749e-06,2.298881589148474e-06,1.772491601443275e-06,6.833410326253085e-06,1.2991585630288208e-06,1.7276724881690317e-07,0.43906202068456956,0.4378531038164822,-0.0001349552528780995,-7.171413817834915e-07,0.43784765255420033,-0.00014040651515995206,-7.454343244106586e-07,0.17777777777777778,0.08759761181387206
9,hybrid,0.1,0.5,0.2,0.05,4.976366170499076e-06,4.031153070495233e-06,2.27321923631089e-06,1.757933834184343e-06,6.786986910496311e-06,1.289404589597479e-06,1.726698206943431e-07,0.4369040893880409,0.4358783035313874,-0.00014015832952762874,-7.443332650727971e-07,0.43587296204476356,-0.00014549981615147312,-7.719127980031681e-07,0.2074074074074074,0.087203692372183
10,hybrid,0.1,0.5,0.2,0.05,4.925800333296267e-06,3.988704126977831e-06,2.24798788092395e-06,1.740716246053881e-06,6.729345377495047e-06,1.2776647045976088e-06,1.7257455298819185e-07,0.43489134890083003,0.4340928412787185,-0.00014519884826014184,-7.699866381929586e-07,0.4340876044542079,-0.00015043567277073233,-7.968731023664578e-07,0.24074074074074073,0.08684760802539573
