epoch,stage,lambda_id,alpha,lambda_traj_curr,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,3.947274854337233e-06,3.947274854337233e-06,2.6285696169553465e-06,1.3187052373818871e-06,8.313557555205965e-06,0.0,0.4844506297336232,0.47660891231406244,-1.4053423277593513e-05,-6.351905264530906e-08,0.47662925607014767,6.290332807634691e-06,4.3837091600462804e-08,0.12222222222222222,0.095324593147468
2,warmup,0.0,1.0,0.0,3.822787865699453e-06,3.822787865699453e-06,2.596967811182164e-06,1.2258200545172897e-06,8.16122535781399e-06,0.0,0.46815520111942455,0.46405594373467657,-3.729275989683423e-05,-1.8566712247852844e-07,0.4640724625648951,-2.0773929678308267e-05,-9.677607127014823e-08,0.15185185185185185,0.09281864729891469
3,warmup,0.0,1.0,0.0,3.733489964112198e-06,3.733489964112198e-06,2.5662978293133437e-06,1.1671921347988553e-06,8.04164476612931e-06,0.0,0.457702112876275,0.4560596877403736,-5.007544529517238e-05,-2.5482063939502196e-07,0.456072347489141,-3.7415696527765e-05,-1.855032892445754e-07,0.15185185185185185,0.09122195263713374
4,transition,0.011731042782619834,0.9413447860869009,0.011731042782619834,3.794347229598166e-06,3.655907349987778e-06,2.52794830611998e-06,1.1279590438677973e-06,7.93092363847076e-06,3.870233528519951e-06,0.4511315980126517,0.45080540520831314,-5.6282315662459226e-05,-2.89180086584964e-07,0.450814667890895,-4.7019633080569445e-05,-2.375748407091498e-07,0.1814814814814815,0.09017233750479511
5,transition,0.08826895721738015,0.5586552139130994,0.08826895721738015,4.411102241195368e-06,3.578087743678779e-06,2.4779142338394815e-06,1.1001735098392983e-06,7.779372261920553e-06,1.657858263700391e-06,0.44669059466572864,0.44715495143392175,-6.008028525000819e-05,-3.1018960621094233e-07,0.4471614025964462,-5.3629122725551426e-05,-2.7351477899185614e-07,0.18518518518518517,0.08944300634383436
6,transition,0.1,0.5,0.1,4.40381592804247e-06,3.5060305529746027e-06,2.4270641357357185e-06,1.0789664172388847e-06,7.629520172180599e-06,1.3483335784980644e-06,0.44349989860713757,0.4444836943301485,-6.203406636073883e-05,-3.2081120618466055e-07,0.44448790773806457,-5.782065844467388e-05,-2.9614701769936397e-07,0.1925925925925926,0.08890914567930185
7,hybrid,0.1,0.5,0.1,4.323417044660766e-06,3.4429532465931208e-06,2.378197802188702e-06,1.0647554444044187e-06,7.485431275699095e-06,1.3192067049773576e-06,0.44099643673524663,0.44241195139944794,-6.284399229694593e-05,-3.2486622870202763e-07,0.4424143744134056,-6.042097833930393e-05,-3.098700104619612e-07,0.2037037037037037,0.08849495907834898
8,hybrid,0.1,0.5,0.1,4.250134816960165e-06,3.383612910753882e-06,2.3325898884074513e-06,1.0510230223464312e-06,7.3703538357490364e-06,1.2948652263137918e-06,0.43916109266302106,0.44070585643658494,-6.318829631879463e-05,-3.261238906673207e-07,0.440706806703423,-6.223802948074342e-05,-3.1908161493489785e-07,0.21481481481481482,0.08815380894658076
9,hybrid,0.1,0.5,0.1,4.183778451858111e-06,3.331703401143321e-06,2.290298739258226e-06,1.041404661885095e-06,7.249999876607484e-06,1.270750630540407e-06,0.4375907790516469,0.4392243728696033,-6.349520607756842e-05,-3.269196824268769e-07,0.4392240775386836,-6.379053699728798e-05,-3.2658030859884606e-07,0.22962962962962963,0.08785757361513617
10,hybrid,0.1,0.5,0.1,4.115454415540348e-06,3.2785483972348807e-06,2.247570173774064e-06,1.0309782234608167e-06,7.1232097377045145e-06,1.2458504453501477e-06,0.43608391677721337,0.43787527655319064,-6.406038502421163e-05,-3.287381545037356e-07,0.437874230964316,-6.510597389886019e-05,-3.324655625461118e-07,0.2518518518518518,0.08758786738764297
