epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,5.760354152368148e-06,5.760354152368148e-06,4.51137726998357e-06,1.2489768823845782e-06,9.254591104749688e-06,0.4969422812660861,0.48066046626067477,-0.00034057570431250683,-1.7744445246698545e-06,0.4806781396145945,-0.00032290235039278414,-1.693976774636935e-06,0.1,0.09620020839299745
2,warmup,0.0,5.61063517970809e-06,5.61063517970809e-06,4.437819479320266e-06,1.172815700387822e-06,9.398670525013403e-06,0.47511631037150714,0.46548470523443825,-0.0003188046941933198,-1.6956015618665803e-06,0.46549174143111904,-0.0003117684975125212,-1.6660716308644825e-06,0.1,0.09316070198572632
3,warmup,0.0,5.4942075241718355e-06,5.4942075241718355e-06,4.362747790523783e-06,1.1314597336480535e-06,9.485707978322533e-06,0.4632492863020463,0.45718739422665267,-0.0003061626492130154,-1.6489933331235822e-06,0.45718887483058535,-0.0003046820452803356,-1.646304644486264e-06,0.1,0.09149871137517314
4,transition,0.011731042782619834,5.520234050150443e-06,5.408112529735848e-06,4.299467397137405e-06,1.1086451325984433e-06,9.557677223776659e-06,0.4564987360495844,0.4524519931739602,-0.00029769613698893416,-1.6165057222867671e-06,0.45245042241876515,-0.0002992668921839581,-1.6284729183415508e-06,0.1037037037037037,0.09054993786218983
5,transition,0.08826895721738015,6.161031428219906e-06,5.316651060137563e-06,4.224477779260618e-06,1.0921732808769433e-06,9.565994599923567e-06,0.4526710713001676,0.44957283554468086,-0.00029317171784959406,-1.600356352043995e-06,0.4495697285321333,-0.00029627873039717034,-1.6194284354866992e-06,0.13703703703703704,0.08997320145250609
6,transition,0.1,6.186342354996033e-06,5.231379324606937e-06,4.148691385421543e-06,1.0826879391853933e-06,9.549630303890959e-06,0.4502586094068767,0.447679812855851,-0.00029015256956999025,-1.5893377271927029e-06,0.4476759214823643,-0.0002940439430567099,-1.6117863455186157e-06,0.16296296296296298,0.0895939930850842
7,hybrid,0.1,6.1071857470023385e-06,5.156776507388424e-06,4.080933195914563e-06,1.0758433114738607e-06,9.504092396139145e-06,0.44855965458046637,0.44627936401422974,-0.00028816391063435365,-1.5818218137064256e-06,0.44627475521931337,-0.00029277270555072565,-1.6075274840917384e-06,0.18518518518518517,0.08931350558497282
8,hybrid,0.1,6.027236395536601e-06,5.082271766008874e-06,4.011898272427063e-06,1.070373493581812e-06,9.449646295277265e-06,0.4472616290087085,0.44514961263587877,-0.00028689062390657716,-1.5768285759366896e-06,0.4451447472252359,-0.00029175603454945076,-1.603453344377288e-06,0.2074074074074074,0.08908730065195707
9,hybrid,0.1,5.946586717588763e-06,5.0095886575798314e-06,3.944517455781388e-06,1.0650712017984438e-06,9.36998060008931e-06,0.4461974612634677,0.4441556767785477,-0.00028612807103178817,-1.5735482436449741e-06,0.4441505724632158,-0.0002912323863636934,-1.6011132524874666e-06,0.2222222222222222,0.08888836096991591
10,hybrid,0.1,5.870110150194611e-06,4.939709655726182e-06,3.880250848855902e-06,1.0594588068702809e-06,9.304004944684291e-06,0.4452262258693377,0.44323741703358355,-0.00028604674787013895,-1.5731145671690045e-06,0.44323244130714756,-0.00029102247430612405,-1.5997137284590342e-06,0.23333333333333334,0.08870469275629074
11,hybrid,0.1,5.787978934236455e-06,4.865221232370602e-06,3.8108687892835625e-06,1.0543524430870405e-06,9.22757701865853e-06,0.44437573647190287,0.44235761200213564,-0.0002860859305411356,-1.5726330102211765e-06,0.44235260089444917,-0.0002910970382276057,-1.5991970567657578e-06,0.24814814814814815,0.08852873958653536
12,hybrid,0.1,5.709308991293573e-06,4.7947957764546265e-06,3.7471132459493915e-06,1.0476825305052347e-06,9.14513214838947e-06,0.44350867500662394,0.4415050892692261,-0.00028641073656920923,-1.5730689448245063e-06,0.44150013401921645,-0.00029136598657886204,-1.5991590346244684e-06,0.26666666666666666,0.08835830000115907
13,hybrid,0.1,5.640352097932277e-06,4.73502942164014e-06,3.689687136493283e-06,1.0453422851468572e-06,9.05322676292136e-06,0.4426532369120258,0.44066223909602104,-0.000287116107487273,-1.5749570511171035e-06,0.44065743489711084,-0.000291920306397464,-1.600100111331861e-06,0.2814814814814815,0.08818987104070167
14,hybrid,0.1,5.57136516056539e-06,4.672290419131391e-06,3.6313737638939203e-06,1.0409166552374712e-06,8.990747414339983e-06,0.44188635349802335,0.4398328980483712,-0.00028759049486593025,-1.5751959284075019e-06,0.4398282498522483,-0.00029223869098887745,-1.599346010102673e-06,0.29259259259259257,0.08802409770864743
15,hybrid,0.1,5.5055699132688625e-06,4.61546220973692e-06,3.578444642312142e-06,1.0370175674247776e-06,8.901077035319426e-06,0.441057802833988,0.43900956003309566,-0.0002886477403672427,-1.578000818329336e-06,0.4390052181530273,-0.00029298962043561305,-1.6003826145307007e-06,0.3,0.08785964155469257
16,hybrid,0.1,5.439960642241046e-06,4.556937324026186e-06,3.524381682297113e-06,1.0325556417290739e-06,8.830233182148597e-06,0.4402317258916767,0.43819233277184677,-0.00028879413983284863,-1.5755440550815284e-06,0.4381880730876647,-0.00029305382401489943,-1.59738558213918e-06,0.3148148148148148,0.08769622538233592
17,hybrid,0.1,5.369524972284382e-06,4.49466978667516e-06,3.466992028759805e-06,1.0276777579153549e-06,8.748551856092228e-06,0.4393970929565416,0.4373817653366612,-0.00028936876855534255,-1.5749003464895649e-06,0.43737759869543025,-0.0002935354097862719,-1.5961492569047445e-06,0.3333333333333333,0.08753422682104331
18,hybrid,0.1,5.311371197115314e-06,4.443730423879908e-06,3.4189806382876495e-06,1.024749785592258e-06,8.676407732354054e-06,0.43859886207480603,0.4365816876171154,-0.00029011185910243764,-1.5747009141680235e-06,0.43657763991470433,-0.0002941595615135184,-1.5952177857696845e-06,0.34074074074074073,0.08737435989524357
19,hybrid,0.1,5.245400049220838e-06,4.385024772411376e-06,3.3658669153567595e-06,1.0191578570546171e-06,8.603752768094614e-06,0.43783596258846724,0.43578274217057245,-0.00029061029335025745,-1.5729907248051775e-06,0.4357786138760375,-0.0002947385878852016,-1.5938485160342736e-06,0.34814814814814815,0.08721467049278454
20,hybrid,0.1,5.180978950747307e-06,4.3293708853443356e-06,3.314115506946325e-06,1.0152553783980108e-06,8.516080654029704e-06,0.4370567083095668,0.43498554224376235,-0.0002920873335228724,-1.5759364401762952e-06,0.4349815827278188,-0.0002960468494664359,-1.5958162144947695e-06,0.3592592592592593,0.08705552591545705
21,hybrid,0.1,5.129542203681335e-06,4.282427255966008e-06,3.2715879406254746e-06,1.0108393153405336e-06,8.471149477153268e-06,0.4362313250273878,0.4341938804226883,-0.0002928488595805301,-1.5749983139922731e-06,0.43419009958516125,-0.0002966296971075866,-1.593798096005309e-06,0.37037037037037035,0.08689734585645377
22,hybrid,0.1,5.067293107149416e-06,4.228896653642776e-06,3.22061268198293e-06,1.008283971659846e-06,8.383964535066403e-06,0.435507292213728,0.43340725870486424,-0.00029391388033667143,-1.5752705489122912e-06,0.43340363916362273,-0.00029753342157817775,-1.59311680583975e-06,0.37777777777777777,0.08674023451704019
23,hybrid,0.1,5.01543612276591e-06,4.183920467743891e-06,3.179697160594631e-06,1.0042233071492606e-06,8.31515655022018e-06,0.434683522646521,0.43262475488429536,-0.00029583079472694784,-1.5795055946412468e-06,0.43262143856018537,-0.0002991471188369399,-1.595677472384006e-06,0.3925925925925926,0.08658411713580445
24,hybrid,0.1,4.95749682714491e-06,4.132805376918683e-06,3.1322232318444448e-06,1.0005821450742381e-06,8.24691450226228e-06,0.43395436348060457,0.4318516152750691,-0.00029704290297477565,-1.5798050771316486e-06,0.43184815254853104,-0.0003005056295128372,-1.5966766698304144e-06,0.40370370370370373,0.08642973163560877
25,hybrid,0.1,4.904919937305522e-06,4.08703062096239e-06,3.0894193011413986e-06,9.97611319820992e-07,8.178893163431322e-06,0.43320661920074366,0.43108088233482306,-0.0002981658505755158,-1.5796490720934966e-06,0.43107744361045214,-0.00030160457494643467,-1.596274735652227e-06,0.4148148148148148,0.08627580963707972
26,hybrid,0.1,4.85601458708095e-06,4.042891892856003e-06,3.050520713985199e-06,9.923711788708046e-07,8.131226942249471e-06,0.43247873691504657,0.4303192670128069,-0.0002993300356081696,-1.5794143575541882e-06,0.43031590364787875,-0.00030269340053634686,-1.5955336211881312e-06,0.4185185185185185,0.08612371940968302
27,hybrid,0.1,4.803050037696788e-06,3.996720380371817e-06,3.008596883454457e-06,9.881234969173596e-07,8.063296573249713e-06,0.4317162148301471,0.42955742281399006,-0.00030064331993850946,-1.5797957637705311e-06,0.42955424962478744,-0.00030381650914113045,-1.5947987912550093e-06,0.4185185185185185,0.08597161322678572
28,hybrid,0.1,4.756870005616934e-06,3.9571035625577955e-06,2.969950111758863e-06,9.871534507989316e-07,7.997664430591397e-06,0.4309165089977626,0.42880471958701527,-0.0003019664460554572,-1.5797186351159125e-06,0.42880135156091576,-0.0003053344721549722,-1.5956763118936553e-06,0.43703703703703706,0.08582133720661415
29,hybrid,0.1,4.7087894301514034e-06,3.915673364552757e-06,2.93322946098863e-06,9.824439035641271e-07,7.931160655986455e-06,0.4302582372345589,0.4280490721090111,-0.00030412630017612186,-1.583823921011212e-06,0.4280459203587148,-0.00030727805047242596,-1.5985925436658882e-06,0.4444444444444444,0.08567063968183744
30,hybrid,0.1,4.667858212584128e-06,3.879400368907603e-06,2.8997805707935998e-06,9.796197981140025e-07,7.884578436765254e-06,0.429459052902625,0.4272983756179141,-0.0003058767768064352,-1.585669175122018e-06,0.4272955336418166,-0.000308718752903947,-1.5987370230331332e-06,0.44814814814814813,0.08552085047894412
31,hybrid,0.1,4.62105278526377e-06,3.838974964956815e-06,2.8622180721901274e-06,9.767568927666868e-07,7.820778203069557e-06,0.42872685209718053,0.4265588498240597,-0.0003073709370856603,-1.5860130615471591e-06,0.4265557966392912,-0.00031042412185416923,-1.6000983942545072e-06,0.45925925925925926,0.08537324415222908
32,hybrid,0.1,4.580326460530599e-06,3.803018336667239e-06,2.8288892430898094e-06,9.7412909357743e-07,7.773081238633596e-06,0.4280421198973242,0.42582325517041536,-0.0003091051680826906,-1.5874486639376776e-06,0.4258202089729832,-0.00031215136551482336,-1.6014162181744826e-06,0.4666666666666667,0.08522647206769961
33,hybrid,0.1,4.536240919470618e-06,3.76506060170237e-06,2.793851839415199e-06,9.712087622871706e-07,7.71180317768249e-06,0.4273587763001623,0.4250927776332365,-0.0003112574328207329,-1.5907663842460124e-06,0.4250898165019856,-0.0003142185640716555,-1.604223484969158e-06,0.4740740740740741,0.08508080701321144
