epoch,stage,lambda_id,alpha,lambda_traj_curr,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,4.493656037904779e-06,4.493656037904779e-06,2.4738491371164604e-06,2.0198069007883185e-06,6.762819587502695e-06,0.0,0.495335591577503,0.48319073473143526,-9.264746652459799e-05,-4.722473462792599e-07,0.48318405820170673,-9.932399625312005e-05,-5.051966721226619e-07,0.1037037037037037,0.09665667643959197
2,warmup,0.0,0.25,0.1,4.4265742785962495e-06,4.38942625669854e-06,2.447050073458827e-06,1.9423761832397124e-06,6.814925452526398e-06,3.7148021897710194e-07,0.47573674806048283,0.46798024601702737,-9.826113712213536e-05,-5.081864969051341e-07,0.46797386717191924,-0.00010463998223025905,-5.406623959023347e-07,0.1,0.0936157014308299
3,warmup,0.0,0.25,0.1,4.345744766844082e-06,4.308403817307235e-06,2.42086939137618e-06,1.887534425931055e-06,6.8524313915122125e-06,3.734094953684646e-07,0.46309054979151343,0.45796078371871435,-0.00010494515784442715,-5.483244450335653e-07,0.4579547023525176,-0.00011102652404115787,-5.798030607318547e-07,0.1,0.09161314577531175
4,transition,0.011731042782619834,0.25,0.1,4.364880700747083e-06,4.246428465281911e-06,2.3955953432916742e-06,1.8508331219902363e-06,6.894977909708892e-06,3.7566954621158276e-07,0.45473029867840237,0.4512239115893854,-0.0001107728453776935,-5.828956470613472e-07,0.4512178906048284,-0.00011679382993468046,-6.143146964084632e-07,0.11851851851851852,0.09026693688695263
5,transition,0.08826895721738015,0.25,0.1,4.850404005264807e-06,4.204356717730706e-06,2.3738999394391037e-06,1.8304567782916027e-06,6.893621493752899e-06,3.7554506829214484e-07,0.448993995504959,0.446450874472634,-0.00011699993889779936,-6.186155356519897e-07,0.44644497053202015,-0.00012290387951163773,-6.495121960700353e-07,0.13333333333333333,0.08931357488230636
6,transition,0.1,0.25,0.1,4.8876884978998005e-06,4.159381900683423e-06,2.351294620157827e-06,1.8080872805255953e-06,6.906842520608621e-06,3.762234515551601e-07,0.444772211518082,0.44290752226773283,-0.00012322869454045593,-6.535490268300842e-07,0.44290175588461916,-0.000128995077654126,-6.836999545446222e-07,0.14814814814814814,0.08860615019245466
7,hybrid,0.1,0.25,0.1,4.8429892785006205e-06,4.1167141446073535e-06,2.326830642734761e-06,1.7898835018725917e-06,6.88768903176424e-06,3.750623071684404e-07,0.4415679147440252,0.4401367578013303,-0.00012898105720671182,-6.851816257571293e-07,0.4401311259239002,-0.00013461293463684632,-7.145410238842693e-07,0.15925925925925927,0.0880531477717074
8,hybrid,0.1,0.25,0.1,4.804329150701429e-06,4.080488567449382e-06,2.30615041387675e-06,1.7743381535726325e-06,6.864653446639204e-06,3.7375238588126493e-07,0.4390625129217586,0.4378536818303142,-0.00013464859053397005,-7.155565865702991e-07,0.43784818452493435,-0.00014014589591382354,-7.440837073583785e-07,0.17777777777777778,0.08759766608416963
9,hybrid,0.1,0.25,0.1,4.763685290466837e-06,4.043539153172186e-06,2.2830475215318426e-06,1.7604916316403437e-06,6.829737503595063e-06,3.717238693514363e-07,0.4369047747363341,0.43587909329899005,-0.00013977515601104606,-7.423583163667855e-07,0.4358736903530647,-0.00014517810193637182,-7.702502181121612e-07,0.2074074074074074,0.08720377369100021
10,hybrid,0.1,0.25,0.1,4.719429610574934e-06,4.004205450397448e-06,2.2603295335977068e-06,1.7438759167997416e-06,6.78317055188207e-06,3.69071049892786e-07,0.43489230249550415,0.43409383817150005,-0.00014474455928015217,-7.676533244028387e-07,0.4340885244166793,-0.0001500583141009204,-7.949301402663557e-07,0.24074074074074073,0.08684771654615604
11,hybrid,0.1,0.25,0.1,4.686247880188053e-06,3.975448558724011e-06,2.239369643928026e-06,1.736078914795985e-06,6.7413244764470034e-06,3.666687381934287e-07,0.4330861151039783,0.4324395838300223,-0.0001497833317372077,-7.927466540635843e-07,0.43243439097850506,-0.00015497618325444051,-8.192229583498282e-07,0.26296296296296295,0.0865178734323519
