epoch,stage,lambda_id,alpha,lambda_traj_curr,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,5.760354152368148e-06,5.760354152368148e-06,4.51137726998357e-06,1.2489768823845782e-06,9.254591104749688e-06,0.0,0.4969422812660861,0.48066046626067477,-0.00034057570431250683,-1.7744445246698545e-06,0.4806781396145945,-0.00032290235039278414,-1.693976774636935e-06,0.1,0.09620020839299745
2,warmup,0.0,1.0,0.0,5.61063517970809e-06,5.61063517970809e-06,4.437819479320266e-06,1.172815700387822e-06,9.398670525013403e-06,0.0,0.47511631037150714,0.46548470523443825,-0.0003188046941933198,-1.6956015618665803e-06,0.46549174143111904,-0.0003117684975125212,-1.6660716308644825e-06,0.1,0.09316070198572632
3,warmup,0.0,1.0,0.0,5.4942075241718355e-06,5.4942075241718355e-06,4.362747790523783e-06,1.1314597336480535e-06,9.485707978322533e-06,0.0,0.4632492863020463,0.45718739422665267,-0.0003061626492130154,-1.6489933331235822e-06,0.45718887483058535,-0.0003046820452803356,-1.646304644486264e-06,0.1,0.09149871137517314
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,5.623294844518231e-06,5.407490001031157e-06,4.2988322158048786e-06,1.1086577852262789e-06,9.556090582375898e-06,4.419979449067913e-06,0.4564987269176245,0.4524519651944853,-0.00029771976830034186,-1.6166247472984563e-06,0.4524503967738419,-0.0002992881889437027,-1.6285798632204203e-06,0.1037037037037037,0.09054993699255712
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,6.495714357623971e-06,5.312332917857405e-06,4.220063969357331e-06,1.0922689485000744e-06,9.552554487292218e-06,1.9269935158138032e-06,0.4526709774267322,0.4495726635159523,-0.00029332081466809656,-1.6011257684854974e-06,0.44956958460429386,-0.0002963997263265572,-1.6200517364745352e-06,0.13703703703703704,0.08997319686612408
6,transition,0.1,0.5,0.2,6.491635160634416e-06,5.220579390130209e-06,4.137788356694771e-06,1.082791033435439e-06,9.514040329554231e-06,1.5982586877439147e-06,0.45025840868503486,0.4476794688838652,-0.00029043789463351066,-1.5908165331908778e-06,0.44767563485508827,-0.0002942719234104163,-1.6129657472288615e-06,0.16296296296296298,0.08959398135569974
7,hybrid,0.1,0.5,0.2,6.400680224746662e-06,5.139759599423737e-06,4.063768751747035e-06,1.0759908476767013e-06,9.446401403789028e-06,1.58140242472011e-06,0.448559364427224,0.4462788320484695,-0.00028858705011802765,-1.584018973859949e-06,0.44627431028747916,-0.00029310881110838904,-1.60926894071157e-06,0.18518518518518517,0.0893134838197175
8,hybrid,0.1,0.5,0.2,6.309167317421354e-06,5.059422015873315e-06,3.988917429814785e-06,1.0705045860585284e-06,9.370690454772714e-06,1.5633812803538438e-06,0.4472612448992179,0.4451488991064809,-0.000287447572098698,-1.5797217167308453e-06,0.4451441506500954,-0.0002921960284842373,-1.60573297430363e-06,0.2074074074074074,0.08908726933571592
9,hybrid,0.1,0.5,0.2,6.2168490824549265e-06,4.981379796943883e-06,3.916123456229392e-06,1.0652563407144918e-06,9.270797314639119e-06,1.5419477702356508e-06,0.44619703422467705,0.44415478535436176,-0.00028681502155553096,-1.5771168706921353e-06,0.44414982780033074,-0.00029177257558654635,-1.6039111520733105e-06,0.2222222222222222,0.08888832007518346
10,hybrid,0.1,0.5,0.2,6.129475350257503e-06,4.9064447873753195e-06,3.846786757498715e-06,1.059658029876605e-06,9.185413744006765e-06,1.5224459424075336e-06,0.4452256074039286,0.44323638391718306,-0.00028685122383054207,-1.577289266203359e-06,0.44323158465539875,-0.0002916504856148583,-1.6029612586880614e-06,0.23333333333333334,0.08870464702820273
