run_index,method_name,stage_name,seed,run_id,run_config_path,run_summary_path,candidate_name,transport_family,residual_branch_structure,explicit_transport_drift_decomposition_enabled,trajectory_curriculum_enabled,endpoint_semigroup_consistency_enabled,contract_fusion_enabled,target_reconstruction_enabled,midpoint_reconstruction_enabled,continuation_reevaluated_at_reconstructed_midpoint,main_trajectory_contract_identity,semigroup_consistency_is_auxiliary_only,exact_detached_target_barycentric_fusion_enabled,trajectory_curriculum_schedule_identity,lambda_traj_curr,lambda_sg,alpha_floor,alpha_warmup_epochs,alpha_ramp_epochs,mean_midpoint_reconstruction_shift_norm,mean_continuation_reevaluation_shift_norm,mean_semigroup_endpoint_closure_residual_norm,configured_transport_steps,one_step_energy_delta_vs_identity,configured_step_energy_delta_vs_identity,configured_step_fixed_point_residual_delta_vs_identity,one_step_energy_delta_vs_local_field_only,configured_step_energy_delta_vs_local_field_only,configured_step_fixed_point_residual_delta_vs_local_field_only,val_accuracy,test_accuracy,val_output_mse,test_output_mse,selected_epoch,total_training_epochs,selection_hits_final_training_boundary,runtime_proxy_seconds,acceptance_contract,mechanism_signal_positive,config_json_exists,summary_json_exists,epoch_metrics_csv_exists,seed_matches,dataset_matches,batch_protocol_matches,deterministic_artifact_checks_passed,model_protocol_matches,transport_protocol_matches
1,stage_05_two_branch_corrected_residual_core_v2,FMPC Stage 05 EF Core Probe v2 Control,0,seed_0,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_0/config.json,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_0/summary.json,,two_branch_residual_meanflow_core,two_branch,False,False,False,False,False,False,False,,,False,,,,,,,0.0,0.0,0.0,2,-0.004507611183461407,-0.004484467187593294,-1.6489675949878818e-05,-0.0006290120762414975,-0.0006210113257488215,-1.5665190186074348e-06,0.8666666666666667,0.8962962962962963,0.04332108483120232,0.04174284106159174,1536,1536,True,238.94955849999678,mechanism_first,True,True,True,True,True,True,True,True,True,True
2,stage05_v3c_stronger_semigroup_weight,FMPC Stage 05 EF Core Probe Active Refined v3-C Reference,0,seed_0,outputs/stage_05_ef_core_probe/stage05_v3c_refinement_diagnostic/runs/stage05_v3c_stronger_semigroup_weight/seed_0/config.json,outputs/stage_05_ef_core_probe/stage05_v3c_refinement_diagnostic/runs/stage05_v3c_stronger_semigroup_weight/seed_0/summary.json,stage05_v3c_stronger_semigroup_weight,two_branch_residual_meanflow_core,two_branch,True,True,True,False,False,False,False,,,False,warmup_sigmoid_to_alpha_floor,0.2,0.1,0.5,3,3,0.0,0.0,0.0,2,-0.005158794781505438,-0.005132732974487769,-1.9439701848100255e-05,-0.000697116121778335,-0.0006902540624894038,-1.7831230790146379e-06,0.8407407407407408,0.8777777777777778,0.043574106023699495,0.042062596775203624,1536,1536,True,807.0828778000068,mechanism_first,True,True,True,True,True,True,True,False,True,False
3,stage05_v3c_endpoint_line_continuation_blend_trajectory_contract,FMPC Stage 05 EF Core Probe Endpoint-Line Continuation-Blend v3-C Predecessor,0,seed_0,outputs/stage_05_ef_core_probe/stage05_v2_active_v3c_endpoint_line_continuation_blend_contract_comparison/runs/stage05_v3c_endpoint_line_continuation_blend_trajectory_contract/seed_0/config.json,outputs/stage_05_ef_core_probe/stage05_v2_active_v3c_endpoint_line_continuation_blend_contract_comparison/runs/stage05_v3c_endpoint_line_continuation_blend_trajectory_contract/seed_0/summary.json,stage05_v3c_endpoint_line_continuation_blend_trajectory_contract,two_branch_residual_meanflow_core,two_branch,True,True,True,False,True,True,True,endpoint_line_midpoint_with_continuation_target_blend_semigroup_internalized_trajectory_contract,False,False,warmup_sigmoid_to_alpha_floor,0.2,0.1,0.5,3,3,0.0005566790181971853,1.4196786873024242e-05,0.0012318724889163295,2,-0.005237586364422675,-0.005210680539926682,-1.9840946802527357e-05,-0.0007000658229593115,-0.0006929186604573423,-1.8208871849210474e-06,0.8444444444444444,0.8777777777777778,0.04362086306232216,0.04208922460968797,1536,1536,True,638.5626280999859,mechanism_first,True,True,True,True,True,True,True,True,True,True
4,stage05_v3c_scaled_continuation_blend_trajectory_contract,FMPC Stage 05 EF Core Probe Scaled Continuation-Blend v3-C Candidate,0,seed_0,runs/stage05_v3c_scaled_continuation_blend_trajectory_contract/seed_0/config.json,runs/stage05_v3c_scaled_continuation_blend_trajectory_contract/seed_0/summary.json,stage05_v3c_scaled_continuation_blend_trajectory_contract,two_branch_residual_meanflow_core,two_branch,True,True,True,False,True,True,True,endpoint_line_midpoint_with_scaled_continuation_blend_contract,False,False,warmup_sigmoid_to_alpha_floor,0.2,0.1,0.5,3,3,0.0005576894788686733,1.4306209192951493e-05,0.0010379517849654738,2,-0.005269645537911177,-0.005242174980309544,-1.9989429594682298e-05,-0.000704310964347199,-0.0006967928607755636,-1.8475468547037976e-06,0.8444444444444444,0.8777777777777778,0.043634624292564525,0.042091087130051,1536,1536,True,980.0385764999664,mechanism_first,True,True,True,True,True,True,True,True,,
5,stage_05_two_branch_corrected_residual_core_v2,FMPC Stage 05 EF Core Probe v2 Control,1,seed_1,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_1/config.json,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_1/summary.json,,two_branch_residual_meanflow_core,two_branch,False,False,False,False,False,False,False,,,False,,,,,,,0.0,0.0,0.0,2,-0.005591762593272931,-0.005596636006970496,-2.0644925842656448e-05,-0.0008342403750832839,-0.000859345995329247,-2.631777590503823e-06,0.9148148148148149,0.8888888888888888,0.04329138819458572,0.04298385814833558,1536,1536,True,241.8661645999964,mechanism_first,True,True,True,True,True,True,True,True,True,True
6,stage05_v3c_stronger_semigroup_weight,FMPC Stage 05 EF Core Probe Active Refined v3-C Reference,1,seed_1,outputs/stage_05_ef_core_probe/stage05_v3c_refinement_diagnostic/runs/stage05_v3c_stronger_semigroup_weight/seed_1/config.json,outputs/stage_05_ef_core_probe/stage05_v3c_refinement_diagnostic/runs/stage05_v3c_stronger_semigroup_weight/seed_1/summary.json,stage05_v3c_stronger_semigroup_weight,two_branch_residual_meanflow_core,two_branch,True,True,True,False,False,False,False,,,False,warmup_sigmoid_to_alpha_floor,0.2,0.1,0.5,3,3,0.0,0.0,0.0,2,-0.007214335410972689,-0.007189526871973689,-2.699722215824228e-05,-0.0012326268975328403,-0.0012367478355763961,-3.995493852607156e-06,0.9148148148148149,0.8925925925925926,0.046168944973238084,0.04557112606902508,1536,1536,True,784.1539175000071,mechanism_first,True,True,True,True,True,True,True,False,True,False
7,stage05_v3c_endpoint_line_continuation_blend_trajectory_contract,FMPC Stage 05 EF Core Probe Endpoint-Line Continuation-Blend v3-C Predecessor,1,seed_1,outputs/stage_05_ef_core_probe/stage05_v2_active_v3c_endpoint_line_continuation_blend_contract_comparison/runs/stage05_v3c_endpoint_line_continuation_blend_trajectory_contract/seed_1/config.json,outputs/stage_05_ef_core_probe/stage05_v2_active_v3c_endpoint_line_continuation_blend_contract_comparison/runs/stage05_v3c_endpoint_line_continuation_blend_trajectory_contract/seed_1/summary.json,stage05_v3c_endpoint_line_continuation_blend_trajectory_contract,two_branch_residual_meanflow_core,two_branch,True,True,True,False,True,True,True,endpoint_line_midpoint_with_continuation_target_blend_semigroup_internalized_trajectory_contract,False,False,warmup_sigmoid_to_alpha_floor,0.2,0.1,0.5,3,3,0.0005784035772386585,1.5120166925591233e-05,0.0012940753682876094,2,-0.007360891810475251,-0.007334131320760606,-2.7523696970275114e-05,-0.0012696644396028023,-0.0012726061829456403,-4.118621177174155e-06,0.9111111111111111,0.8925925925925926,0.04654692361875429,0.04594227255817362,1536,1536,True,645.7998236999993,mechanism_first,True,True,True,True,True,True,True,True,True,True
8,stage05_v3c_scaled_continuation_blend_trajectory_contract,FMPC Stage 05 EF Core Probe Scaled Continuation-Blend v3-C Candidate,1,seed_1,runs/stage05_v3c_scaled_continuation_blend_trajectory_contract/seed_1/config.json,runs/stage05_v3c_scaled_continuation_blend_trajectory_contract/seed_1/summary.json,stage05_v3c_scaled_continuation_blend_trajectory_contract,two_branch_residual_meanflow_core,two_branch,True,True,True,False,True,True,True,endpoint_line_midpoint_with_scaled_continuation_blend_contract,False,False,warmup_sigmoid_to_alpha_floor,0.2,0.1,0.5,3,3,0.0005803341047247745,1.5178104636223383e-05,0.0010995621558504962,2,-0.007403997231918091,-0.007376351523255109,-2.768609887367885e-05,-0.0012818941518349114,-0.001284178526230001,-4.160278472897317e-06,0.9111111111111111,0.8925925925925926,0.04666895335105084,0.0460625918275394,1536,1536,True,1050.6998804000323,mechanism_first,True,True,True,True,True,True,True,True,,
9,stage_05_two_branch_corrected_residual_core_v2,FMPC Stage 05 EF Core Probe v2 Control,2,seed_2,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_2/config.json,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_2/summary.json,,two_branch_residual_meanflow_core,two_branch,False,False,False,False,False,False,False,,,False,,,,,,,0.0,0.0,0.0,2,-0.00487981658385514,-0.00486055991044701,-1.8220763446024713e-05,-0.000871513315537864,-0.0008680479489653614,-2.9133376306760255e-06,0.8814814814814815,0.8777777777777778,0.04361221344086134,0.042165311853905395,1536,1536,True,242.07117700000526,mechanism_first,True,True,True,True,True,True,True,True,True,True
10,stage05_v3c_stronger_semigroup_weight,FMPC Stage 05 EF Core Probe Active Refined v3-C Reference,2,seed_2,outputs/stage_05_ef_core_probe/stage05_v3c_refinement_diagnostic/runs/stage05_v3c_stronger_semigroup_weight/seed_2/config.json,outputs/stage_05_ef_core_probe/stage05_v3c_refinement_diagnostic/runs/stage05_v3c_stronger_semigroup_weight/seed_2/summary.json,stage05_v3c_stronger_semigroup_weight,two_branch_residual_meanflow_core,two_branch,True,True,True,False,False,False,False,,,False,warmup_sigmoid_to_alpha_floor,0.2,0.1,0.5,3,3,0.0,0.0,0.0,2,-0.005618754623197164,-0.005589605228547956,-2.166840809314464e-05,-0.0008391198584803972,-0.0008313319331390012,-2.682990160829358e-06,0.8851851851851852,0.8814814814814815,0.04491948345494925,0.04352564538430171,1536,1536,True,737.205248600003,mechanism_first,True,True,True,True,True,True,True,False,True,False
