epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_continuation_target_blend_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_mean_predictor_semigroup_defect_norm,train_mean_corrected_semigroup_defect_norm,train_mean_first_projection_short_leg_correction_norm,train_mean_first_projection_continuation_correction_norm,train_mean_second_projection_short_leg_correction_norm,train_mean_second_projection_continuation_correction_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,3.947274854337233e-06,3.947274854337233e-06,2.6285696169553465e-06,1.3187052373818871e-06,8.313557555205965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4844506297336232,0.47660891231406244,-1.4053423277593513e-05,-6.351905264530906e-08,0.47662925607014767,6.290332807634691e-06,4.3837091600462804e-08,0.12222222222222222,0.095324593147468
2,warmup,0.0,1.0,0.0,0.0,3.822787865699453e-06,3.822787865699453e-06,2.596967811182164e-06,1.2258200545172897e-06,8.16122535781399e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46815520111942455,0.46405594373467657,-3.729275989683423e-05,-1.8566712247852844e-07,0.4640724625648951,-2.0773929678308267e-05,-9.677607127014823e-08,0.15185185185185185,0.09281864729891469
3,warmup,0.0,1.0,0.0,0.0,3.733489964112198e-06,3.733489964112198e-06,2.5662978293133437e-06,1.1671921347988553e-06,8.04164476612931e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457702112876275,0.4560596877403736,-5.007544529517238e-05,-2.5482063939502196e-07,0.456072347489141,-3.7415696527765e-05,-1.855032892445754e-07,0.15185185185185185,0.09122195263713374
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.1,3.751772077736953e-06,3.6559789225480902e-06,2.5279856397308216e-06,1.1279932828172687e-06,7.930957659377228e-06,3.870355236429221e-06,1.4953819678539408e-08,2.754751579562539e-09,0.004085431715978477,4.1726562714376506e-05,0.036959244009744784,0.00019618944751813883,0.0,0.0,0.0,0.0,0.0,0.0,0.4511316107945348,0.4508054312199958,-5.626773650052597e-05,-2.8910252477761834e-07,0.4508146945580085,-4.700439848781546e-05,-2.3749390121058389e-07,0.1814814814814815,0.09017233979129927
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.1,4.437123826166778e-06,3.577268945740472e-06,2.477088939398265e-06,1.100180006342207e-06,7.775100602788838e-06,1.6569893192042329e-06,2.969829445410502e-07,1.7355485795791126e-07,0.0008665698605315228,8.352594591576734e-06,0.0023685212961004473,0.0013214077680885883,0.0,0.0,0.0,0.0,0.0,0.0,0.44669064081734355,0.4471550099356561,-6.007903624227762e-05,-3.1016589806704157e-07,0.4471614766325218,-5.361233937656307e-05,-2.734120354221548e-07,0.18518518518518517,0.08944301779437967
6,transition,0.1,0.5,0.2,0.1,4.44127516603358e-06,3.503093865605907e-06,2.42425669949694e-06,1.0788371661089675e-06,7.615561296669594e-06,1.3458649110019488e-06,3.0494860840548004e-07,1.766251707607131e-07,0.000702232873882631,6.727143769741494e-06,0.0017165494672020816,0.0012512451676050347,0.0,0.0,0.0,0.0,0.0,0.0,0.44349998423508313,0.44448379309983393,-6.206110892670313e-05,-3.209215450526129e-07,0.4444880383329683,-5.781587579234415e-05,-2.9609520923483596e-07,0.1925925925925926,0.08890917084175214
7,hybrid,0.1,0.5,0.2,0.1,4.357792745852179e-06,3.4380317703382294e-06,2.3735241773157385e-06,1.0645075930224913e-06,7.461939237585636e-06,1.3150556153003538e-06,3.047293629858659e-07,1.735670517553854e-07,0.0006950026870356182,6.622783703000543e-06,0.0017002067734174185,0.0012398680228286826,0.0,0.0,0.0,0.0,0.0,0.0,0.44099657172496676,0.44241207103137264,-6.29094955370002e-05,-3.2516601185004026e-07,0.44241454225204446,-6.043827486518216e-05,-3.099241881628881e-07,0.2037037037037037,0.08849499610538192
8,hybrid,0.1,0.5,0.2,0.1,4.281613119660138e-06,3.376805388164618e-06,2.3261582550242604e-06,1.0506471331403575e-06,7.337691534512951e-06,1.2891001606223014e-06,3.0454166588214765e-07,1.710385780442249e-07,0.0006880679238675056,6.532284886967701e-06,0.0016849917739567813,0.001228914876800657,0.0,0.0,0.0,0.0,0.0,0.0,0.43916127411247546,0.44070595460611994,-6.329938438104366e-05,-3.26651378146337e-07,0.44070696949650573,-6.228449399525715e-05,-3.1928024873744635e-07,0.21481481481481482,0.08815385079810019
9,hybrid,0.1,0.5,0.2,0.1,4.212595807321414e-06,3.32325123008986e-06,2.282298811970041e-06,1.0409524181198188e-06,7.208772327488639e-06,1.2635065567363032e-06,3.043394968979329e-07,1.684673444826912e-07,0.0006821637486210497,6.448454324466441e-06,0.0016718589513116237,0.001219823123320787,0.0,0.0,0.0,0.0,0.0,0.0,0.4375909847779903,0.4392244037094941,-6.365726085699741e-05,-3.277026076840546e-07,0.43922418938223934,-6.387158811177462e-05,-3.2695189991502143e-07,0.22962962962962963,0.08785761219407022
10,hybrid,0.1,0.5,0.2,0.1,4.141862285727616e-06,3.268647809020662e-06,2.2381579727007364e-06,1.0304898363199264e-06,7.073945937945049e-06,1.237241923531176e-06,3.0413108692552085e-07,1.6581988291244828e-07,0.0006764092241289411,6.366789187463898e-06,0.0016586660671635272,0.0012108724692719212,0.0,0.0,0.0,0.0,0.0,0.0,0.43608393999245554,0.4378752204033082,-6.426944900644882e-05,-3.2975538285213795e-07,0.43787427198616136,-6.521786615326652e-05,-3.3299082847533393e-07,0.2518518518518518,0.08758789797046293
