epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,4.493656037904779e-06,4.493656037904779e-06,2.4738491371164604e-06,2.0198069007883185e-06,6.762819587502695e-06,0.0,0.0,0.0,0.495335591577503,0.48319073473143526,-9.264746652459799e-05,-4.722473462792599e-07,0.48318405820170673,-9.932399625312005e-05,-5.051966721226619e-07,0.1037037037037037,0.09665667643959197
2,warmup,0.0,1.0,0.0,0.0,4.389957985811562e-06,4.389957985811562e-06,2.4474825741230954e-06,1.9424754116884674e-06,6.816827356115794e-06,0.0,0.0,0.0,0.47573674806048283,0.4679802991513115,-9.820800283799613e-05,-5.079184827166006e-07,0.4679739151923832,-0.00010459196176632046,-5.404195986554274e-07,0.1,0.0936157014308299
3,warmup,0.0,1.0,0.0,0.0,4.3101318234686984e-06,4.3101318234686984e-06,2.422277034151459e-06,1.88785478931724e-06,6.858573364562639e-06,0.0,0.0,0.0,0.46309054979151343,0.4579608781238024,-0.00010485075275640243,-5.478411410232817e-07,0.45795478655559124,-0.00011094232096753309,-5.793707302127868e-07,0.1,0.09161314577531175
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.1,4.361462692766159e-06,4.248959339017154e-06,2.3976168797203927e-06,1.851342459296761e-06,6.904006408222743e-06,3.7456665225632603e-06,8.460722861483569e-09,3.151215920266383e-08,0.4547304306774719,0.4512240967055062,-0.00011067590593621945,-5.823942375559059e-07,0.4512180634890591,-0.00011670912238331832,-6.138750025657129e-07,0.11481481481481481,0.09026695452228847
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.1,5.059517162595937e-06,4.205366678806499e-06,2.3746375315504282e-06,1.830729147256071e-06,6.897408341698215e-06,1.5894374356308195e-06,1.6833969157387083e-07,2.453234419652757e-07,0.4489941216438635,0.4464509158485398,-0.00011703381587269135,-6.187887238849501e-07,0.44644501499338024,-0.00012293467103224875,-6.496700258193865e-07,0.13333333333333333,0.0893135899328825
6,transition,0.1,0.5,0.2,0.1,5.083188289744043e-06,4.156576392525377e-06,2.348941073941136e-06,1.8076353185842413e-06,6.897328179451822e-06,1.312677348458399e-06,1.7294984283974516e-07,2.3687907927348312e-07,0.44477215285532495,0.4429073444152657,-0.00012338045965171185,-6.543335714967024e-07,0.4429015978751446,-0.0001291269997727995,-6.843840737496198e-07,0.14814814814814814,0.08860614497498348
7,hybrid,0.1,0.5,0.2,0.1,5.03226352431399e-06,4.110092031649325e-06,2.3214094908065467e-06,1.7886825408427771e-06,6.864675569173542e-06,1.3055347188748237e-06,1.7285522339580157e-07,2.357039357473115e-07,0.4415676361667472,0.44013633689965803,-0.00012923602757392016,-6.865005397245093e-07,0.4401307418977856,-0.00013483102944633618,-7.15672787611791e-07,0.15925925925925927,0.08805311458544639
8,hybrid,0.1,0.5,0.2,0.1,4.987441756631962e-06,4.070119121777128e-06,2.2977594724512502e-06,1.7723596493258777e-06,6.8284517965768785e-06,1.2982305421739507e-06,1.7276061877534157e-07,2.3447745519714686e-07,0.43906195207444415,0.43785302568834106,-0.00013499455009835515,-7.173432209625966e-07,0.43784758246686073,-0.0001404377715786831,-7.455956767034051e-07,0.17777777777777778,0.08759760404768789
9,hybrid,0.1,0.5,0.2,0.1,4.940435173731314e-06,4.029580090374568e-06,2.2718208947982767e-06,1.7577591955762916e-06,6.780749578101338e-06,1.2882390102868118e-06,1.7266142518240494e-07,2.3278012554661117e-07,0.43690400511878646,0.4358782048131427,-0.00014020532096931104,-7.445738503849945e-07,0.4358728732984943,-0.00014553683561774333,-7.721032353708393e-07,0.2074074074074074,0.08720368202682241
10,hybrid,0.1,0.5,0.2,0.1,4.889743717126707e-06,3.9868264917460244e-06,2.2463141779342533e-06,1.7405123138117712e-06,6.721871209263024e-06,1.2762707297016384e-06,1.7256441510888355e-07,2.307301044543793e-07,0.4348912361458475,0.43409272109833824,-0.00014525310603852315,-7.702633357915215e-07,0.434087496179064,-0.00015047802531276133,-7.97090056843438e-07,0.24074074074074073,0.08684759484087536
11,hybrid,0.1,0.5,0.2,0.1,4.850414915282157e-06,3.954779324331224e-06,2.222678837799362e-06,1.732100486531862e-06,6.668104328673424e-06,1.2652094261707596e-06,1.7246520754994568e-07,2.288251580835904e-07,0.43308468822828344,0.43243823940436343,-0.00015036331848738982,-7.957094776893207e-07,0.4324331528354357,-0.00015544988741511556,-8.216486497520184e-07,0.26296296296296295,0.08651772054457017
12,hybrid,0.1,0.5,0.2,0.1,4.808074458084115e-06,3.920136117187484e-06,2.201169714058697e-06,1.7189664031287867e-06,6.611235033523513e-06,1.2536198095527395e-06,1.7236462538643346e-07,2.2681483754427974e-07,0.43156869612352544,0.4308801262388735,-0.00015468911808397268,-8.163024057094691e-07,0.43087505436865436,-0.0001597609883031148,-8.420192985285715e-07,0.2777777777777778,0.08620696307139149
13,hybrid,0.1,0.5,0.2,0.1,4.761015533343471e-06,3.881661301891039e-06,2.1784795267176466e-06,1.7031817751733916e-06,6.547557349315934e-06,1.2406862227649966e-06,1.7226624321114106e-07,2.2459849652083983e-07,0.4299780521296257,0.42938128588406294,-0.00015936834007340694,-8.382162483757543e-07,0.42937631136043747,-0.00016434286369887419,-8.632697654958118e-07,0.3111111111111111,0.08590813084482726
14,hybrid,0.1,0.5,0.2,0.1,4.717900809678664e-06,3.8473926680457075e-06,2.1567761237719157e-06,1.6906165442737922e-06,6.482252457335548e-06,1.2273016921793934e-06,1.7216491495953262e-07,2.2228289589940004e-07,0.4284561689853973,0.42792382161850273,-0.00016395550494646693,-8.589934242722716e-07,0.4279189328602097,-0.0001688442632394871,-8.834662304673714e-07,0.3296296296296296,0.08561755542468984
15,hybrid,0.1,0.5,0.2,0.1,4.677062221985913e-06,3.815349965695503e-06,2.138369793979458e-06,1.6769801717160458e-06,6.41679462379584e-06,1.2144710446641333e-06,1.7206310864182772e-07,2.200327939108262e-07,0.42704405644350035,0.4265106270425681,-0.00016850040567251146,-8.790418225204796e-07,0.42650578873509715,-0.00017333871314345606,-9.030951642460187e-07,0.35555555555555557,0.08533582548964812
16,hybrid,0.1,0.5,0.2,0.1,4.640092013341514e-06,3.7863888902775083e-06,2.118548873151236e-06,1.667840017126272e-06,6.357545664302617e-06,1.2024941637923263e-06,1.719655449859559e-07,2.1794855663374493e-07,0.42560185550631147,0.42512205854337376,-0.0001731848709858319,-8.993109899569913e-07,0.4251173134169504,-0.00017792999740917637,-9.227401078706486e-07,0.36666666666666664,0.08505904868287192
17,hybrid,0.1,0.5,0.2,0.1,4.596888873820116e-06,3.7517569986567553e-06,2.0978691129330005e-06,1.6538878857237544e-06,6.293986700238337e-06,1.1896452764952586e-06,1.7186822105883572e-07,2.1573320513952678e-07,0.42419872312258705,0.42376094603357184,-0.00017818721724838227,-9.206955527943817e-07,0.42375635107339543,-0.00018278217742478953,-9.43199333131538e-07,0.37037037037037035,0.08478782665016404
18,hybrid,0.1,0.5,0.2,0.1,4.55942848970596e-06,3.7228609209989518e-06,2.0783881387597448e-06,1.6444727822392077e-06,6.230767092642982e-06,1.1768546750784659e-06,1.7177330562443193e-07,2.1349085944270959e-07,0.4227262212326236,0.42241886254614247,-0.00018275387520444442,-9.393824279867516e-07,0.42241431480509517,-0.0001873016162517449,-9.61499023507473e-07,0.37777777777777777,0.08452032328426938
19,hybrid,0.1,0.5,0.2,0.1,4.51961011951528e-06,3.6929228794266957e-06,2.0602323327220043e-06,1.632690546704691e-06,6.157478691579219e-06,1.1623500377425171e-06,1.7166571359213613e-07,2.109393709306619e-07,0.42148427953127304,0.4210976176248658,-0.00018758226539156153,-9.58943805406075e-07,0.42109317564720167,-0.00019202424305569954,-9.803765342445195e-07,0.3962962962962963,0.08425703997805148
20,hybrid,0.1,0.5,0.2,0.1,4.479398152983342e-06,3.661225650354595e-06,2.041503044427645e-06,1.6197226059269506e-06,6.094257191638363e-06,1.1498320030516452e-06,1.715707935934364e-07,2.0874678346490956e-07,0.42015330900986286,0.41979587711636407,-0.00019199229115884897,-9.759705457236328e-07,0.41979143483582354,-0.00019643457169937761,-9.972527308599257e-07,0.4148148148148148,0.08399757388150458
21,hybrid,0.1,0.5,0.2,0.1,4.442248239112769e-06,3.632072867766405e-06,2.0237515051999067e-06,1.6083213625664983e-06,6.0349932235042e-06,1.13792376875563e-06,1.7147823127917215e-07,2.0667604899594457e-07,0.41871190686482523,0.4185085132600846,-0.0001967983443386112,-9.9456482544798e-07,0.41850411852250974,-0.0002011930819134644,-1.015452110482586e-06,0.43703703703703706,0.08374106232088463
22,hybrid,0.1,0.5,0.2,0.1,4.404777795426973e-06,3.6028808269224845e-06,2.008027563784205e-06,1.5948532631382793e-06,5.973459091534768e-06,1.125818186930579e-06,1.7138454259566181e-07,2.0455105935101116e-07,0.4174706419626698,0.4172412071355189,-0.00020134793118864458,-1.0113712192081855e-06,0.4172368146244616,-0.00020574044224591637,-1.032120793613108e-06,0.44814814814814813,0.08348851101334151
23,hybrid,0.1,0.5,0.2,0.1,4.370597206347552e-06,3.57701204130702e-06,1.9917593785013088e-06,1.5852526628057108e-06,5.9115689563219936e-06,1.1136673660774862e-06,1.7129063824238687e-07,2.0242826940833324e-07,0.4161966938495894,0.41598816333615035,-0.00020636100688165016,-1.0300884570694504e-06,0.4159838297214365,-0.00021069462159550856,-1.050411345455553e-06,0.44074074074074077,0.0832389048686064
24,hybrid,0.1,0.5,0.2,0.1,4.334886530950553e-06,3.549034892564093e-06,1.972527613366652e-06,1.5765072791974405e-06,5.8543456020837614e-06,1.1023023267838885e-06,1.7119874007294198e-07,2.0041707817808453e-07,0.4148434126495342,0.4147533003024496,-0.00021119852169060316,-1.0476858921473645e-06,0.4147490350818227,-0.00021546374231751209,-1.0675282818651069e-06,0.44074074074074077,0.08299289976482804
25,hybrid,0.1,0.5,0.2,0.1,4.3045838215067535e-06,3.525945766360508e-06,1.958154055170324e-06,1.5677917111901838e-06,5.800779008543836e-06,1.0917940964985147e-06,1.7110403483475164e-07,1.9856015429186204e-07,0.4136095814195195,0.4135311217879049,-0.00021624448440532573,-1.0659321391504441e-06,0.4135269562645322,-0.0002204100077780602,-1.0851596676213627e-06,0.44074074074074077,0.08274947325446204
26,hybrid,0.1,0.5,0.2,0.1,4.271314822180185e-06,3.500433063695916e-06,1.9433531345255136e-06,1.5570799291704025e-06,5.7432850577333095e-06,1.0803882591420285e-06,1.7101193474997416e-07,1.9655325271093727e-07,0.41233130554701825,0.4123254824590889,-0.00022113181281407934,-1.0830429065451818e-06,0.41232135744284454,-0.00022525682905844002,-1.1019472365941634e-06,0.45925925925925926,0.0825093228543806
27,hybrid,0.1,0.5,0.2,0.1,4.240225390115502e-06,3.477595486344724e-06,1.9287166625785014e-06,1.5488788237662227e-06,5.681977307662315e-06,1.068541987787259e-06,1.709202167842608e-07,1.9443217300454565e-07,0.41104818095803874,0.411132694347592,-0.00022585370719668818,-1.0990683087217e-06,0.4111285678929958,-0.0002299801617928754,-1.1178578635879697e-06,0.46296296296296297,0.08227170961095773
28,hybrid,0.1,0.5,0.2,0.1,4.209739232105181e-06,3.453666311588371e-06,1.9156634415693522e-06,1.5380028700190192e-06,5.632911384648171e-06,1.059136656498473e-06,1.70832032770537e-07,1.927817820519926e-07,0.4098810612343112,0.4099579191358577,-0.0002306740585112932,-1.1151043998716605e-06,0.4099537555217623,-0.00023483767260673583,-1.1339618106170218e-06,0.4703703703703704,0.0820377186388738
29,hybrid,0.1,0.5,0.2,0.1,4.1831163024163835e-06,3.4348126234263577e-06,1.9004353090073835e-06,1.534377314418974e-06,5.575144893873018e-06,1.048022766412497e-06,1.707356300568008e-07,1.9078918960272392e-07,0.4088047562599451,0.4087954335458621,-0.0002360071397091157,-1.1334554737844253e-06,0.4087913431420909,-0.00024009754348031098,-1.1518328988158243e-06,0.4703703703703704,0.08180628813711424
