epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,1.0,0.0,0.0,3.947274854337233e-06,3.947274854337233e-06,2.6285696169553465e-06,1.3187052373818871e-06,8.313557555205965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4844506297336232,0.47660891231406244,-1.4053423277593513e-05,-6.351905264530906e-08,0.47662925607014767,6.290332807634691e-06,4.3837091600462804e-08,0.12222222222222222,0.095324593147468
2,warmup,0.0,1.0,0.0,0.0,3.822787865699453e-06,3.822787865699453e-06,2.596967811182164e-06,1.2258200545172897e-06,8.16122535781399e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.46815520111942455,0.46405594373467657,-3.729275989683423e-05,-1.8566712247852844e-07,0.4640724625648951,-2.0773929678308267e-05,-9.677607127014823e-08,0.15185185185185185,0.09281864729891469
3,warmup,0.0,1.0,0.0,0.0,3.733489964112198e-06,3.733489964112198e-06,2.5662978293133437e-06,1.1671921347988553e-06,8.04164476612931e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.457702112876275,0.4560596877403736,-5.007544529517238e-05,-2.5482063939502196e-07,0.456072347489141,-3.7415696527765e-05,-1.855032892445754e-07,0.15185185185185185,0.09122195263713374
4,transition,0.011731042782619834,0.9413447860869009,0.023462085565239668,0.1,3.7826007887628357e-06,3.6555942866714477e-06,2.52768717359212e-06,1.1279071130793273e-06,7.929831070487285e-06,3.869657613687487e-06,1.4953746288799782e-08,3.398131454455341e-08,0.004143170676224698,4.263194029423194e-05,0.001622881905929309,0.45113159250333645,0.4508053897139011,-5.6297296789076245e-05,-2.8925549708203827e-07,0.45081465528758113,-4.7031723109047796e-05,-2.376356733878608e-07,0.1814814814814815,0.09017233740213804
5,transition,0.08826895721738015,0.5586552139130994,0.1765379144347603,0.1,4.534494437192638e-06,3.5759405280195885e-06,2.476054261114593e-06,1.0998862669049969e-06,7.771291801456859e-06,1.6560032612265485e-06,2.969779470607877e-07,2.7259008562647486e-07,0.0008653734636833567,8.386034783252959e-06,0.0021913447073677404,0.4466905577470449,0.447154900177907,-6.0147112664887814e-05,-3.105198971841707e-07,0.44716137126689803,-5.3676023673843165e-05,-2.737440974835963e-07,0.18518518518518517,0.08944300945811437
6,transition,0.1,0.5,0.2,0.1,4.521074658234552e-06,3.50081136236034e-06,2.4224781142363134e-06,1.0783332481240264e-06,7.609146254299256e-06,1.3444934541161547e-06,3.049398662130848e-07,2.593486704442875e-07,0.0006921725271285219,6.6025115705726215e-06,0.0019776723817795704,0.44349984340997206,0.44448362343804537,-6.215384037261407e-05,-3.214033813920766e-07,0.44448787464803274,-5.790263038524257e-05,-2.96547308120264e-07,0.1925925925925926,0.08890915545568359
7,hybrid,0.1,0.5,0.2,0.1,4.434084422993261e-06,3.434973706998065e-06,2.3711362495396626e-06,1.0638374574584025e-06,7.453387290113077e-06,1.3132217738384193e-06,3.0471748229437314e-07,2.5377198698388804e-07,0.0006850606658528322,6.495921580518756e-06,0.001958483300379424,0.4409963858319094,0.44241184837163533,-6.302138590585926e-05,-3.257457457830188e-07,0.4424143269277614,-6.054282977979719e-05,-3.104675924935356e-07,0.2037037037037037,0.08849497395150824
8,hybrid,0.1,0.5,0.2,0.1,4.354939347619805e-06,3.3730746191444033e-06,2.3232407460583333e-06,1.04983387308607e-06,7.327327027514055e-06,1.2868692251895314e-06,3.045270437837521e-07,2.491320257239953e-07,0.0006784792412128365,6.406460617674746e-06,0.0019401505611850618,0.43916105391261223,0.44070568364067186,-6.342686511762174e-05,-3.273092520295279e-07,0.44070670705765375,-6.240344813573939e-05,-3.19896112759905e-07,0.21481481481481482,0.0881538221011579
9,hybrid,0.1,0.5,0.2,0.1,4.283090935422153e-06,3.3189376082953953e-06,2.278910614423295e-06,1.0400269938721e-06,7.1968003248157615e-06,1.2609260782435673e-06,3.043222423330931e-07,2.4447329464518177e-07,0.0006727221204756793,6.322136496704201e-06,0.0019247233180148236,0.4375906966378122,0.43922409115060135,-6.379708882570112e-05,-3.284205284550363e-07,0.43922388635384796,-6.400188557909026e-05,-3.2762313925983606e-07,0.22962962962962963,0.0878575776478854
10,hybrid,0.1,0.5,0.2,0.1,4.209564452049826e-06,3.263820964717099e-06,2.234362102698132e-06,1.0294588620189675e-06,7.0605605863499014e-06,1.2343531241812936e-06,3.0411141042704756e-07,2.39687428697738e-07,0.0006669530067538188,6.237904322142345e-06,0.0019095455313647275,0.4360836058368143,0.4378748688297531,-6.441975919430076e-05,-3.305230265154e-07,0.43787393072865627,-6.535786029115975e-05,-3.3370828025650555e-07,0.2518518518518518,0.08758785771778949
11,hybrid,0.1,0.5,0.2,0.1,4.1471218596381185e-06,3.216947639976804e-06,2.1950583480911785e-06,1.0218892918856256e-06,6.9454713193551165e-06,1.2119701644498865e-06,3.0392364528218656e-07,2.3562708772580302e-07,0.0006622683553371712,6.168788044552667e-06,0.0018972219751430788,0.4347294006994435,0.4366192933361757,-6.493736671886463e-05,-3.3192889642083556e-07,0.43661769829808683,-6.653240480775091e-05,-3.386348332480723e-07,0.25925925925925924,0.08733684614057892
12,hybrid,0.1,0.5,0.2,0.1,4.081585220760098e-06,3.1678596920177103e-06,2.1547735134660037e-06,1.013086178551707e-06,6.823555139416733e-06,1.1884672208865684e-06,3.037294807493192e-07,2.313700148007138e-07,0.000657304049070645,6.096016280676057e-06,0.0018843064909496378,0.4334682573649771,0.4354166936929117,-6.577409790248234e-05,-3.3472860214243255e-07,0.43541469892152757,-6.776886928661074e-05,-3.435747392296039e-07,0.26296296296296295,0.08709649355816285
13,hybrid,0.1,0.5,0.2,0.1,4.023798480682791e-06,3.1239644153621467e-06,2.1184052931830916e-06,1.0055591221790546e-06,6.72092173247042e-06,1.168441880150885e-06,3.0355280214728584e-07,2.277418920736026e-07,0.0006530119067123599,6.032823690115279e-06,0.0018729944223934802,0.4324021698212789,0.4342568636582561,-6.688826527195824e-05,-3.3882522934732245e-07,0.4342545159318574,-6.923599167069083e-05,-3.495216254900549e-07,0.28888888888888886,0.0868647503847056
14,hybrid,0.1,0.5,0.2,0.1,3.971690052741026e-06,3.0864261106910957e-06,2.084811258228709e-06,1.0016148524623866e-06,6.612505261227882e-06,1.148280303410188e-06,3.033709423983916e-07,2.240134159271426e-07,0.0006493620105355511,5.978658774107324e-06,0.0018639149184291048,0.4311546378258774,0.433129348780663,-6.773079294319917e-05,-3.4134416205294413e-07,0.4331266779050986,-7.040166850758034e-05,-3.536959798060692e-07,0.2962962962962963,0.08663941591472124
15,hybrid,0.1,0.5,0.2,0.1,3.917433664589772e-06,3.0463240174360476e-06,2.0518565262907016e-06,9.944674911453454e-07,6.50735276840689e-06,1.1284480242032627e-06,3.0318804817284233e-07,2.2037437031303678e-07,0.0006454940379199828,5.924031020662443e-06,0.0018540759238813644,0.42995390143628603,0.4320187622023607,-6.889469546778049e-05,-3.453304756759158e-07,0.43201596128267605,-7.169561515241174e-05,-3.583351766562042e-07,0.3148148148148148,0.08641753137956569
16,hybrid,0.1,0.5,0.2,0.1,3.867149089031174e-06,3.0089091502645483e-06,2.0205961031772375e-06,9.883130470873108e-07,6.411708889323617e-06,1.1104324364007774e-06,3.0301857116816566e-07,2.1706904983426436e-07,0.0006419283854220755,5.871135588960766e-06,0.0018450825225519451,0.42889723730773516,0.4309292137995019,-7.024102259928222e-05,-3.501211799812598e-07,0.4309263071018754,-7.314772022576355e-05,-3.636062541607747e-07,0.32592592592592595,0.08619989096442023
17,hybrid,0.1,0.5,0.2,0.1,3.81741654882638e-06,2.972786403990092e-06,1.989996073050156e-06,9.827903309399355e-07,6.310482946253444e-06,1.0916219600617384e-06,3.02843567713384e-07,2.135818502109449e-07,0.0006385439710187581,5.8229918078675265e-06,0.0018366652461740598,0.4277628930215022,0.4298521565842576,-7.186569478639937e-05,-3.5614038019281626e-07,0.4298491832690918,-7.483900995225445e-05,-3.69909711530887e-07,0.32592592592592595,0.0859848044558088
18,hybrid,0.1,0.5,0.2,0.1,3.7720969877787198e-06,2.9397385769800054e-06,1.9625470895117954e-06,9.7719148746821e-07,6.218777647812636e-06,1.0749685586200044e-06,3.0267400365821656e-07,2.104806460174515e-07,0.0006356552384655077,5.782807518642989e-06,0.0018297608189231033,0.4266619515335902,0.4287920573196764,-7.349238404169567e-05,-3.62002551007861e-07,0.4287892377236324,-7.631198008567486e-05,-3.749189744488182e-07,0.32592592592592595,0.08577310994074362
19,hybrid,0.1,0.5,0.2,0.1,3.7283575066501507e-06,2.9073188781833163e-06,1.936052501475273e-06,9.71266376708043e-07,6.134806667103981e-06,1.0591281652742218e-06,3.025158518253614e-07,2.0755796175643656e-07,0.000632647605400994,5.741836412549669e-06,0.0018221558395420663,0.4255792600205231,0.42774296785115223,-7.541526692322886e-05,-3.691939770035502e-07,0.4277401495411218,-7.823357695369015e-05,-3.8201911465996614e-07,0.3333333333333333,0.0855636766236151
20,hybrid,0.1,0.5,0.2,0.1,3.686420592285267e-06,2.8770841631005235e-06,1.9102212325930047e-06,9.668629305075189e-07,6.047305892329797e-06,1.0432242819531182e-06,3.023531603505735e-07,2.0460583995176386e-07,0.0006296918205329615,5.699762061889466e-06,0.0018150497299238549,0.4245528158442188,0.42670392733182044,-7.75718154354399e-05,-3.773462987927286e-07,0.42670125839826867,-8.024074898721478e-05,-3.893588841802397e-07,0.337037037037037,0.08535629982945117
21,hybrid,0.1,0.5,0.2,0.1,3.644046132838196e-06,2.846541478242145e-06,1.8851715962227295e-06,9.613698820194155e-07,5.959005756987506e-06,1.0272696481790398e-06,3.0219130266005015e-07,2.0160407889729993e-07,0.0006271753161921904,5.663285592617432e-06,0.001809091291046977,0.4234102229947404,0.4256742423940472,-7.979660049184378e-05,-3.8562235873512143e-07,0.42567172760070415,-8.23113938349107e-05,-3.9680251871017803e-07,0.35185185185185186,0.08515080779890781
22,hybrid,0.1,0.5,0.2,0.1,3.605777684151376e-06,2.8186374034053784e-06,1.8620276763294591e-06,9.566097270759192e-07,5.881799143947973e-06,1.0130883547984937e-06,3.020396545769321e-07,1.9896036635119996e-07,0.0006246980486874475,5.631923327625523e-06,0.0018030810963672321,0.4224542152583323,0.42465329186199724,-8.216949657979811e-05,-3.9444526978742785e-07,0.42465094440778867,-8.45169507883714e-05,-4.047455531124293e-07,0.36666666666666664,0.0849470922717154
