run_index,method_name,stage_name,seed,run_id,run_config_path,run_summary_path,candidate_name,transport_family,residual_branch_structure,explicit_transport_drift_decomposition_enabled,trajectory_curriculum_enabled,trajectory_curriculum_schedule_identity,lambda_traj_curr,alpha_floor,alpha_warmup_epochs,alpha_ramp_epochs,configured_transport_steps,one_step_energy_delta_vs_identity,configured_step_energy_delta_vs_identity,configured_step_fixed_point_residual_delta_vs_identity,one_step_energy_delta_vs_local_field_only,configured_step_energy_delta_vs_local_field_only,configured_step_fixed_point_residual_delta_vs_local_field_only,val_accuracy,test_accuracy,val_output_mse,test_output_mse,selected_epoch,total_training_epochs,selection_hits_final_training_boundary,runtime_proxy_seconds,acceptance_contract,mechanism_signal_positive,config_json_exists,summary_json_exists,epoch_metrics_csv_exists,seed_matches,dataset_matches,batch_protocol_matches,deterministic_artifact_checks_passed,model_protocol_matches,transport_protocol_matches
1,stage_05_two_branch_corrected_residual_core_v2,FMPC Stage 05 EF Core Probe v2 Control,0,seed_0,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_0/config.json,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_0/summary.json,,two_branch_residual_meanflow_core,two_branch,False,False,,,,,,2,-0.004507611183461407,-0.004484467187593294,-1.6489675949878818e-05,-0.0006290120762414975,-0.0006210113257488215,-1.5665190186074348e-06,0.8666666666666667,0.8962962962962963,0.04332108483120232,0.04174284106159174,1536,1536,True,238.94955849999678,mechanism_first,True,True,True,True,True,True,True,True,True,True
2,stage05_v3b_stronger_traj_curr_weight,FMPC Stage 05 EF Core Probe Promoted Refined v3-B Reference,0,seed_0,outputs/stage_05_ef_core_probe/stage05_v3b_refinement_diagnostic/runs/stage05_v3b_stronger_traj_curr_weight/seed_0/config.json,outputs/stage_05_ef_core_probe/stage05_v3b_refinement_diagnostic/runs/stage05_v3b_stronger_traj_curr_weight/seed_0/summary.json,stage05_v3b_trajectory_curriculum_contract,two_branch_residual_meanflow_core,two_branch,True,True,warmup_sigmoid_to_alpha_floor,0.2,0.5,3,3,2,-0.004979625468737453,-0.004955724691671715,-1.8515042511828674e-05,-0.0007004038142199853,-0.0006943795572914857,-1.733041593261677e-06,0.8518518518518519,0.8740740740740741,0.043529589666909785,0.04211688948492692,1536,1536,True,307.99494199999754,mechanism_first,True,True,True,True,True,True,True,True,True,True
3,stage05_v3c_endpoint_semigroup_consistency_contract,FMPC Stage 05 EF Core Probe v3-C Control,0,seed_0,outputs/stage_05_ef_core_probe/stage05_v2_promoted_v3b_v3c_fixed_budget_comparison/runs/stage05_v3c_endpoint_semigroup_consistency_contract/seed_0/config.json,outputs/stage_05_ef_core_probe/stage05_v2_promoted_v3b_v3c_fixed_budget_comparison/runs/stage05_v3c_endpoint_semigroup_consistency_contract/seed_0/summary.json,stage05_v3c_endpoint_semigroup_consistency_contract,two_branch_residual_meanflow_core,two_branch,True,True,warmup_sigmoid_to_alpha_floor,0.2,0.5,3,3,2,-0.005069715869963659,-0.005044736090138502,-1.8977638573633524e-05,-0.000698259735958634,-0.0006918198865615011,-1.7550889799820054e-06,0.8444444444444444,0.8740740740740741,0.04354292696978402,0.04207991506095493,1536,1536,True,490.0042814999979,mechanism_first,True,True,True,True,True,True,True,True,True,True
4,stage05_v3c_stronger_semigroup_weight,FMPC Stage 05 EF Core Probe v3-C Stronger Semigroup-Weight Variant,0,seed_0,runs/stage05_v3c_stronger_semigroup_weight/seed_0/config.json,runs/stage05_v3c_stronger_semigroup_weight/seed_0/summary.json,stage05_v3c_stronger_semigroup_weight,two_branch_residual_meanflow_core,two_branch,True,True,warmup_sigmoid_to_alpha_floor,0.2,0.5,3,3,2,-0.005158794781505438,-0.005132732974487769,-1.9439701848100255e-05,-0.000697116121778335,-0.0006902540624894038,-1.7831230790146379e-06,0.8407407407407408,0.8777777777777778,0.043574106023699495,0.042062596775203624,1536,1536,True,807.0828778000068,mechanism_first,True,True,True,True,True,True,True,True,,
5,stage_05_two_branch_corrected_residual_core_v2,FMPC Stage 05 EF Core Probe v2 Control,1,seed_1,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_1/config.json,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_1/summary.json,,two_branch_residual_meanflow_core,two_branch,False,False,,,,,,2,-0.005591762593272931,-0.005596636006970496,-2.0644925842656448e-05,-0.0008342403750832839,-0.000859345995329247,-2.631777590503823e-06,0.9148148148148149,0.8888888888888888,0.04329138819458572,0.04298385814833558,1536,1536,True,241.8661645999964,mechanism_first,True,True,True,True,True,True,True,True,True,True
6,stage05_v3b_stronger_traj_curr_weight,FMPC Stage 05 EF Core Probe Promoted Refined v3-B Reference,1,seed_1,outputs/stage_05_ef_core_probe/stage05_v3b_refinement_diagnostic/runs/stage05_v3b_stronger_traj_curr_weight/seed_1/config.json,outputs/stage_05_ef_core_probe/stage05_v3b_refinement_diagnostic/runs/stage05_v3b_stronger_traj_curr_weight/seed_1/summary.json,stage05_v3b_trajectory_curriculum_contract,two_branch_residual_meanflow_core,two_branch,True,True,warmup_sigmoid_to_alpha_floor,0.2,0.5,3,3,2,-0.006839182847300368,-0.006820876348245991,-2.5601065080080527e-05,-0.0011439842532246225,-0.0011525699623437247,-3.693852088696402e-06,0.9148148148148149,0.8962962962962963,0.04529170650601474,0.04472283057938731,1536,1536,True,316.96098910000364,mechanism_first,True,True,True,True,True,True,True,True,True,True
7,stage05_v3c_endpoint_semigroup_consistency_contract,FMPC Stage 05 EF Core Probe v3-C Control,1,seed_1,outputs/stage_05_ef_core_probe/stage05_v2_promoted_v3b_v3c_fixed_budget_comparison/runs/stage05_v3c_endpoint_semigroup_consistency_contract/seed_1/config.json,outputs/stage_05_ef_core_probe/stage05_v2_promoted_v3b_v3c_fixed_budget_comparison/runs/stage05_v3c_endpoint_semigroup_consistency_contract/seed_1/summary.json,stage05_v3c_endpoint_semigroup_consistency_contract,two_branch_residual_meanflow_core,two_branch,True,True,warmup_sigmoid_to_alpha_floor,0.2,0.5,3,3,2,-0.0070307716535656095,-0.0070089675981295785,-2.6322712054215784e-05,-0.0011890281844601502,-0.001195161482212409,-3.848142944984064e-06,0.9148148148148149,0.8962962962962963,0.04572294416777521,0.04513648743553692,1536,1536,True,500.7893525999971,mechanism_first,True,True,True,True,True,True,True,True,True,True
8,stage05_v3c_stronger_semigroup_weight,FMPC Stage 05 EF Core Probe v3-C Stronger Semigroup-Weight Variant,1,seed_1,runs/stage05_v3c_stronger_semigroup_weight/seed_1/config.json,runs/stage05_v3c_stronger_semigroup_weight/seed_1/summary.json,stage05_v3c_stronger_semigroup_weight,two_branch_residual_meanflow_core,two_branch,True,True,warmup_sigmoid_to_alpha_floor,0.2,0.5,3,3,2,-0.007214335410972689,-0.007189526871973689,-2.699722215824228e-05,-0.0012326268975328403,-0.0012367478355763961,-3.995493852607156e-06,0.9148148148148149,0.8925925925925926,0.046168944973238084,0.04557112606902508,1536,1536,True,784.1539175000071,mechanism_first,True,True,True,True,True,True,True,True,,
9,stage_05_two_branch_corrected_residual_core_v2,FMPC Stage 05 EF Core Probe v2 Control,2,seed_2,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_2/config.json,outputs/stage_05_ef_core_probe/stage05_v2_budget_push_validation_1536_to_3072/runs/stage_05_two_branch_corrected_residual_core_v2_budget_reference/seed_2/summary.json,,two_branch_residual_meanflow_core,two_branch,False,False,,,,,,2,-0.00487981658385514,-0.00486055991044701,-1.8220763446024713e-05,-0.000871513315537864,-0.0008680479489653614,-2.9133376306760255e-06,0.8814814814814815,0.8777777777777778,0.04361221344086134,0.042165311853905395,1536,1536,True,242.07117700000526,mechanism_first,True,True,True,True,True,True,True,True,True,True
10,stage05_v3b_stronger_traj_curr_weight,FMPC Stage 05 EF Core Probe Promoted Refined v3-B Reference,2,seed_2,outputs/stage_05_ef_core_probe/stage05_v3b_refinement_diagnostic/runs/stage05_v3b_stronger_traj_curr_weight/seed_2/config.json,outputs/stage_05_ef_core_probe/stage05_v3b_refinement_diagnostic/runs/stage05_v3b_stronger_traj_curr_weight/seed_2/summary.json,stage05_v3b_trajectory_curriculum_contract,two_branch_residual_meanflow_core,two_branch,True,True,warmup_sigmoid_to_alpha_floor,0.2,0.5,3,3,2,-0.005411877318823671,-0.005384480110894291,-2.0710509686959044e-05,-0.0008572570475109953,-0.0008495469429202485,-2.7920003479605347e-06,0.8814814814814815,0.8777777777777778,0.044634678670501936,0.04326199420678726,1536,1536,True,312.9885693999968,mechanism_first,True,True,True,True,True,True,True,True,True,True
