stage,method_name,candidate_name,tier_epochs,seed,runtime_proxy_seconds,selected_epoch,one_step_mechanism_positive,configured_step_mechanism_positive,one_step_energy_delta_vs_identity,configured_step_energy_delta_vs_identity,configured_step_fixed_point_residual_delta_vs_identity,val_accuracy,test_accuracy,val_output_mse,test_output_mse,mechanism_gain_per_runtime,mechanism_gain_per_epoch,configured_residual_gain_per_runtime,configured_residual_gain_per_epoch,run_dir
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,128,0,23.070924699999523,128,True,True,-0.0008469117641017876,-0.0008443296051082183,-2.817472971581778e-06,0.7222222222222222,0.7777777777777778,0.06770718511852228,0.06684725300750038,3.6597128900873044e-05,6.5963250399079555e-06,1.2212223862799206e-07,2.201150759048264e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_128\tier_128_seed_0
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,128,0,35.97050140000101,128,True,True,-0.0008391509564797395,-0.0008376013911762237,-2.7940508834963375e-06,0.7185185185185186,0.7777777777777778,0.06756047216079102,0.06669105792663271,2.3285785812710416e-05,6.5437608685642475e-06,7.767617282911321e-08,2.1828522527315136e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_128_stage05_control\tier_128_seed_0
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,128,1,23.315893099999812,128,True,True,-0.000642570401435949,-0.0006254896484036987,-2.242184953854542e-06,0.6851851851851852,0.6037037037037037,0.07500573923554968,0.07603294755419303,2.6826750565420278e-05,4.886637878153896e-06,9.616551869739702e-08,1.751706995198861e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_128\tier_128_seed_1
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,128,1,34.0960303999982,128,True,True,-0.0006467985175986901,-0.0006402272927851782,-2.3049747474557214e-06,0.6703703703703704,0.6111111111111112,0.0744590410240867,0.07555641092838308,1.8777179785281165e-05,5.001775724884205e-06,6.76024370114312e-08,1.8007615214497824e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_128_stage05_control\tier_128_seed_1
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,128,2,21.486584199999925,128,True,True,-0.0005666146790764826,-0.0005535974377819386,-1.7453380788023574e-06,0.6851851851851852,0.6333333333333333,0.07126639192344958,0.07148847184924607,2.5764795028794784e-05,4.324979982671395e-06,8.12292015592857e-08,1.3635453740643417e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_128\tier_128_seed_2
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,128,2,33.97042639999745,128,True,True,-0.0005831179870482428,-0.0005765975364091513,-1.8088661188080286e-06,0.6703703703703704,0.6444444444444445,0.07110664389291407,0.07128053660390116,1.697351483374947e-05,4.504668253196495e-06,5.324826063437827e-08,1.4131766553187724e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_128_stage05_control\tier_128_seed_2
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,256,0,44.19103620000169,256,True,True,-0.0014576699386205094,-0.001438214398512716,-4.4299856939160505e-06,0.7555555555555555,0.7888888888888889,0.060342177381238676,0.05897457271335419,3.254538753071061e-05,5.618024994190297e-06,1.002462507071939e-07,1.7304631616859572e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_256\tier_256_seed_0
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,256,0,69.1981323,256,True,True,-0.0015473974271954516,-0.0015398534134787867,-4.769048477706937e-06,0.7518518518518519,0.8037037037037037,0.05931451917661567,0.058084143773214636,2.2252817558759268e-05,6.0150523964015105e-06,6.891874562497313e-08,1.8629095616042723e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_256_stage05_control\tier_256_seed_0
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,256,1,43.84775450000052,256,True,True,-0.0013013945518933756,-0.0012787264443980817,-3.962685829456201e-06,0.7518518518518519,0.6888888888888889,0.06856274843698651,0.06985390489941545,2.9162871827292013e-05,4.995025173430007e-06,9.03737460365537e-08,1.5479241521313286e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_256\tier_256_seed_1
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,256,1,71.07087310000134,256,True,True,-0.0012502798326951003,-0.0012463771859294037,-3.755274518864706e-06,0.7518518518518519,0.6925925925925925,0.06616452070772354,0.06773757600872807,1.753710249451516e-05,4.868660882536733e-06,5.283844639956499e-08,1.4669041089315257e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_initial_probe\runs\tier_256_stage05_control\tier_256_seed_1
