stage,method_name,candidate_name,tier_epochs,seed,runtime_proxy_seconds,selected_epoch,one_step_mechanism_positive,configured_step_mechanism_positive,one_step_energy_delta_vs_identity,configured_step_energy_delta_vs_identity,configured_step_fixed_point_residual_delta_vs_identity,val_accuracy,test_accuracy,val_output_mse,test_output_mse,mechanism_gain_per_runtime,mechanism_gain_per_epoch,configured_residual_gain_per_runtime,configured_residual_gain_per_epoch,run_dir
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,128,0,19.77414679999856,128,True,True,-0.0008473313897445767,-0.00084473417157227,-2.8187991251608186e-06,0.7222222222222222,0.7777777777777778,0.06771035507310925,0.06685149427911892,4.271912108856861e-05,6.59948571540836e-06,1.425497217994267e-07,2.2021868165318896e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_128\tier_128_seed_0
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,128,0,31.232295500001783,128,True,True,-0.0008391509564797395,-0.0008376013911762237,-2.7940508834963375e-06,0.7185185185185186,0.7777777777777778,0.06756047216079102,0.06669105792663271,2.6818438342970208e-05,6.5437608685642475e-06,8.946031147458175e-08,2.1828522527315136e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_128_stage05_control\tier_128_seed_0
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,128,1,19.706671899999492,128,True,True,-0.0006446516342465403,-0.0006279610072507658,-2.250882252456828e-06,0.6851851851851852,0.6074074074074074,0.07497960156743111,0.07601205762592365,3.186540124265132e-05,4.9059453691466075e-06,1.1421929912259239e-07,1.758501759731897e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_128\tier_128_seed_1
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,128,1,30.88386999999784,128,True,True,-0.0006467985175986901,-0.0006402272927851782,-2.3049747474557214e-06,0.6703703703703704,0.6111111111111112,0.0744590410240867,0.07555641092838308,2.0730151136668525e-05,5.001775724884205e-06,7.463361124936358e-08,1.8007615214497824e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_128_stage05_control\tier_128_seed_1
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,128,2,19.541292499998235,128,True,True,-0.0005672855124231879,-0.0005544489912392425,-1.7475006230181062e-06,0.6777777777777778,0.6370370370370371,0.07126136594089498,0.07148252184002368,2.8373199533208594e-05,4.331632744056582e-06,8.942605116924912e-08,1.3652348617328955e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_128\tier_128_seed_2
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,128,2,31.2915864999959,128,True,True,-0.0005831179870482428,-0.0005765975364091513,-1.8088661188080286e-06,0.6703703703703704,0.6444444444444445,0.07110664389291407,0.07128053660390116,1.8426599635950925e-05,4.504668253196495e-06,5.7806788377708675e-08,1.4131766553187724e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_128_stage05_control\tier_128_seed_2
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,256,0,40.51623649999965,256,True,True,-0.0014603022736285887,-0.0014409233988991188,-4.43715196056071e-06,0.7555555555555555,0.7888888888888889,0.060346773574351226,0.05898180211642461,3.55640978376442e-05,5.628607026949683e-06,1.0951540280797671e-07,1.7332624845940274e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_256\tier_256_seed_0
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,256,0,63.529103699998814,256,True,True,-0.0015473974271954516,-0.0015398534134787867,-4.769048477706937e-06,0.7518518518518519,0.8037037037037037,0.05931451917661567,0.058084143773214636,2.4238550897087745e-05,6.0150523964015105e-06,7.506871968834382e-08,1.8629095616042723e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_256_stage05_control\tier_256_seed_0
FMPC Stage 06 Low-Budget Efficiency,stage06_v1_objective_curriculum_energydrop_default,stage06_v1_objective_curriculum_energydrop_default,256,1,40.16985439999553,256,True,True,-0.0013044829810350822,-0.001281842239965525,-3.965134242103307e-06,0.7518518518518519,0.6814814814814815,0.06851141599244667,0.06981121601194694,3.191055230625052e-05,5.007196249865332e-06,9.870920124877895e-08,1.5488805633216044e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_256\tier_256_seed_1
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,256,1,63.71319189999849,256,True,True,-0.0012502798326951003,-0.0012463771859294037,-3.755274518864706e-06,0.7518518518518519,0.6925925925925925,0.06616452070772354,0.06773757600872807,1.956230960592375e-05,4.868660882536733e-06,5.89402980274293e-08,1.4669041089315257e-08,outputs\stage_06_low_budget_efficiency\stage06_v1_low_budget_comparison\stage06_v1_post_semantic_alignment_rebaseline\runs\tier_256_stage05_control\tier_256_seed_1
