stage,method_name,candidate_name,tier_epochs,seed,runtime_proxy_seconds,selected_epoch,one_step_mechanism_positive,configured_step_mechanism_positive,one_step_energy_delta_vs_identity,configured_step_energy_delta_vs_identity,configured_step_fixed_point_residual_delta_vs_identity,val_accuracy,test_accuracy,val_output_mse,test_output_mse,mechanism_gain_per_runtime,mechanism_gain_per_epoch,configured_residual_gain_per_runtime,configured_residual_gain_per_epoch,run_dir
FMPC Stage 06 Low-Budget Efficiency,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,128,0,43.75942459999351,128,True,True,-0.0008474221617599809,-0.0008448912373082984,-2.819221673547995e-06,0.7222222222222222,0.7777777777777778,0.06769260580034529,0.06683159409119571,1.9307640469029926e-05,6.600712791471081e-06,6.442547403944643e-08,2.202516932459371e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_128\tier_128_seed_0
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,128,0,71.39655869999842,128,True,True,-0.0008391509564797395,-0.0008376013911762237,-2.7940508834963375e-06,0.7185185185185186,0.7777777777777778,0.06756047216079102,0.06669105792663271,1.1731677358508908e-05,6.5437608685642475e-06,3.9134251487339535e-08,2.1828522527315136e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_128_stage05_control\tier_128_seed_0
FMPC Stage 06 Low-Budget Efficiency,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,128,1,43.201065900000685,128,True,True,-0.0006484124814469805,-0.0006333947273246543,-2.2703858278096058e-06,0.6814814814814815,0.6074074074074074,0.07491792058945222,0.07595774190275051,1.4661553230904061e-05,4.948396307223862e-06,5.2553930800340964e-08,1.7737389279762545e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_128\tier_128_seed_1
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,128,1,62.16201849999925,128,True,True,-0.0006467985175986901,-0.0006402272927851782,-2.3049747474557214e-06,0.6703703703703704,0.6111111111111112,0.0744590410240867,0.07555641092838308,1.0299332425718865e-05,5.001775724884205e-06,3.7080114241395643e-08,1.8007615214497824e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_128_stage05_control\tier_128_seed_1
FMPC Stage 06 Low-Budget Efficiency,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,128,2,49.35775189999549,128,True,True,-0.0005723850637628369,-0.0005608394659313287,-1.7662677689518646e-06,0.6777777777777778,0.6370370370370371,0.07123868479879325,0.07145541634368413,1.1362743324851064e-05,4.381558327588506e-06,3.5785012504834644e-08,1.3798966944936442e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_128\tier_128_seed_2
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,128,2,69.72307499999442,128,True,True,-0.0005831179870482428,-0.0005765975364091513,-1.8088661188080286e-06,0.6703703703703704,0.6444444444444445,0.07110664389291407,0.07128053660390116,8.269823676153088e-06,4.504668253196495e-06,2.5943579206857604e-08,1.4131766553187724e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_128_stage05_control\tier_128_seed_2
FMPC Stage 06 Low-Budget Efficiency,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,256,0,88.56889629999205,256,True,True,-0.0014954416585435948,-0.0014780197691083297,-4.558557396208067e-06,0.7518518518518519,0.7925925925925926,0.06007896069872318,0.058738504935827905,1.6687797080615336e-05,5.773514723079413e-06,5.146905501416388e-08,1.780686482893776e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_256\tier_256_seed_0
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,256,0,138.61749589999818,256,True,True,-0.0015473974271954516,-0.0015398534134787867,-4.769048477706937e-06,0.7518518518518519,0.8037037037037037,0.05931451917661567,0.058084143773214636,1.1108651209438036e-05,6.0150523964015105e-06,3.440437620621453e-08,1.8629095616042723e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_256_stage05_control\tier_256_seed_0
FMPC Stage 06 Low-Budget Efficiency,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,256,1,83.5801877000049,256,True,True,-0.0013061572437202407,-0.001287798321291278,-3.961576491722549e-06,0.7518518518518519,0.6851851851851852,0.06809557721706018,0.06943896587982139,1.5407937655196275e-05,5.030462192544055e-06,4.739851154608398e-08,1.5474908170791205e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_256\tier_256_seed_1
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,256,1,127.75634349999746,256,True,True,-0.0012502798326951003,-0.0012463771859294037,-3.755274518864706e-06,0.7518518518518519,0.6925925925925925,0.06616452070772354,0.06773757600872807,9.755892754784646e-06,4.868660882536733e-06,2.9394035677490885e-08,1.4669041089315257e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_256_stage05_control\tier_256_seed_1
FMPC Stage 06 Low-Budget Efficiency,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,stage06_v2_persistent_overlap_objective_curriculum_energydrop_default,256,2,77.44194689999858,256,True,True,-0.0012197603748155261,-0.001207853194474362,-3.5299447325735835e-06,0.7296296296296296,0.6888888888888889,0.06438942889893351,0.0648978214625383,1.5596885703739766e-05,4.718176540915477e-06,4.5581818044061184e-08,1.378884661161556e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_256\tier_256_seed_2
FMPC Stage 05 EF Core Probe,stage05_v3c_stronger_semigroup_weight,stage05_v3c_stronger_semigroup_weight,256,2,130.13841280000634,256,True,True,-0.0012632678041234469,-0.0012531509122070128,-3.5595179284432813e-06,0.7296296296296296,0.7,0.06350346108190988,0.0637309528315445,9.62936987815293e-06,4.895120750808644e-06,2.7351785317325677e-08,1.3904366907981568e-08,outputs\stage_06_low_budget_efficiency\stage06_v2_low_budget_comparison\stage06_v2_initial_authoritative_comparison\runs\tier_256_stage05_control\tier_256_seed_2
