epoch,beta_obj,trajectory_objective_weight,semigroup_objective_weight,alpha,train_total_loss,train_traj_loss,train_semi_loss,train_energy_drop_loss,train_fixed_point_loss,train_active_energy_drop_rate,train_mean_rollout_flow_norm_sq,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,0.0,1.0,0.0,1.0,1.6773092582007863e-05,4.869720633467558e-06,0.0,4.6603087334162384e-05,2.5260011499970796e-06,0.26236979166666663,2.5260011499970796e-06,0.4806872960350047,-0.0003416514383590141,-1.7794113682664478e-06,0.48070494625729426,-0.0003240012160694583,-1.6990935259110268e-06,0.1,0.09620578949467273
2,0.0,1.0,0.0,1.0,1.3849153787644715e-05,4.8149579104089e-06,0.0,3.5190676566429454e-05,2.3652673562845054e-06,0.3033519345238095,2.3652673562845054e-06,0.46551957211783934,-0.0003212307015322269,-1.7072301604455957e-06,0.46552654339056876,-0.00031425942880281,-1.678088833601465e-06,0.1,0.09316816056387432
3,0.0,1.0,0.0,1.0,1.1981867671384936e-05,4.749272548970386e-06,0.0,2.80167598324674e-05,2.2840516429770025e-06,0.31693824404761906,2.2840516429770025e-06,0.45721738731916484,-0.0003096562135914138,-1.6660143437292419e-06,0.45721874741203394,-0.0003082961207223067,-1.6640189895324295e-06,0.1,0.09150540870655126
4,0.0,1.0,0.0,0.9413447860869009,1.0655640563103091e-05,4.249357128330636e-06,1.8010667676408564e-08,2.4729797756153932e-05,2.238339957339736e-06,0.2997247023809524,2.2383399573397363e-06,0.4524657675724237,-0.0003022218850362024,-1.6390452910021523e-06,0.4524641791634705,-0.00030381029398940385,-1.6511498120120541e-06,0.1037037037037037,0.09055359789149198
5,0.0,1.0,0.0,0.5586552139130994,7.740871925961257e-06,1.8585821510126623e-06,3.5828288541308064e-07,2.264882289557085e-05,2.2008405105588113e-06,0.2746986607142857,2.2008405105588113e-06,0.44957393517808797,-0.00029788642731187753,-1.6241124246136826e-06,0.44957090048153475,-0.0003009211238650944,-1.6428338069528398e-06,0.13703703703703704,0.08997436432107997
6,0.0,1.0,0.0,0.5,7.1490395246362025e-06,1.5467925502177201e-06,3.681272429185791e-07,2.153559295030555e-05,2.183487368420954e-06,0.2665327380952381,2.183487368420954e-06,0.44767309681495465,-0.00029484119867412284,-1.6131127729935798e-06,0.44766934827526855,-0.00029858973836022207,-1.6348263777509289e-06,0.17037037037037037,0.08959358760272576
7,0.0,1.0,0.0,0.5,7.023347142956188e-06,1.5349477246980193e-06,3.6804084277603336e-07,2.1089227674097763e-05,2.160924997337284e-06,0.2544828869047619,2.1609249973372846e-06,0.4462682562988539,-0.00029274948681645707,-1.6051641158434829e-06,0.4462638544299675,-0.00029715135570285156,-1.6297856672581204e-06,0.18518518518518517,0.08931220115713406
8,0.0,1.0,0.0,0.5,6.913387416848464e-06,1.5216971205188089e-06,3.679332625501561e-07,2.070284020173582e-05,2.1598024589570167e-06,0.24982142857142858,2.159802458957017e-06,0.4451364363686725,-0.0002913906827657353,-1.599787016075163e-06,0.44513183887980395,-0.00029598817163428714,-1.6249983497350318e-06,0.21481481481481482,0.08908556541028764
9,0.0,1.0,0.0,0.5,6.815738878577127e-06,1.5048547040678495e-06,3.67818029389669e-07,2.0379675180499288e-05,2.1596537938445463e-06,0.24335193452380954,2.1596537938445463e-06,0.44414165618374246,-0.0002905454368896665,-1.5961185450686754e-06,0.44413687887332315,-0.00029532274730897923,-1.6219528569595036e-06,0.22592592592592592,0.08888644032412643
10,0.0,1.0,0.0,0.5,6.825404646392628e-06,1.4896104624379094e-06,3.677160288540353e-07,2.0481248282736302e-05,2.154821132706441e-06,0.23606398809523807,2.154821132706441e-06,0.4432232780379906,-0.00029038850063173305,-1.5953109607595435e-06,0.44321868726850133,-0.00029497927012100966,-1.6198710340188508e-06,0.23703703703703705,0.08870273330772446
11,0.0,1.0,0.0,0.5,6.784403075575654e-06,1.4724139517485797e-06,3.6761334660105475e-07,2.0388142603748507e-05,2.1495347288994724e-06,0.22934895833333332,2.1495347288994724e-06,0.44234369567208554,-0.0002903639291396698,-1.594515542585102e-06,0.44233912552869153,-0.0002949340725336702,-1.6187440780036629e-06,0.24814814814814815,0.08852681192024504
12,0.0,1.0,0.0,0.5,6.726600311205456e-06,1.454856156558556e-06,3.6750279735875965e-07,2.0223547179014805e-05,2.1585735989319888e-06,0.22296502976190474,2.1585735989319888e-06,0.4414916532714283,-0.00029063323698086396,-1.5946688419926668e-06,0.4414871942424463,-0.00029509226596285965,-1.6181328448522218e-06,0.26666666666666666,0.08835645730168183
13,0.0,1.0,0.0,0.5,6.749728084899653e-06,1.436098117622049e-06,3.6738245813974495e-07,2.0387985897669194e-05,2.1663349286030663e-06,0.2216964285714286,2.1663349286030663e-06,0.44064954431197995,-0.000291288640935472,-1.5962993326636664e-06,0.4406452914535479,-0.00029554149936750207,-1.618529295765173e-06,0.2777777777777778,0.08818816659058308
14,0.0,1.0,0.0,0.5,6.701062048694579e-06,1.4221935427641412e-06,3.6728299928100166e-07,2.0239301702759374e-05,2.1904308024059515e-06,0.21416294642857142,2.1904308024059515e-06,0.4398211640567025,-0.00029173284498185126,-1.5963705822437412e-06,0.43981712066457573,-0.0002957762371086359,-1.6173312097818857e-06,0.29259259259259257,0.08802257938033688
15,0.0,1.0,0.0,0.5,6.726057257285331e-06,1.404154126858566e-06,3.671655710925033e-07,2.0411767748994918e-05,2.1896119317803684e-06,0.21531250000000002,2.1896119317803684e-06,0.4389989303624257,-0.0002927545199328807,-1.598971186820452e-06,0.4389952483864758,-0.0002964364958827903,-1.6178810028968373e-06,0.3037037037037037,0.08785833697647172
16,0.0,1.0,0.0,0.5,6.705361991283387e-06,1.3885421829299895e-06,3.6706794146707685e-07,2.0389332930789678e-05,2.1948657565597806e-06,0.21001488095238097,2.1948657565597806e-06,0.4381828784785181,-0.0002928961513556927,-1.59646869682151e-06,0.4381793292262501,-0.00029644540362372407,-1.6145822065371195e-06,0.32592592592592595,0.08769515492597477
17,0.0,1.0,0.0,0.5,6.702496710620515e-06,1.3712770332487006e-06,3.6696261896230526e-07,2.0439958857356886e-05,2.2122996303259295e-06,0.2020796130952381,2.2122996303259295e-06,0.437373596184205,-0.0002934672895503754,-1.5957827999405513e-06,0.4373701915784714,-0.00029687189528398994,-1.6130443815349593e-06,0.3333333333333333,0.08753341269475108
18,0.0,1.0,0.0,0.5,6.694940581106249e-06,1.3566675973186798e-06,3.668533935047599e-07,2.0458102912078564e-05,2.2374725576792777e-06,0.19890625,2.2374725576792777e-06,0.43657505752566445,-0.0002942155292545712,-1.5955741652434947e-06,0.43657182253491583,-0.00029745052000318406,-1.6118521590451464e-06,0.34074074074074073,0.0873738546109838
19,0.0,1.0,0.0,0.5,6.703756918231211e-06,1.3405922382660678e-06,3.6676144103794784e-07,2.0555801536116873e-05,2.2421429593592468e-06,0.19613467261904763,2.2421429593592468e-06,0.43577767116898397,-0.00029472331397722984,-1.5938834165653065e-06,0.4357744036546019,-0.0002979908283592958,-1.6102659420122066e-06,0.34814814814814815,0.08721447889659224
20,0.0,1.0,0.0,0.5,6.744772897383714e-06,1.322877596515398e-06,3.6664554824087496e-07,2.0785031918294703e-05,2.256373212946392e-06,0.19565848214285714,2.2563732129463924e-06,0.43498228173531034,-0.0002961919580735106,-1.5967472219935116e-06,0.43497923607205286,-0.0002992376213309944,-1.6118921716635007e-06,0.3592592592592593,0.08705569473867678
