run_index,protocol,seed,micro_steps,epochs_used,effective_microstep_budget,checkpoint_selector,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,train_wall_time_seconds,total_wall_time_seconds,run_status,nan_or_inf_failure,failure_type,failure_message,run_summary_path
1,fixed_outer_training,0,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,16.227531500015175,16.258728300017538,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed0/summary.json
2,fixed_outer_training,1,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,16.57114939999883,16.601568699989002,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed1/summary.json
3,fixed_outer_training,2,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,16.574608199996874,16.601421100000152,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed2/summary.json
4,fixed_outer_training,3,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,32,0.3052137238952159,58,True,False,16.320087500003865,16.348652799992124,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed3/summary.json
5,fixed_outer_training,4,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8148148148148148,23,0.28345675123876396,60,True,False,16.600002099992707,16.625615699973423,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed4/summary.json
6,fixed_outer_training,0,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.8555555555555555,28,0.2940514158589308,55,True,False,25.186918499995954,25.22683669999242,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed0/summary.json
7,fixed_outer_training,1,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.837037037037037,0.7851851851851852,25,0.2910611428137127,58,True,False,27.913876099977642,27.95360339997569,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed1/summary.json
8,fixed_outer_training,2,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.8518518518518519,0.8444444444444444,25,0.2991109627162595,53,True,False,28.307391600013943,28.34708900001715,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed2/summary.json
9,fixed_outer_training,3,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.8555555555555555,0.825925925925926,31,0.29373691031344523,58,True,False,27.927062300004764,27.975223599991295,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed3/summary.json
10,fixed_outer_training,4,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.8518518518518519,0.8296296296296296,16,0.2770908193354155,60,True,False,27.618228500010446,27.65894120003213,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed4/summary.json
11,fixed_outer_training,0,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.8666666666666667,25,0.2893442630604319,55,True,False,37.093625000008615,37.14909789999365,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed0/summary.json
12,fixed_outer_training,1,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8296296296296296,0.8037037037037037,25,0.2945825957338712,54,True,False,36.78896669999813,36.84008399999584,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed1/summary.json
13,fixed_outer_training,2,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8444444444444444,0.8481481481481481,23,0.2941289398378571,52,True,False,36.717390100006014,36.773209400009364,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed2/summary.json
14,fixed_outer_training,3,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8555555555555555,0.8407407407407408,30,0.28733039310452574,58,True,False,36.74696660001064,36.80091990000801,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed3/summary.json
15,fixed_outer_training,4,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8518518518518519,0.8222222222222222,9,0.27760796409483324,57,True,False,36.971274800016545,37.029287500015926,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed4/summary.json
16,fixed_outer_training,0,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8185185185185185,0.8666666666666667,25,0.28612096990099267,55,True,False,45.31873130000895,45.385661900014384,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed0/summary.json
17,fixed_outer_training,1,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8296296296296296,0.8074074074074075,24,0.2878811462743672,56,True,False,45.76310179999564,45.823199100006605,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed1/summary.json
18,fixed_outer_training,2,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8518518518518519,20,0.2905011549641067,52,True,False,45.80594240000937,45.861501900013536,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed2/summary.json
19,fixed_outer_training,3,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8555555555555555,0.8407407407407408,29,0.2831229311246822,58,True,False,45.84430090000387,45.90748090000125,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed3/summary.json
20,fixed_outer_training,4,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8629629629629629,0.8222222222222222,7,0.2692101214944345,60,True,False,45.6259502999892,45.68444620000082,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed4/summary.json
21,matched_inner_compute,0,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,18.68485890000011,18.715523799997754,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m4_seed0/summary.json
